Data,CH0454664001
08/2011,10000
09/2011,6435.132026216397
10/2011,4241.096240082417
11/2011,4272.589751133198
12/2011,6356.100133127766
01/2012,7215.11838418701
02/2012,6649.221120353161
03/2012,6563.570520763928
04/2012,6761.343926981037
05/2012,7439.972656663485
06/2012,9361.704455303612
07/2012,13458.989076598962
08/2012,14336.479102960153
09/2012,16800.06940087112
10/2012,15028.625019214474
11/2012,16972.839927648114
12/2012,17772.79036267649
01/2013,26720.951990673693
02/2013,45161.52041935979
03/2013,132725.05290387053
04/2013,188981.0361419433
05/2013,173451.57937105262
06/2013,120504.38722153625
07/2013,130188.84897810202
08/2013,169908.92903868688
09/2013,164024.50695578815
10/2013,261599.8698237119
11/2013,1441710.1253167044
12/2013,928570.773252046
01/2014,1038209.5394949741
02/2014,696914.6220031232
03/2014,574525.4346392093
04/2014,563720.2692837521
05/2014,801848.2402199566
06/2014,814794.9711496322
07/2014,754136.2945823739
08/2014,628734.3424491697
09/2014,537200.2218801042
10/2014,465782.29264060943
11/2014,520683.67200175306
12/2014,455170.6046207357
01/2015,329737.90659842646
02/2015,387151.6440212912
03/2015,389250.99219684507
04/2015,360648.2532379314
05/2015,356875.5109798512
06/2015,400789.87819786556
07/2015,442410.38107414753
08/2015,349198.152111434
09/2015,358780.50756626733
10/2015,478662.84758198104
11/2015,604804.8143257789
12/2015,671468.2143705845
01/2016,571659.4635296031
02/2016,676471.6196377767
03/2016,615525.0604534963
04/2016,663749.5980641139
05/2016,804067.0945730275
06/2016,1013577.7996759932
07/2016,944432.5707715303
08/2016,861425.9056828528
09/2016,914539.1470609234
10/2016,1067479.1281395224
11/2016,1168382.263054388
12/2016,1533567.687684187
01/2017,1497555.8625714516
02/2017,1876273.40623468
03/2017,1668691.573063733
04/2017,2056973.7016177373
05/2017,3407552.3489935654
06/2017,3590477.359872395
07/2017,4042727.1804464124
08/2017,6641327.183012387
09/2017,6070257.474437576
10/2017,9151107.634932272
11/2017,13884850.150828885
12/2017,19123695.121038917
01/2018,13438576.525396938
02/2018,13913296.785403658
03/2018,9247261.500596065
04/2018,12570681.499951797
05/2018,10505974.996335723
06/2018,8972744.673831986
07/2018,10771936.427037967
08/2018,9842635.325339565
09/2018,9301918.383587172
10/2018,9077687.768791474
11/2018,5687029.319037274
12/2018,5240145.845207835
01/2019,4820080.426894577
02/2019,5382038.678397657
03/2019,5901597.783771421
04/2019,7595707.6568609085
05/2019,12386110.88263688
06/2019,15263762.27530319
07/2019,14581431.425928023
08/2019,13997706.096763942
09/2019,12253367.650352484
10/2019,13174647.557375833
11/2019,11025680.567692153
12/2019,10218927.360922925
01/2020,13503697.977854438
02/2020,12412980.94666075
03/2020,9349115.754399035
04/2020,12642079.739516376
05/2020,13503137.8835362
06/2020,12966331.754508626
07/2020,15222837.168744612
08/2020,15483354.699816443
09/2020,14583080.73251111
10/2020,18691219.95516889
11/2020,26001029.772671144
12/2020,37326006.81340642
01/2021,43095278.37779693
02/2021,58848217.305388175
03/2021,78972173.82664245
04/2021,75227343.98479776
05/2021,48053440.85251746
06/2021,46231308.40867533
07/2021,54656219.96323472
08/2021,62351507.774652116
09/2021,59158487.766146235
10/2021,82267262.68867713
11/2021,78181268.11085592
12/2021,63526573.548030496
01/2022,53638649.36426415
02/2022,59872454.71086275
03/2022,63597591.20416855
04/2022,55311274.57482139
05/2022,45852613.807970636
06/2022,29609324.39195154
07/2022,35263937.73686887
08/2022,30886179.163861398
09/2022,30644832.990709554
10/2022,31758083.884636305
11/2022,25378021.227987353
12/2022,23733397.596982732
01/2023,32667820.135932658
02/2023,33298566.751022972
03/2023,39978057.18995207
04/2023,40597798.168891296
05/2023,38802202.14346275
06/2023,42655563.00510233
07/2023,40286585.519220926
08/2023,36199557.40812819
09/2023,38571599.34876214
10/2023,49413751.57549907
11/2023,52177137.13832051
12/2023,57761676.670011066
01/2024,59243379.30113977
02/2024,85152858.52955607
03/2024,99280211.64318353
04/2024,85052983.60436474
