Data,DE0002635299
12/1998,10000
01/1999,10889.216666666669
02/1999,11377.986996890024
03/1999,12230.633124733096
04/1999,13287.904760814348
05/1999,12922.920198953532
06/1999,13533.527356031229
07/1999,13783.457191253172
08/1999,14478.787513720745
09/1999,14130.428184550914
10/1999,13444.008177719683
11/1999,14118.830232039862
12/1999,14770.773354400404
01/2000,13992.088176942903
02/2000,13781.851536847982
03/2000,14705.903392022008
04/2000,15438.614933429988
05/2000,15507.233700848214
06/2000,16119.084042465993
07/2000,16161.508332407164
08/2000,16744.414688560755
09/2000,16938.088841493303
10/2000,17968.221765861887
11/2000,18174.807023228248
12/2000,17914.596372473028
01/2001,18089.97517093435
02/2001,18475.233332060256
03/2001,18178.483348091402
04/2001,18818.173405890073
05/2001,20487.027105422054
06/2001,20521.840251796417
07/2001,20153.894760690055
08/2001,19838.626892025295
09/2001,18296.992578077483
10/2001,18977.30357526515
11/2001,19663.613278214616
12/2001,20669.32306233965
01/2002,21037.36250555718
02/2002,21500.217333757264
03/2002,22624.038085641474
04/2002,22974.35987721366
05/2002,22738.267447138573
06/2002,21513.12497221292
07/2002,20163.86900919425
08/2002,20478.938087616836
09/2002,19017.435336260634
10/2002,19455.314922024623
11/2002,19709.235889400912
12/2002,18948.350419416194
01/2003,18445.490511812088
02/2003,17688.791490802472
03/2003,17377.17109160298
04/2003,18929.543386649293
05/2003,19517.428827906475
06/2003,20293.841657291407
07/2003,21078.933914387995
08/2003,21526.09489673468
09/2003,20950.9265281073
10/2003,22396.849210538538
11/2003,22651.582349104774
12/2003,23314.39609433703
01/2004,24132.669771149926
02/2004,24649.541221316482
03/2004,24800.075302836914
04/2004,24864.522038423922
05/2004,25021.019594681256
06/2004,25591.419229701023
07/2004,25540.067010111834
08/2004,25982.927151654745
09/2004,26301.035883461354
10/2004,27041.777774693364
11/2004,28101.590778378773
12/2004,29627.154171174407
01/2005,30579.734746817936
02/2005,31094.923728516078
03/2005,31018.7859030193
04/2005,30346.47870355026
05/2005,31696.98688775031
06/2005,33183.30663617244
07/2005,33554.42078868332
08/2005,33553.3972788799
09/2005,35261.21058907015
10/2005,34773.56791743816
11/2005,36275.41450164066
12/2005,37932.76323009058
01/2006,39142.42394752967
02/2006,41063.99433374169
03/2006,41667.41083226069
04/2006,41152.52363250154
05/2006,39695.62836723101
06/2006,39871.7050698805
07/2006,40261.24002201971
08/2006,41341.87252090367
09/2006,42855.285358209905
10/2006,45316.21965768811
11/2006,44879.59438293313
12/2006,47524.122814407754
01/2007,48374.81884928825
02/2007,48340.85804833111
03/2007,49156.47013847053
04/2007,50209.49669189475
05/2007,51713.55017970156
06/2007,50351.57563933935
07/2007,48118.62424684874
08/2007,48877.89431664219
09/2007,47665.161744021374
10/2007,48684.88202570083
11/2007,46368.335942686
12/2007,45143.77024121297
01/2008,40535.30162249002
02/2008,39494.19895653143
03/2008,37466.7428774911
04/2008,37305.42476278512
05/2008,34878.64416075761
06/2008,27712.598900839108
07/2008,26464.427870044303
08/2008,27963.33612702152
09/2008,25857.437538936483
10/2008,22196.08536822022
11/2008,19702.798001410334
12/2008,18299.74537310149
01/2009,17787.338075083273
02/2009,16325.92609759502
03/2009,16088.163059421335
04/2009,18898.11177602461
05/2009,19333.45731994898
06/2009,19312.678690253062
07/2009,20960.724764488154
08/2009,22567.978606021137
09/2009,23587.072886381062
10/2009,22983.029040552352
11/2009,23338.99723894867
12/2009,24810.58236457748
01/2010,24159.60164774442
02/2010,23716.157773037703
03/2010,24972.02015191175
04/2010,24846.37500934312
05/2010,23958.207377979576
06/2010,24735.542217005997
07/2010,25611.60270582969
08/2010,25158.419357119714
09/2010,25158.76926087429
10/2010,26034.619213781716
