Data,DE000A0D8Q31
08/2008,10000
09/2008,9985.285034978962
10/2008,10162.496805653607
11/2008,11144.524935826583
12/2008,11443.916161555046
01/2009,10917.285987178688
02/2009,11078.5500700094
03/2009,11076.824165283695
04/2009,11020.875046602747
05/2009,10465.80336133953
06/2009,10801.471031291421
07/2009,10873.439192443255
08/2009,11223.880234289776
09/2009,11346.6667920815
10/2009,11272.768558835382
11/2009,11472.674789712264
12/2009,11230.752823630033
01/2010,11540.294295717198
02/2010,11701.893208613195
03/2010,11812.595626890958
04/2010,12097.848624085816
05/2010,12729.720169823755
06/2010,12884.9929425479
07/2010,12758.969037255816
08/2010,14114.830734876921
09/2010,13659.034632616003
10/2010,13348.959114095353
11/2010,13138.644410298926
12/2010,12623.936594265451
01/2011,12392.506301683816
02/2011,12418.010665030386
03/2011,12103.096365179272
04/2011,12344.0355903936
05/2011,12673.717487273498
06/2011,12436.670481808258
07/2011,13219.863320222554
08/2011,13784.656507249849
09/2011,14644.839655429165
10/2011,14262.409061487942
11/2011,13937.736837360535
12/2011,15086.6598789002
01/2012,14994.93743461448
02/2012,15075.951337188097
03/2012,15086.815529340283
04/2012,15359.157513006994
05/2012,16743.4931529726
06/2012,15604.049954430817
07/2012,16328.995717918488
08/2012,16282.363247365283
09/2012,16048.05013251542
10/2012,15960.653680694302
11/2012,16080.188859220716
12/2012,16420.007093284014
01/2013,15837.421974541654
02/2013,16106.660718389167
03/2013,16378.763364488985
04/2013,16705.89737540032
05/2013,16114.080396821138
06/2013,15751.939817424733
07/2013,15779.875465147778
08/2013,15454.11482346621
09/2013,15578.432932925929
10/2013,15606.583398277822
11/2013,15620.058768316341
12/2013,15274.167087393966
01/2014,16011.396239460924
02/2014,16065.346566152522
03/2014,16200.50209639172
04/2014,16477.718892354624
05/2014,16743.57426209143
06/2014,16966.1686287954
07/2014,17259.835476113927
08/2014,18155.205747441138
09/2014,17943.02054847687
10/2014,18291.752141515062
11/2014,18779.991727418965
12/2014,19360.53493435261
01/2015,20672.469891268032
02/2015,20542.340906240064
03/2015,21582.009156272456
04/2015,20867.185148718683
05/2015,20072.87530417732
06/2015,18825.734753459903
07/2015,19598.897846439122
08/2015,19125.286643848518
09/2015,19688.3186491039
10/2015,19860.047521073662
11/2015,19775.415360596187
12/2015,19319.191261344436
01/2016,20507.835681255558
02/2016,21316.455711524643
03/2016,21263.863291585756
04/2016,20749.86658128047
05/2016,21295.870820650198
06/2016,22821.619323605777
07/2016,22886.360842455637
08/2016,22587.73314937524
09/2016,22681.795492889687
10/2016,21533.60203051843
11/2016,21086.454003976334
12/2016,21192.403712923147
01/2017,20515.11444111581
02/2017,21134.17410033656
03/2017,20761.543886128133
04/2017,20818.846294749448
05/2017,20745.915530888007
06/2017,20314.487042407105
07/2017,20283.14838147636
08/2017,20835.97097150797
09/2017,20492.011118738123
10/2017,20696.25330810955
11/2017,20827.28748095808
12/2017,20630.997822062698
01/2018,20304.614364712532
02/2018,20309.17901722179
03/2018,20848.35421381307
04/2018,20630.005440461173
05/2018,21335.367281345614
06/2018,21427.3327202487
07/2018,21207.656404236324
08/2018,21518.933940882864
09/2018,21189.056966618733
10/2018,21422.472112536638
11/2018,21584.784623496093
12/2018,21941.023275153042
01/2019,22387.964830788045
02/2019,22196.343986699325
03/2019,23089.250289564032
04/2019,22801.437951195225
05/2019,23618.637789337437
06/2019,24236.03039090182
07/2019,24812.05707770037
08/2019,26216.37967313572
09/2019,25679.70083612499
10/2019,24908.037471642467
11/2019,24716.51826546827
12/2019,23952.241182756272
01/2020,25108.24899662762
02/2020,25977.984277644617
03/2020,25126.87510305019
04/2020,25965.046913943323
05/2020,25193.230487344154
06/2020,25272.889987590468
07/2020,25731.253665920558
08/2020,24934.859331457297
09/2020,25638.185770493288
10/2020,26182.83265829821
11/2020,25951.139586534115
12/2020,25943.86447289499
01/2021,25612.03276784974
02/2021,24396.182245174692
03/2021,24294.22021971407
04/2021,23879.768048839556
05/2021,23817.062209637596
06/2021,24123.09303856629
07/2021,25266.158391756573
08/2021,24976.126035439866
09/2021,24129.729547479346
10/2021,24634.781506620373
11/2021,25511.168569097616
12/2021,24624.625257427484
01/2022,24124.340166914593
02/2022,23458.162891724718
03/2022,22292.01588430982
04/2022,20762.018414790007
05/2022,19836.327178228985
06/2022,18986.313598625376
07/2022,20820.084553568788
08/2022,18933.70426904006
09/2022,17451.612370963798
10/2022,17156.890971614437
11/2022,18223.60991784402
12/2022,16581.543218755072
01/2023,17244.966538634297
02/2023,16319.958012969448
03/2023,17012.35584491336
04/2023,16939.963451384345
05/2023,16947.79760842487
06/2023,16988.11054780292
