Data,DE000A0F5UF5
07/2007,10000
08/2007,10298.196485671231
09/2007,10462.791526353098
10/2007,10991.131019854936
11/2007,10043.123151951222
12/2007,10050.707437071816
01/2008,8789.982177321472
02/2008,8173.044929843445
03/2008,8002.828644648424
04/2008,8758.273099577884
05/2008,9302.76596974987
06/2008,8274.052202877487
07/2008,8407.869891994824
08/2008,9023.220538111553
09/2008,7922.893046271991
10/2008,7445.032823206388
11/2008,6640.801649263194
12/2008,6202.047483180029
01/2009,6560.697517706651
02/2009,6302.892961857972
03/2009,6623.798584091803
04/2009,7474.497221210642
05/2009,7248.445807492214
06/2009,7436.906843450514
07/2009,8061.612366421539
08/2009,8097.619240463138
09/2009,8342.1100627777
10/2009,8006.422851169606
11/2009,8361.174497972403
12/2009,9169.978056307375
01/2010,8857.663022879215
02/2010,9523.820770483177
03/2010,10314.821436143642
04/2010,10665.13983724853
05/2010,10698.854898812224
06/2010,10083.250116722158
07/2010,10168.77236276557
08/2010,9919.36611160369
09/2010,10400.359747110993
10/2010,10882.384819563922
11/2010,11574.647881770217
12/2010,11785.037591083974
01/2011,11827.097558318206
02/2011,12060.76760091459
03/2011,11684.100256301072
04/2011,11477.546287536788
05/2011,11802.69268983775
06/2011,11518.713470950737
07/2011,11859.857478371508
08/2011,11124.67028671058
09/2011,11377.415558534018
10/2011,12086.931304483936
11/2011,12279.834501661726
12/2011,12638.238146074653
01/2012,13446.456722697189
02/2012,14021.522263807898
03/2012,14823.044512359009
04/2012,14811.860795469187
05/2012,14642.989917823623
06/2012,14948.70393911584
07/2012,15477.90464335656
08/2012,15837.10863039398
09/2012,15598.98789527315
10/2012,14784.777536881546
11/2012,14887.39001106637
12/2012,14566.73341643269
01/2013,14557.768210741091
02/2013,15083.900651957605
03/2013,15921.181949067623
04/2013,15978.363620008322
05/2013,16606.451936127018
06/2013,16118.979722331465
07/2013,16872.51236399708
08/2013,16858.416224515095
09/2013,17298.99377645482
10/2013,17977.603794022536
11/2013,18635.06932749677
12/2013,18942.472385020916
01/2014,18951.55240221542
02/2014,19484.914689873265
03/2014,18993.007997418914
04/2014,18838.449586984454
05/2014,20029.604633701707
06/2014,20561.378596385388
07/2014,21227.019032175263
08/2014,22612.867224122172
09/2014,23512.043783423014
10/2014,24255.230694337402
11/2014,25412.607649601883
12/2014,25515.458822299064
01/2015,26836.73219785758
02/2015,28920.16854672172
03/2015,29494.81837457969
04/2015,28819.57497212756
05/2015,30121.287015530954
06/2015,28809.008525319427
07/2015,30679.677009789353
08/2015,27977.643507284338
09/2015,27396.379597492458
10/2015,30979.305305301958
11/2015,32412.005159602075
12/2015,31015.4419567435
01/2016,28809.08949491746
02/2016,28405.095737527972
03/2016,28991.4432978012
04/2016,28029.860993777314
05/2016,29903.112562984577
06/2016,29339.48901160639
07/2016,31388.011491957688
08/2016,31643.870465480257
09/2016,32255.12746004331
10/2016,32387.821075906762
11/2016,33447.179203447784
12/2016,34118.617290367314
01/2017,35181.00369931046
02/2017,37235.50356806272
03/2017,37647.44190092437
04/2017,37824.72947143425
05/2017,38235.461705045665
06/2017,36678.302231078414
07/2017,37168.315224743
08/2017,37578.967818876656
09/2017,37581.839990205386
10/2017,39844.533872839995
11/2017,39909.72195669669
12/2017,39620.146879323016
01/2018,41447.57597102719
02/2018,41727.31087765746
03/2018,39719.88550664728
04/2018,40666.90900710033
05/2018,44336.63402715147
06/2018,44961.26529883451
07/2018,45877.47319388417
08/2018,48952.60181231322
09/2018,49105.054175553865
10/2018,45876.418028710235
11/2018,45639.41529198228
12/2018,41251.03824907419
01/2019,44863.62337334351
02/2019,46431.804536106414
03/2019,49059.423211725436
04/2019,51816.22363758278
05/2019,47791.93023431429
06/2019,50410.834167643814
07/2019,52641.63893338086
08/2019,52162.7476851975
09/2019,53280.16936497739
10/2019,54264.9365315564
11/2019,57337.86585737234
12/2019,58260.714483008334
01/2020,60976.693163433745
02/2020,57810.09293405133
03/2020,53504.466019968546
04/2020,62087.66491687718
05/2020,64422.3048690923
06/2020,68114.11397315905
07/2020,69122.07479940474
08/2020,76208.73415344224
09/2020,73280.90053258975
10/2020,70997.90997729667
11/2020,76984.32586352984
12/2020,78955.82108681693
01/2021,80062.58691268515
02/2021,80089.82366202399
03/2021,83977.7732105193
04/2021,86286.34164571922
05/2021,84403.27583295031
06/2021,92163.73484033463
07/2021,94671.09711016242
08/2021,99121.67996811181
09/2021,95505.38108545118
10/2021,102467.86362344342
11/2021,106936.25304537246
12/2021,108517.35341199668
01/2022,100781.3421713506
02/2022,95775.8850872795
03/2022,100715.68278929856
04/2022,91889.12133055972
05/2022,88961.22791896835
06/2022,83506.70829246248
07/2022,95739.79968268108
08/2022,92588.6747367429
09/2022,84925.19695251505
10/2022,86815.15897190786
11/2022,87555.72483469192
12/2022,77460.5766711668
01/2023,84371.93777888274
02/2023,85698.54697937264
03/2023,91621.78309312659
04/2023,91176.78895734788
05/2023,100910.77616388301
06/2023,105664.3768483751
07/2023,108121.14120370257
08/2023,107948.2172726862
09/2023,105134.46930483734
10/2023,102711.63719331408
11/2023,110505.15530799642
12/2023,115321.30091841835
01/2024,119766.24626230719
02/2024,126298.2257457946
03/2024,127973.36874093328
04/2024,123321.00934992272
