Data,DE000A0F5UJ7
12/1986,10000
01/1987,9924.53342884432
02/1987,9527.449144898568
03/1987,9585.463293567123
04/1987,9484.921529058773
05/1987,9311.833448101977
06/1987,9630.537382333581
07/1987,10237.069246059034
08/1987,10355.14575405904
09/1987,10490.70981051367
10/1987,8265.979071411826
11/1987,7588.798341207777
12/1987,7663.796283079298
01/1988,7666.342819882018
02/1988,8101.982019658539
03/1988,7983.791288014188
04/1988,8040.989997695318
05/1988,8271.18613488227
06/1988,8662.142185742028
07/1988,8886.45600929195
08/1988,8630.33854862769
09/1988,9037.113495434858
10/1988,9416.253565607423
11/1988,9363.4701117032
12/1988,9468.021651892524
01/1989,9944.836197788542
02/1989,9528.429555221683
03/1989,9843.373283943105
04/1989,10009.745833764513
05/1989,9907.784690349084
06/1989,10212.412959365818
07/1989,11143.237940678113
08/1989,11446.080625249824
09/1989,11291.459070361061
10/1989,10721.251849981518
11/1989,11196.857140855336
12/1989,11812.377440204218
01/1990,11536.10054834071
02/1990,11340.442274315596
03/1990,11314.372200315245
04/1990,11008.202621302762
05/1990,11829.896464523641
06/1990,12149.75079807008
07/1990,12392.361373777792
08/1990,11089.94177390233
09/1990,9450.4822909961
10/1990,9827.045197423286
11/1990,9798.374897725704
12/1990,9703.70274980537
01/1991,10010.492829752038
02/1991,11210.380465471753
03/1991,11529.345160788715
04/1991,11548.701880833409
05/1991,12060.671463949813
06/1991,11401.609908994986
07/1991,11708.133407919871
08/1991,11883.853426438167
09/1991,11577.266637736253
10/1991,11206.220633291692
11/1991,10711.511297208974
12/1991,10769.89442077901
01/1992,11327.954450015708
02/1992,11544.314468374958
03/1992,10997.488244308568
04/1992,11469.833950266255
05/1992,11662.22881877196
06/1992,11006.333220374245
07/1992,10295.078368967706
08/1992,9937.75886191632
09/1992,10465.409050245187
10/1992,10731.860142707123
11/1992,11199.806491196403
12/1992,11495.804893205383
01/1993,11913.793684915365
02/1993,12674.401570197191
03/1993,12910.582721076506
04/1993,12908.846317664973
05/1993,13252.872460083356
06/1993,13833.122933983663
07/1993,14715.655995844929
08/1993,15572.937126965733
09/1993,15245.22585268923
10/1993,16250.17408778632
11/1993,15896.810203503228
12/1993,17126.031719794268
01/1994,17506.89971580851
02/1994,16351.12840521007
03/1994,15231.465086857757
04/1994,15205.371750746195
05/1994,14695.503439926775
06/1994,14238.225233300152
07/1994,14888.671131474097
08/1994,15054.33041121261
09/1994,14410.168302716858
10/1994,14857.720771902495
11/1994,15142.269159910427
12/1994,14778.312973561271
01/1995,14220.22736942792
02/1995,14449.461537190373
03/1995,14367.492865600503
04/1995,14779.003398764773
05/1995,15669.646007041534
06/1995,15486.563190635985
07/1995,15893.99739847138
08/1995,15773.47554680982
09/1995,16120.116038858578
10/1995,16472.84375004756
11/1995,17368.222887861168
12/1995,17792.147192213488
01/1996,18172.388559110666
02/1996,18079.793420791982
03/1996,17821.358313228182
04/1996,18135.651380723608
05/1996,18195.223167751716
06/1996,18261.079890306803
07/1996,18351.151477210253
08/1996,19029.687790472035
09/1996,19700.330317069085
10/1996,19942.563366769606
11/1996,21288.724725524808
12/1996,21743.95767981145
01/1997,23825.37537656221
02/1997,25303.289244181877
03/1997,25415.624472536256
04/1997,27004.348764446702
05/1997,28652.85969280717
06/1997,29899.76038663377
07/1997,34151.139259029645
08/1997,32051.44813941571
09/1997,35823.31942904551
10/1997,32826.32176696191
11/1997,33840.60979715369
12/1997,37903.189857171514
01/1998,40024.78941252786
02/1998,43400.02821373143
03/1998,46922.55302225679
04/1998,47479.38433232344
05/1998,47742.727733454325
06/1998,48557.2274255531
07/1998,51084.18429606094
08/1998,41178.75697489426
09/1998,33182.60872695752
10/1998,37837.596577142984
11/1998,42448.51099115842
12/1998,42613.85259836014
01/1999,42791.58179333405
02/1999,44133.11151055808
03/1999,46595.4298191378
04/1999,50180.431215737495
05/1999,46764.85344623659
06/1999,47282.203600847795
