Data,DE000A0F5UK5
12/1986,10000
01/1987,10142.927010148322
02/1987,10407.477639588837
03/1987,11175.741356620549
04/1987,11852.981041781204
05/1987,12185.17867289105
06/1987,12372.191659694432
07/1987,14697.944922123002
08/1987,14203.313601877147
09/1987,14965.321169058107
10/1987,10502.822496489307
11/1987,9657.388600138609
12/1987,9958.394934341219
01/1988,9909.50990712327
02/1988,10311.16385387696
03/1988,10939.23589295304
04/1988,11546.658659654342
05/1988,12378.63198593269
06/1988,12840.800155421508
07/1988,13276.257904744014
08/1988,12968.90710904164
09/1988,14301.11213850921
10/1988,14455.168066779841
11/1988,14530.139851697915
12/1988,14649.936531434305
01/1989,16528.74597275132
02/1989,16592.00792939269
03/1989,17225.704618572796
04/1989,17565.284621696504
05/1989,17431.871109647007
06/1989,17679.995654710398
07/1989,18282.97980768526
08/1989,19402.454726725184
09/1989,19172.886932989273
10/1989,17557.25993602217
11/1989,18352.01987925436
12/1989,19246.33088988857
01/1990,18821.559109935002
02/1990,18782.012666361377
03/1990,19959.846470150504
04/1990,19059.894366882912
05/1990,19815.352928485867
06/1990,20127.508277418878
07/1990,19863.166233699303
08/1990,16844.817674755548
09/1990,14321.848219656067
10/1990,14715.380952925392
11/1990,14652.977223776441
12/1990,14701.034158418594
01/1991,14664.739670941319
02/1991,16861.12768657975
03/1991,18087.80750747485
04/1991,18227.879394892523
05/1991,18223.953492148143
06/1991,18212.377226812725
07/1991,18690.2638411492
08/1991,18913.975372210152
09/1991,18715.674758699188
10/1991,17619.17175524284
11/1991,15998.17967532327
12/1991,15259.305985949464
01/1992,16596.27551208507
02/1992,16919.398487962026
03/1992,16771.104494012037
04/1992,18372.738393596643
05/1992,18374.83769252964
06/1992,17417.37136547873
07/1992,15982.5920542858
08/1992,14790.935094027973
09/1992,14630.099609781695
10/1992,13706.023453127087
11/1992,14699.422844299876
12/1992,15362.358052259035
01/1993,15327.609666136816
02/1993,16114.305874974643
03/1993,16605.9616646729
04/1993,16792.282855665973
05/1993,17122.54079168262
06/1993,17758.792565927462
07/1993,19841.8787775751
08/1993,20585.709837403803
09/1993,19563.1474508795
10/1993,20893.8686534395
11/1993,21146.143642792773
12/1993,22693.101335548406
01/1994,24976.848613409184
02/1994,24439.711353461946
03/1994,23556.95630292717
04/1994,24760.81635891751
05/1994,23766.871254142156
06/1994,23285.351227734496
07/1994,24708.18611430276
08/1994,25982.15884629604
09/1994,25156.581754270024
10/1994,24749.08674854927
11/1994,24218.375907899306
12/1994,24416.89769830293
01/1995,24153.148163641315
02/1995,23957.30894523975
03/1995,22866.677223025334
04/1995,23987.037483299035
05/1995,24460.28850690907
06/1995,24628.193190910613
07/1995,26496.01572205593
08/1995,25699.19042272316
09/1995,25903.93668569077
