Data,DE000A0H08J9
12/1986,10000
01/1987,10188.71411091102
02/1987,11032.252448568008
03/1987,11207.972329167096
04/1987,11479.032296996995
05/1987,11756.801249215112
06/1987,11889.1783191842
07/1987,12279.91317461213
08/1987,12029.276020254825
09/1987,12472.137292678506
10/1987,9372.101512584675
11/1987,8471.591031624986
12/1987,8802.131447343323
01/1988,9115.876694337532
02/1988,9480.38032111102
03/1988,9575.945039311957
04/1988,10015.745323613133
05/1988,10124.798204268121
06/1988,10572.314858318809
07/1988,10868.166449804448
08/1988,10506.449607330362
09/1988,11132.011814446709
10/1988,11550.983604953379
11/1988,11582.27050656206
12/1988,11947.200021650553
01/1989,13437.392874645175
02/1989,13466.5454400461
03/1989,14078.611360446124
04/1989,14476.322442164312
05/1989,14762.711897610368
06/1989,15106.425622215802
07/1989,15755.292255230383
08/1989,16206.523113502213
09/1989,15673.413855780776
10/1989,14306.225056867941
11/1989,14786.184503756289
12/1989,15439.381302344556
01/1990,15482.654635557456
02/1990,15076.506313296226
03/1990,15575.916927546079
04/1990,15015.808210513573
05/1990,16128.802171835388
06/1990,16163.534741281479
07/1990,16026.459895814609
08/1990,13834.394508561469
09/1990,11939.734767936958
10/1990,12226.536959623902
11/1990,12156.518519202351
12/1990,12128.729162313946
01/1991,12343.044314355799
02/1991,14045.864709489735
03/1991,14509.355480680944
04/1991,14411.411896970812
05/1991,14518.603993146133
06/1991,14147.86746945495
07/1991,14599.746185979244
08/1991,15002.448752720535
09/1991,15022.461238318117
10/1991,14393.195259267051
11/1991,13609.960266431286
12/1991,13538.379491445705
01/1992,14595.952569385805
02/1992,14827.194885819048
03/1992,14600.99718924039
04/1992,15712.41631872968
05/1992,16291.739200685754
06/1992,15442.258693810678
07/1992,14311.129093786516
08/1992,13557.613581010846
09/1992,13677.937457779308
10/1992,13192.38790249729
11/1992,13892.669081867107
12/1992,14496.706627618029
01/1993,14677.125713164236
02/1993,15262.895368568721
03/1993,15759.34386609548
04/1993,15811.18710872211
05/1993,15938.343815260658
06/1993,16546.954609968376
07/1993,18143.40454870563
08/1993,18492.65065900426
09/1993,17910.479743025808
10/1993,18831.708659981516
11/1993,18910.418068346975
12/1993,20731.131417485733
01/1994,22212.412795541753
02/1994,21212.775403810807
03/1994,20427.078919586842
04/1994,21349.27496262327
05/1994,19989.43025709103
06/1994,19027.020604826223
07/1994,20202.976031755916
08/1994,20258.119157682762
09/1994,18999.769799634945
10/1994,19171.641374976512
11/1994,19379.463682615897
12/1994,19139.577513271426
01/1995,18712.91138837237
02/1995,18681.709542041684
03/1995,18163.470023293285
04/1995,18815.445025313245
05/1995,19741.604383182825
06/1995,19614.075631548752
07/1995,20667.137311680544
08/1995,20986.86302264068
09/1995,21226.45851538812
10/1995,20756.500833205115
11/1995,20570.274009724195
12/1995,20706.013614736923
01/1996,21719.019970028854
02/1996,22488.082175030726
03/1996,23103.798598764773
04/1996,24116.082502566856
05/1996,24244.886913359795
06/1996,24434.62615283876
07/1996,23447.715334082885
08/1996,24349.588249566983
09/1996,25460.18685944493
10/1996,25813.443783452392
11/1996,26639.23089501456
12/1996,27504.107730818392
01/1997,28936.064485989456
02/1997,29567.907789015946
03/1997,29676.913314734276
04/1997,29977.50828009922
05/1997,31782.95571375346
06/1997,33317.584148015994
07/1997,35487.51558579745
08/1997,34511.650596384
09/1997,36982.95385982928
10/1997,33220.22843680336
11/1997,33572.69635256943
12/1997,34706.41729658147
01/1998,35271.46562945609
02/1998,37451.958332569695
03/1998,42401.97079041083
04/1998,43264.81404760393
05/1998,45246.50372600612
06/1998,44086.391431652715
07/1998,43251.859843437625
08/1998,36502.30725032464
09/1998,33552.84201986272
10/1998,35720.64569144583
11/1998,37608.60666832536
12/1998,38803.77371554716
01/1999,40864.88574800961
02/1999,42406.62765906856
03/1999,43897.40583358526
04/1999,48182.55046595943
05/1999,46521.939968513645
06/1999,48383.833789334356
07/1999,48557.63908616809
08/1999,50155.72538469976
09/1999,50111.66893197154
10/1999,49424.56527984503
11/1999,55575.03412290473
12/1999,63823.83249764085
01/2000,60194.48153007517
02/2000,65224.80953041234
03/2000,62325.65668084834
04/2000,63884.97848728644
05/2000,61341.85281175199
06/2000,59495.27102712002
07/2000,62144.11141457344
08/2000,63029.1756187101
09/2000,58712.215120543595
10/2000,60037.65015346133
11/2000,55299.90939767949
12/2000,55032.99728310561
01/2001,56073.65204538353
02/2001,51919.77165853712
03/2001,47066.68022130979
04/2001,50000.28386199394
05/2001,50978.91696428367
06/2001,46127.89566254094
07/2001,43049.19523965552
08/2001,39383.27003066037
09/2001,32324.990452870603
10/2001,34689.8746910675
11/2001,37918.9236876477
12/2001,39057.24966461321
01/2002,38470.588334143096
02/2002,38845.00770406934
03/2002,41467.94852329269
04/2002,40204.021873078054
05/2002,39164.493234403606
06/2002,35782.712482859
07/2002,31282.284946876025
08/2002,30652.46408465967
09/2002,25198.463998608153
10/2002,25826.72407185153
11/2002,27756.919919613636
12/2002,24407.0530178102
01/2003,22602.0195925048
02/2003,20999.144949009293
03/2003,21060.54795193327
04/2003,23604.52819921898
05/2003,23887.226932821384
06/2003,25155.10472234355
07/2003,27304.32909094096
08/2003,28996.210577712813
09/2003,27783.871450196963
10/2003,30848.202029310418
11/2003,30164.39775972179
12/2003,29872.09855812427
01/2004,31289.413454044836
02/2004,32004.990589289766
03/2004,31285.910455041452
04/2004,31661.74352064977
05/2004,31203.071786537093
06/2004,32244.983263529994
07/2004,31494.92967907665
08/2004,30823.410765111472
09/2004,31680.292045748705
10/2004,31733.275912447185
11/2004,32783.18500701622
12/2004,32877.80692253592
01/2005,34777.28262167852
02/2005,35605.5095450645
03/2005,35668.35132961544
04/2005,34237.83175593553
05/2005,36400.074288921176
06/2005,37503.96860901574
07/2005,38864.10973729268
08/2005,39112.56362624303
09/2005,40922.526705227494
10/2005,39621.57491842214
11/2005,41685.37880835422
12/2005,44443.766846252554
01/2006,47126.44858420858
02/2006,48766.218916318
03/2006,49818.50146211928
04/2006,51104.6427659334
05/2006,47546.12207626236
06/2006,47564.65232170235
07/2006,46506.23542265209
08/2006,48189.28421150376
09/2006,49725.46804735758
10/2006,52026.13539048362
11/2006,52260.4717519818
12/2006,55833.14050811736
01/2007,58566.29240762918
02/2007,57344.614198214265
03/2007,59217.40314479365
04/2007,63217.70346904583
05/2007,66701.28699866778
06/2007,67348.25772724753
07/2007,64784.662178998864
08/2007,63733.521400386155
