Data,DE000A0Q4R36
12/1986,10000
01/1987,10844.127111660484
02/1987,12695.927229279763
03/1987,12471.185476944442
04/1987,12587.412398096485
05/1987,12957.815049292238
06/1987,13310.662242626506
07/1987,14166.460697318224
08/1987,13838.00039454723
09/1987,14705.273693719651
10/1987,10217.583580837454
11/1987,9324.645950447368
12/1987,9227.529647997497
01/1988,9775.18353260615
02/1988,10049.39202541701
03/1988,9925.055244344883
04/1988,10189.163225677441
05/1988,10435.870991787551
06/1988,10962.383197362009
07/1988,11049.022647737862
08/1988,10615.293860901158
09/1988,11435.52296334102
10/1988,11642.04540986523
11/1988,11169.351277447742
12/1988,11160.168704955739
01/1989,12652.568225607709
02/1989,12500.794503032754
03/1989,12970.871169673901
04/1989,13660.810794919526
05/1989,13535.721021157291
06/1989,13792.15121344308
07/1989,15082.246136573944
08/1989,16583.956244440848
09/1989,15598.193103331518
10/1989,14610.765427288548
11/1989,15298.242532880926
12/1989,15599.757980000828
01/1990,14874.38951499804
02/1990,14573.735005684815
03/1990,14875.169074498252
04/1990,14411.544577244518
05/1990,15793.852625050033
06/1990,16189.39882083075
07/1990,16068.840353119394
08/1990,14421.017661655203
09/1990,13486.826633416209
10/1990,14368.628164503474
11/1990,14535.592312044033
12/1990,14942.825328817926
01/1991,15269.645502768073
02/1991,16707.529477630076
03/1991,18566.410953742852
04/1991,18661.13387917918
05/1991,19727.74097296768
06/1991,19812.251155308877
07/1991,20700.809628649335
08/1991,21508.80096681272
09/1991,21302.095064590114
10/1991,22859.228012962976
11/1991,22308.731593814777
12/1991,24166.493393043755
01/1992,24758.975256063208
02/1992,24254.25649551785
03/1992,23967.25696989623
04/1992,23962.89724965576
05/1992,24687.244929621244
06/1992,22900.106887477443
07/1992,23081.801080459554
08/1992,22757.226217248728
09/1992,23695.315011004852
10/1992,23662.148754766673
11/1992,24596.771652534444
12/1992,24782.268876160513
01/1993,23199.52072016869
02/1993,22365.851906481985
03/1993,22114.510888482622
04/1993,22699.502171852728
05/1993,24379.272818209633
06/1993,24290.695994113106
07/1993,24943.792632417808
08/1993,26097.810668914513
09/1993,26483.5185795026
10/1993,28515.908234159935
11/1993,28584.06151046584
12/1993,31284.900937058403
01/1994,32410.41053079157
02/1994,30959.279343913666
03/1994,29607.390254220536
04/1994,28919.122719242216
05/1994,28439.401416593817
06/1994,28308.996320491526
07/1994,27344.8751038589
08/1994,29868.271721403373
09/1994,28653.592343725213
10/1994,28826.36182807153
11/1994,29590.59868017872
12/1994,30454.406694442587
01/1995,30616.74406506368
02/1995,31960.827350219406
03/1995,32736.996764940297
04/1995,33807.82335767053
05/1995,34880.2176381989
06/1995,36303.93088902323
07/1995,37315.10572214372
08/1995,38884.22691914675
09/1995,40663.68541617728
10/1995,42807.67292385809
11/1995,44491.69570500144
12/1995,46494.94006114181
01/1996,47065.660545862775
02/1996,48112.763950504275
03/1996,51777.06124456245
04/1996,51249.92049010669
05/1996,50455.412286648076
06/1996,51956.76841572493
07/1996,49696.90711996508
08/1996,52198.55988616454
09/1996,54168.35140204937
10/1996,54689.19942775521
11/1996,56599.80517811677
12/1996,56788.44649839756
01/1997,62155.41403050043
02/1997,64264.12849553174
03/1997,66250.84640277327
04/1997,69878.5210660831
05/1997,71906.42985866971
06/1997,78554.72913619952
07/1997,84780.89578205658
08/1997,76156.72525013107
09/1997,81062.22005476392
10/1997,76863.48333747714
11/1997,81345.98573392277
12/1997,86599.2100002095
01/1998,96390.15541179368
02/1998,101177.7685983957
03/1998,101028.5200103772
04/1998,96258.1185516636
05/1998,94567.91338341283
06/1998,97752.47401617008
07/1998,97292.60341261562
08/1998,92793.67873895378
09/1998,87862.13569537648
10/1998,94044.38606058781
11/1998,99355.12152629718
12/1998,104528.37781495518
01/1999,108063.50925131333
02/1999,106833.13353514679
03/1999,108673.17766652352
04/1999,102024.78536984218
05/1999,100660.19289775287
06/1999,100670.67938607509
07/1999,94752.6054679046
08/1999,99297.47170697735
09/1999,98750.57290505669
10/1999,105938.65473196421
11/1999,112741.22346572674
12/1999,106638.35467241298
01/2000,98783.01726027286
02/2000,98279.22577477118
03/2000,110476.67877394
04/2000,117846.46552926525
05/2000,116893.72363396804
06/2000,120719.70612120535
07/2000,124917.16448544704
08/2000,130203.9444866872
09/2000,136911.09139397618
10/2000,136517.18464087707
11/2000,140237.90606794643
12/2000,133515.87882520776
01/2001,124892.00759689254
02/2001,127687.38342407322
03/2001,125860.3319969767
04/2001,125260.55440117237
05/2001,133051.45704186975
06/2001,134957.16116424097
07/2001,131419.40654548205
08/2001,122590.30437729668
09/2001,124463.01319196203
10/2001,122269.74711152833
11/2001,118952.64375264598
12/2001,121314.28265987667
01/2002,118782.90522621239
02/2002,123483.54109738063
03/2002,123069.299568737
04/2002,119469.80689542004
05/2002,110535.19641017565
06/2002,104433.41778388522
07/2002,95007.30224410142
08/2002,91435.88801531073
09/2002,88191.83386817416
10/2002,92148.12875522808
11/2002,90562.43489196719
12/2002,85046.0546196445
01/2003,80138.50952501189
02/2003,76149.22630694533
03/2003,76283.09129428485
04/2003,83306.17290875233
05/2003,82319.57184376517
06/2003,84871.04061137728
07/2003,85074.69911967874
08/2003,84565.29840843524
09/2003,85763.34735980237
10/2003,89431.90323168253
11/2003,91288.90509287674
12/2003,92684.41284744252
01/2004,93987.32819466661
02/2004,94310.37042153688
03/2004,92829.33897716283
04/2004,98628.15376720426
05/2004,98588.06182134087
06/2004,96620.61828469062
07/2004,97024.1450165653
08/2004,97641.84258803159
09/2004,97757.23876818265
10/2004,94956.27741946858
11/2004,92663.46364328447
12/2004,95737.83711862339
01/2005,95373.18251424276
02/2005,98102.67957595621
03/2005,98051.41909769848
04/2005,104767.91984628988
05/2005,110233.24238890946
06/2005,109624.95320709991
07/2005,112764.21950037639
08/2005,112527.91546796125
09/2005,117632.29952904544
10/2005,119738.9759840964
11/2005,120798.05171844424
12/2005,123874.89482633752
01/2006,124999.56971913132
02/2006,123492.10861684868
03/2006,128838.91252917875
04/2006,129688.59527960588
05/2006,125559.51306131188
06/2006,129580.08401037854
07/2006,132439.4261696186
08/2006,135043.32540813673
09/2006,133278.20112968053
10/2006,132757.137500613
11/2006,128541.35288995596
12/2006,129006.84015581629
01/2007,132448.75560557086
02/2007,130083.30570949745
03/2007,129803.39349580073
04/2007,132990.7971521894
05/2007,131152.84575975494
06/2007,128147.21646201037
07/2007,124576.4767165523
08/2007,123758.93124629268
09/2007,122082.57266053544
10/2007,119062.53899491137
11/2007,121968.73207286964
12/2007,116607.06848076939
01/2008,108603.30993006812
02/2008,106096.12641680353
03/2008,101537.0501064847
04/2008,103420.99078582371
05/2008,104574.5530536277
06/2008,103947.0568218963
07/2008,107950.2558891241
08/2008,111390.34632123006
09/2008,106259.5092743351
10/2008,109061.79533405013
11/2008,99408.80151480048
12/2008,97905.57701375011
01/2009,98100.58542418001
02/2009,87486.48499042894
03/2009,89363.15659547198
04/2009,90097.15497650791
05/2009,91703.46735237373
06/2009,93458.06396881539
07/2009,101823.31413622762
08/2009,103180.2520515094
09/2009,104993.11583895654
10/2009,105019.71752655356
11/2009,106763.6458029603
12/2009,113874.58589484145
01/2010,114841.4510046351
02/2010,116450.57575242603
03/2010,119586.43071789372
04/2010,117235.03543679547
05/2010,115012.12080426622
06/2010,119537.77133642412
07/2010,113178.39639675715
08/2010,119661.3325256713
09/2010,119759.69946668562
10/2010,120277.21006058127
11/2010,120208.93043007392
12/2010,123684.84743513392
01/2011,121652.20259919553
02/2011,125366.29603793126
03/2011,120593.61775257463
04/2011,127308.38746900272
05/2011,136825.5239077521
06/2011,132022.77146714894
07/2011,135162.09038999194
08/2011,127501.95524033808
09/2011,128444.8742641031
10/2011,130621.35835398012
11/2011,131937.55900450595
12/2011,141941.49072281452
01/2012,139932.91680381304
02/2012,141266.06002526853
03/2012,143854.3930736635
04/2012,147172.16151650736
05/2012,145422.21298689963
06/2012,152366.91645416454
07/2012,162772.33281561322
08/2012,160881.8992304449
09/2012,162249.5464052325
10/2012,160675.04684366236
11/2012,161832.93714918575
12/2012,163205.1697561561
01/2013,169134.38677249986
02/2013,175570.49990923802
03/2013,185834.6170094428
04/2013,191187.11151295985
05/2013,191756.1851557761
06/2013,186642.17271682806
07/2013,188366.96901505964
08/2013,186882.32146006983
09/2013,190560.4128578182
10/2013,195386.65810027777
11/2013,200014.5487100745
12/2013,200683.48144596125
01/2014,203347.40780201514
02/2014,217556.2787724637
03/2014,213336.23334846698
04/2014,219502.8508305763
05/2014,222744.70724253828
06/2014,228545.25172520397
07/2014,227670.38282776024
08/2014,235452.679762959
09/2014,247469.66210647573
10/2014,238702.8500995342
11/2014,247808.975951039
12/2014,241704.18821707228
01/2015,265464.9621776312
02/2015,280183.9974320523
03/2015,292754.7107210935
04/2015,290319.0552466087
05/2015,295159.1763820494
06/2015,280451.50154813787
07/2015,301942.5707393381
08/2015,278499.81261188723
09/2015,267702.96534815535
10/2015,282460.3248305413
11/2015,287229.1547411089
12/2015,281582.9119520424
01/2016,262475.35410075844
02/2016,254543.7572496767
03/2016,248646.12250061848
04/2016,255705.00949277717
05/2016,269176.9167153286
06/2016,271583.52519470925
07/2016,277625.1031810047
08/2016,262650.5742422386
09/2016,260425.19434146155
10/2016,243813.52327738333
11/2016,246358.71724124812
12/2016,257787.57614824324
01/2017,254735.1482096156
02/2017,272597.9418422541
03/2017,277002.4415337551
04/2017,280819.9327068541
05/2017,289891.3346176311
06/2017,280352.7966456309
07/2017,269771.9460944561
08/2017,269322.3550325056
09/2017,276593.5401947731
10/2017,272345.10893082496
11/2017,267210.7648974767
12/2017,267786.74652307935
01/2018,267351.4565888378
02/2018,254517.03073712302
03/2018,254395.8778413858
04/2018,260145.9491986893
05/2018,268276.496343595
06/2018,270035.0074125952
07/2018,287039.1210504986
08/2018,284874.3457762467
09/2018,284305.14466213353
10/2018,277322.3468843133
11/2018,282473.0620939144
12/2018,265505.46992366336
01/2019,274864.89797206037
02/2019,288808.3542675974
03/2019,299140.2297409087
04/2019,294066.5262005196
05/2019,289788.02355207247
06/2019,306015.80951384647
07/2019,312088.0901561496
08/2019,320301.2311928407
09/2019,324007.83673747187
10/2019,328252.33613427024
11/2019,340331.6872684679
12/2019,346925.9341497408
01/2020,352477.38430724834
02/2020,329538.77177636774
03/2020,318974.78046323045
04/2020,349352.33281237935
05/2020,356382.59076947067
06/2020,354452.42229985975
07/2020,345016.9944235132
08/2020,342475.3983936001
09/2020,346724.1988192047
10/2020,320810.29170484014
11/2020,340479.51302248583
12/2020,340452.75993134367
01/2021,341524.60809152515
02/2021,332127.6664165846
03/2021,346353.9617568133
04/2021,354718.9771570025
05/2021,361762.94008902257
06/2021,385797.0085969548
07/2021,395075.23572364554
08/2021,408414.7923503246
09/2021,390950.1430389429
10/2021,410500.1020151051
11/2021,401896.7168023724
12/2021,425388.59984202596
01/2022,397156.53720468667
02/2022,397726.79496468557
03/2022,422148.92140409054
04/2022,428057.4880045424
05/2022,413682.6077612059
06/2022,402686.1298004231
07/2022,420484.10425595444
08/2022,390055.36000748165
09/2022,372385.5521414757
10/2022,392135.25777017564
11/2022,404470.66255851864
12/2022,397145.4966469849
01/2023,397637.2047004151
02/2023,398788.95249257545
03/2023,414311.64760489727
04/2023,433692.3701911324
