Data,DE000A28M8D0
08/2011,10000
09/2011,6439.21535954973
10/2011,4246.416721450833
11/2011,4279.6836947998945
12/2011,6368.400946029306
01/2012,7231.682065536547
02/2012,6667.438613368185
03/2012,6584.275886254021
04/2012,6785.361765546585
05/2012,7469.1718289281
06/2012,9401.495634030214
07/2012,13520.03438113476
08/2012,14407.025078495166
09/2012,16888.620913288898
10/2012,15114.735609507785
11/2012,17076.26227587227
12/2012,17888.059938117607
01/2013,26901.56124566679
02/2013,45477.75589574705
03/2013,133673.0064525626
04/2013,190385.366300292
05/2013,174818.24983480634
06/2013,121525.25699705507
07/2013,131341.3848395704
08/2013,171466.7298962603
09/2013,165598.37238804705
10/2013,264177.62011355883
11/2013,1456024.307259042
12/2013,938384.7363937043
01/2014,1049565.4365564764
02/2014,704966.0205920346
03/2014,581450.7419129276
04/2014,570752.757233579
05/2014,812084.4647590398
06/2014,825528.0720658251
07/2014,764407.4437675327
08/2014,637609.6812056592
09/2014,545043.8041112919
10/2014,472805.6716377211
11/2014,528727.9532752327
12/2014,462418.641664281
01/2015,335177.4017688314
02/2015,393675.1244538796
03/2015,395970.59718769824
04/2015,367035.77970356925
05/2015,363346.0904589081
06/2015,408205.04395237163
07/2015,450762.26728590456
08/2015,355974.42584242043
09/2015,365888.0854225155
10/2015,488294.7443387633
11/2015,617174.3907793397
12/2015,685453.2155052744
01/2016,583845.5917632926
02/2016,691130.443853172
03/2016,629145.4127795976
04/2016,678693.965082293
05/2016,822447.8528687119
06/2016,1037083.7494156883
07/2016,966758.444802235
08/2016,882184.306844031
09/2016,936937.681554335
10/2016,1094005.9916176114
11/2016,1197863.289223623
12/2016,1572752.3265540106
01/2017,1536462.55991005
02/2017,1925646.6238101341
03/2017,1713388.6818685972
04/2017,2112770.8613397432
05/2017,3500847.817048173
06/2017,3690210.6496128966
07/2017,4156529.525057662
08/2017,6829977.093735605
09/2017,6245474.798400574
10/2017,9417803.60034595
11/2017,14293349.885828825
12/2017,19692160.93477075
01/2018,13846088.99970671
02/2018,14340858.534695257
03/2018,9537289.777321482
04/2018,12968838.896704022
05/2018,10844031.53461535
06/2018,9265893.595920892
07/2018,11127650.392481295
08/2018,10172205.434601506
09/2018,9617536.815338232
10/2018,9389625.112005396
11/2018,5886287.279583179
12/2018,5426149.797794598
01/2019,4993389.436416838
02/2019,5577592.216038755
03/2019,6118306.74438463
04/2019,7877123.297965598
05/2019,12848224.095310943
06/2019,15838484.095900167
07/2019,15136929.030601481
08/2019,14537146.878153289
09/2019,12731521.469275558
10/2019,13693950.483956233
11/2019,11465869.710591963
12/2019,10631589.59496618
01/2020,14053347.53653526
02/2020,12923972.810483446
03/2020,9739258.057185167
04/2020,13173615.59715894
05/2020,14076256.130990013
06/2020,13522413.962486925
07/2020,15881214.930670839
08/2020,16159484.504186165
09/2020,15226495.674125113
10/2020,19522106.138603557
11/2020,27164832.563702915
12/2020,39007806.44537384
01/2021,45052952.535674945
02/2021,61539891.33978337
03/2021,82609431.57145572
04/2021,78725856.56315765
05/2021,50320353.996977784
06/2021,48432810.23359113
07/2021,57278686.77865235
08/2021,65366591.93854367
09/2021,62045860.86245325
10/2021,86307850.83702245
11/2021,82056413.4413603
12/2021,66708848.29572459
01/2022,56352841.84209848
02/2022,62925097.41089545
03/2022,66865857.24001179
04/2022,58181012.20450619
05/2022,48255361.0937337
06/2022,31180602.67311196
07/2022,37148021.51417971
08/2022,32551536.56940769
09/2022,32310469.086313307
10/2022,33497421.856368672
11/2022,26781611.785295397
12/2022,25056964.239647217
01/2023,34499874.19919431
02/2023,35180081.35773088
03/2023,42251357.40986999
04/2023,42923591.79104623
05/2023,41042655.60138743
06/2023,45135270.02426187
07/2023,42647006.384824485
08/2023,38337930.46576838
09/2023,40865747.851225585
10/2023,52369452.777453065
11/2023,55319515.42806229
12/2023,61262973.747489974
01/2024,62859507.37166414
02/2024,90376130.44505556
03/2024,105406958.25085555
04/2024,90344785.53549057
