Data,DE000A2T5DZ1
01/1968,10000
02/1968,9995.5
03/1968,9991.002025000002
04/1968,11093.463684813183
05/1968,11897.074477861348
06/1968,11593.939430776478
07/1968,11007.607834485154
08/1968,11271.823714505605
09/1968,11210.10906361043
10/1968,11035.214377204376
11/1968,11270.75961331473
12/1968,11845.488454231403
01/1969,12021.091459622896
02/1969,12060.89528848345
03/1969,12111.959198430253
04/1969,12304.13985266278
05/1969,12151.856367633103
06/1969,11616.084179641155
07/1969,11664.426262006233
08/1969,11509.813995994966
09/1969,11453.930553282693
10/1969,11186.923889879023
11/1969,10013.946776820454
12/1969,9896.924244851556
01/1970,9833.426478616975
02/1970,9837.432496843308
03/1970,9911.660166757596
04/1970,10061.630885453567
05/1970,9944.839487561212
06/1970,9951.585567323613
07/1970,9893.830338946762
08/1970,10029.517355222659
09/1970,10193.096542053412
10/1970,10426.535254673923
11/1970,10503.01633995309
12/1970,10453.524862344584
01/1971,10636.190001886085
02/1971,10841.052665174055
03/1971,10858.526877382305
04/1971,11082.652681219928
05/1971,11395.907907074858
06/1971,11184.291701228833
07/1971,11820.751810183387
08/1971,11327.547668382462
09/1971,11865.83816746295
10/1971,11788.077931753784
11/1971,12133.575804809427
12/1971,12136.464486388644
01/1972,13110.154005448796
02/1972,13396.209085260263
03/1972,13440.208128004819
04/1972,13773.082190530882
05/1972,16502.062924043716
06/1972,17938.047041228776
07/1972,18942.718488513197
08/1972,18540.363221947562
09/1972,17789.074881541655
10/1972,17833.71659266572
11/1972,17606.889803360915
12/1972,17958.855959936343
01/1973,18255.161863905832
02/1973,23502.22091097936
03/1973,24874.128494568202
04/1973,25064.691956757142
05/1973,31689.078014574286
06/1973,34022.15704165841
07/1973,31895.1269787488
08/1973,28542.270396151092
09/1973,27564.228824844526
10/1973,27000.54034537646
11/1973,27814.937255650926
12/1973,30900.618990579675
01/1974,36461.21290632556
02/1974,44700.174320440485
03/1974,47568.378198086284
04/1974,46515.86596406579
05/1974,43059.493206651845
06/1974,39606.34504661859
07/1974,42814.688945578244
08/1974,42795.422335552736
09/1974,41473.098651310225
10/1974,45773.122062756054
11/1974,50412.06352948561
12/1974,51074.324616243604
01/1975,48121.07160773302
02/1975,49728.088206658635
03/1975,48474.47867189018
04/1975,45649.486559100675
05/1975,45628.944290149084
06/1975,45403.490856729826
07/1975,45505.95595282491
08/1975,43601.90841017169
09/1975,38520.86451628896
10/1975,38953.5083676239
11/1975,37641.16358034753
12/1975,38196.40343906521
01/1976,34883.839074539464
02/1976,35997.81697832025
03/1976,35246.96863459183
04/1976,34904.7466780156
05/1976,34100.69245971886
06/1976,33623.42541758194
07/1976,30539.274623973786
08/1976,28218.12008991498
09/1976,31461.358869326246
10/1976,33386.4143260737
11/1976,35296.22634474367
12/1976,36432.04332669015
01/1977,35819.734443856956
02/1977,38632.914315725364
03/1977,40279.92476201856
04/1977,39815.44637238788
05/1977,38634.837269389456
06/1977,38630.96500194646
07/1977,38910.74233694132
08/1977,39406.28184668004
09/1977,41561.292642217355
10/1977,43552.53248301792
11/1977,43141.90491398647
12/1977,44443.2991422393
01/1978,47333.19738867219
02/1978,49062.485119983096
03/1978,48865.42420152554
04/1978,45950.79538747186
05/1978,49507.20607887951
06/1978,49189.20192418764
07/1978,53789.05133997855
08/1978,56034.59649820049
09/1978,58264.72645246382
10/1978,65082.13019307669
11/1978,51853.994077443764
12/1978,60571.30200826127
01/1979,62607.75742440893
02/1979,67294.588343793
03/1979,64265.10407012273
04/1979,65628.01543203602
05/1979,73437.4589855427
06/1979,74179.9716011699
07/1979,79212.2138998671
08/1979,84159.8970905156
09/1979,106063.42642525982
10/1979,101944.03708290221
11/1979,110878.31108254909
12/1979,139731.73595754858
01/1980,174068.46342927564
02/1980,169725.05541572723
03/1980,131680.35826678525
04/1980,137878.9148846743
05/1980,142474.94082178277
06/1980,173805.8654120831
07/1980,163288.66238638258
08/1980,167734.36402769576
09/1980,177091.86562009432
10/1980,166985.60071152356
11/1980,164454.78659250453
12/1980,156353.7431415661
01/1981,134269.20129260622
02/1981,129569.66658317832
03/1981,136069.3341553706
04/1981,127797.59325414136
05/1981,126813.53524056489
06/1981,112666.07634519941
07/1981,107325.88945848729
08/1981,112300.23295530306
09/1981,113240.5822589023
10/1981,112727.4175386862
11/1981,109376.70725176902
12/1981,105501.28205159826
01/1982,102025.01480799812
02/1982,95546.51863837548
03/1982,84278.25603649733
