Data,DE000ETFL250
12/1986,10000
01/1987,9889.623929277397
02/1987,10169.14638847769
03/1987,10486.346741650243
04/1987,10819.839704719416
05/1987,11228.443449178487
06/1987,11698.662883317611
07/1987,12241.44135549532
08/1987,11905.431555513034
09/1987,12083.863165928871
10/1987,9308.89907878227
11/1987,8288.48541790267
12/1987,8438.159820929624
01/1988,8563.381562209192
02/1988,8914.608017961224
03/1988,8870.53662027967
04/1988,9112.196537047608
05/1988,9088.408144698162
06/1988,9558.927357540219
07/1988,9826.792522304175
08/1988,9469.62394789603
09/1988,9995.179756168884
10/1988,10254.969166524084
11/1988,10143.910098253024
12/1988,10388.275307420008
01/1989,11278.175194060526
02/1989,10780.365044097163
03/1989,11287.286998244519
04/1989,11447.046733924884
05/1989,11506.752466837646
06/1989,11788.277748458331
07/1989,12748.098066327744
08/1989,13213.228657925436
09/1989,12854.63653002398
10/1989,11941.612897158086
11/1989,12587.09230701269
12/1989,13409.88088252681
01/1990,13204.79603287039
02/1990,13024.087002628683
03/1990,13272.516057454666
04/1990,12640.718436576833
05/1990,13755.3069945821
06/1990,13973.534042913196
07/1990,13984.412890937507
08/1990,12635.314517896955
09/1990,11344.102950809893
10/1990,11836.179740683643
11/1990,11985.337803552964
12/1990,11785.777394508224
01/1991,12064.95409126087
02/1991,13229.321733722489
03/1991,13816.601255433678
04/1991,14077.899620439935
05/1991,14642.35342398044
06/1991,14121.501918240136
07/1991,14651.796769690103
08/1991,14925.862903250216
09/1991,14878.942227497922
10/1991,14800.691193626977
11/1991,14258.750553067213
12/1991,14504.559490416217
01/1992,15053.146104609577
02/1992,15287.005921899017
03/1992,14935.423402597733
04/1992,15808.431971025198
05/1992,16265.87335291294
06/1992,15370.798162587265
07/1992,14788.438230626565
08/1992,14345.935315693101
09/1992,14811.277164559242
10/1992,14847.169647586095
11/1992,15482.011565960285
12/1992,15968.531414443074
01/1993,15703.530851648724
02/1993,16472.846193105328
03/1993,17170.13857398908
04/1993,16870.050811069672
05/1993,17223.87584921395
06/1993,17938.22556403112
07/1993,18934.106922765124
08/1993,19978.4163184357
09/1993,19670.44879616266
10/1993,20934.352875473218
11/1993,20760.03644359274
12/1993,22315.75385934988
01/1994,22849.63441507714
02/1994,21504.929051927033
03/1994,20507.65101172826
04/1994,21237.985865823837
05/1994,20369.593875672654
06/1994,19637.496034406682
07/1994,20660.24226950896
08/1994,21477.127817819714
09/1994,20308.335295100496
10/1994,20877.978208007666
11/1994,20856.782477003228
12/1994,20950.273072495136
01/1995,20460.32727159914
02/1995,20523.133897902495
03/1995,20750.721176563366
04/1995,21379.722699387632
05/1995,22136.666288935223
06/1995,22113.99387462371
07/1995,22973.034795860265
08/1995,23401.75539977783
09/1995,23812.766962578684
10/1995,23850.332216015082
11/1995,24759.25164761239
12/1995,25622.82168449308
01/1996,26504.981014791643
02/1996,26542.382396041186
03/1996,26662.378473910783
04/1996,27390.85648481582
05/1996,27512.2620832525
06/1996,27536.10007405574
07/1996,26749.765345612617
08/1996,27468.70646916154
09/1996,28792.013320367856
10/1996,29161.655015682685
11/1996,31134.39876135595
12/1996,31707.916333041892
01/1997,33728.22403503219
02/1997,35212.74019707101
03/1997,36433.488472432786
04/1997,37589.22408550956
05/1997,39111.50685496866
06/1997,42226.07353529451
07/1997,46433.912600757554
08/1997,42672.83325178112
09/1997,46110.31149971196
10/1997,42486.943351391856
11/1997,44011.18550454766
12/1997,46099.133947079055
01/1998,49015.4402053673
02/1998,52623.3527477499
03/1998,56713.5082647625
04/1998,56871.40305686082
05/1998,58655.29864799528
06/1998,60706.640336922836
07/1998,61952.73585959187
08/1998,53716.9858922857
09/1998,48294.71018493068
10/1998,51966.74233052519
11/1998,57146.5677551927
12/1998,59253.87879304483
01/1999,61498.96799507978
02/1999,61730.13084033955
03/1999,63796.809361642685
04/1999,67367.177881902
05/1999,64858.77068128167
06/1999,67464.84724642537
07/1999,65275.44847324441
08/1999,66802.96439516397
09/1999,65557.89280669006
10/1999,70657.24378827827
11/1999,77366.36034855088
12/1999,85706.82842178209
01/2000,81724.76596099681
02/2000,88296.35508909827
03/2000,91609.65385765125
04/2000,92343.28865797051
05/2000,89812.84454733654
06/2000,87951.15091557891
07/2000,88782.22311284757
08/2000,91576.38877448949
09/2000,87242.30745371128
10/2000,90435.3589951111
11/2000,84340.28383377007
12/2000,83290.60525286832
01/2001,83339.31610395166
02/2001,75147.25176000992
03/2001,73477.34157986128
04/2001,78607.43945668088
05/2001,78273.4420739556
06/2001,74870.76199502054
07/2001,72547.51064939804
08/2001,67323.33799293613
09/2001,61847.0576882772
10/2001,64199.33040484077
11/2001,66195.88850642504
12/2001,68527.10281409381
01/2002,66439.68244346886
02/2002,65994.36119161632
03/2002,68823.83132399849
04/2002,65504.77331777614
05/2002,62918.98886297748
06/2002,57405.88200583171
07/2002,51364.30733293705
08/2002,51059.1536130621
09/2002,43649.755882583915
10/2002,48318.35547793068
11/2002,50258.80466338271
12/2002,45819.41025410577
01/2003,42271.96754846583
02/2003,41042.70850319534
03/2003,39972.47859842949
04/2003,44349.88387521775
05/2003,44482.1425473784
06/2003,46102.03970753433
07/2003,47671.18766825996
08/2003,47987.05502686072
09/2003,46211.80717634891
10/2003,49167.49132818817
11/2003,49806.516504695355
12/2003,51616.64845484457
01/2004,52326.411614731296
02/2004,53460.29282178195
03/2004,52036.53276956194
04/2004,53095.54544341789
05/2004,52712.737353032266
06/2004,53039.059922918466
07/2004,52324.87993707173
08/2004,51965.88538042265
09/2004,52941.35771197477
10/2004,53413.279504806575
11/2004,54452.77454017265
12/2004,55203.594914862035
01/2005,56092.03076600585
02/2005,57727.50443344983
03/2005,57422.93525197079
04/2005,56733.38959636844
05/2005,59427.82208897636
06/2005,61563.932212891115
07/2005,63649.320363141516
08/2005,63406.532462597
09/2005,66415.16519401867
10/2005,65219.83543089988
11/2005,66686.36631605725
12/2005,68415.8021351874
01/2006,70416.49691841778
02/2006,71034.60360577457
03/2006,72166.71377177975
04/2006,72918.48936323587
05/2006,69737.2930137723
06/2006,70320.94767714372
07/2006,71781.99588706587
08/2006,73643.34655062266
09/2006,74239.36805322664
10/2006,76739.0735215659
11/2006,75557.3541513029
12/2006,77558.24360172782
01/2007,78913.41502127852
02/2007,77025.30234851633
03/2007,78347.13931501751
04/2007,81729.61779646228
05/2007,83989.21865136166
06/2007,84420.43829773073
07/2007,81174.4966152559
08/2007,80897.55355663656
09/2007,82103.87420897174
10/2007,83572.97616634319
11/2007,80921.20771193512
12/2007,79437.6046747592
01/2008,69907.45505589001
02/2008,68971.63255577841
03/2008,65613.45552702027
04/2008,70644.639838262
05/2008,70260.32514888752
06/2008,64249.98918218297
07/2008,63719.74591376595
08/2008,64712.37922350995
09/2008,58565.29934429769
10/2008,51853.23326510295
11/2008,48285.50783860139
12/2008,46601.94099803665
01/2009,44392.76535059051
02/2009,39841.45804508047
03/2009,40980.4615041862
04/2009,45963.32106071166
05/2009,48670.88206838352
06/2009,48155.123199747155
07/2009,52620.87400860622
08/2009,55316.32629032799
09/2009,56564.21510676814
10/2009,55564.74014382311
11/2009,56317.99459168995
12/2009,59885.14375771478
01/2010,57423.3706618578
02/2010,57396.33662827532
03/2010,61278.22425640948
04/2010,59371.597062569665
05/2010,56619.481582669825
06/2010,55811.624976021056
07/2010,58588.02468540803
08/2010,58109.89867887448
09/2010,58929.87723940161
10/2010,60415.55231531782
11/2010,59059.863368684026
12/2010,61644.637002745505
01/2011,63322.145285117374
02/2011,64915.46304438201
03/2011,61981.28282665691
04/2011,64111.37355300641
05/2011,64084.02206520136
06/2011,62468.328326534414
07/2011,61234.9361405056
08/2011,54765.43629834988
09/2011,52947.84813811911
10/2011,56851.24988811686
11/2011,56633.94683533462
12/2011,58385.55264616377
01/2012,59768.18435645332
02/2012,61375.06242776233
03/2012,61127.57322000668
04/2012,60151.604233377744
05/2012,56947.77719133595
06/2012,60226.86598433789
07/2012,62732.64308654737
08/2012,63721.59564757224
09/2012,64078.91612100752
10/2012,64321.76054390201
11/2012,65168.315203015205
12/2012,65839.77002754954
01/2013,67560.41184786486
02/2013,67959.48690352513
03/2013,69532.09335493641
04/2013,70632.00026664209
05/2013,71505.31548730138
06/2013,68048.20624297688
07/2013,70566.5393249372
08/2013,70067.02900119104
09/2013,72912.128598624
10/2013,75661.54564617586
11/2013,76450.1420639106
12/2013,76953.34849071348
01/2014,75275.39630111329
02/2014,78561.64158058394
03/2014,77495.83687585747
04/2014,79424.74192123135
05/2014,81524.7698340139
06/2014,81127.72278693924
07/2014,80206.60226103151
08/2014,82251.85663560973
09/2014,82962.83637623076
10/2014,81158.46006189991
11/2014,83450.42399690002
12/2014,81547.50032094007
01/2015,86876.58062968389
02/2015,92606.42378178616
03/2015,94027.16982970799
04/2015,94497.01628552472
05/2015,95344.22317275187
06/2015,91052.54093111823
07/2015,95139.45884020632
08/2015,86570.05215953774
09/2015,82936.80553951515
10/2015,89687.41691910232
11/2015,91914.89573373139
12/2015,86697.0449706227
01/2016,81210.87547535889
02/2016,78654.06629273038
03/2016,78746.64648206868
04/2016,81018.50891191179
05/2016,83161.38717242095
06/2016,80627.3385090185
07/2016,82520.88328959956
08/2016,82458.1123290527
09/2016,81922.45909265614
10/2016,81137.8281461151
11/2016,81849.32474634449
12/2016,87094.44381115274
01/2017,86208.22076066003
02/2017,89199.3270475811
03/2017,92313.14612310637
04/2017,93239.42410274415
05/2017,95018.77199716058
06/2017,92325.55925987962
07/2017,91150.17135184981
08/2017,90335.02226348426
09/2017,94273.50686821762
10/2017,95873.05463492515
11/2017,94074.0242375271
12/2017,94753.55021912564
01/2018,95785.12470626654
02/2018,90938.70237332887
03/2018,89088.45084082731
04/2018,93261.79841642096
05/2018,92885.8826873213
06/2018,92823.29693278647
07/2018,96559.80118730056
08/2018,93161.20695061477
09/2018,94009.5211839939
10/2018,90411.78342412018
11/2018,90193.14562957383
12/2018,84916.11865534825
01/2019,89202.93259420736
02/2019,93588.33014850323
03/2019,96704.07673988501
04/2019,99758.37295989961
05/2019,95684.46355850168
06/2019,100064.30461719741
07/2019,100122.40441525241
08/2019,99085.41430765322
09/2019,102927.59536119316
10/2019,103422.73995956089
11/2019,106060.73503769525
12/2019,107951.89332722042
01/2020,106684.85873211395
02/2020,97471.78608560581
03/2020,87374.88581882734
04/2020,91486.67081287644
05/2020,93150.23088538735
06/2020,96449.67432501205
07/2020,94179.37630027294
08/2020,95726.0180913032
09/2020,94148.31464130628
10/2020,87595.06522108203
