Data,DE000EWG2LD7
12/1978,10000
01/1979,10485.354545863223
02/1979,11330.061914822438
03/1979,10822.698918678327
04/1979,11181.144220649852
05/1979,12655.830314436029
06/1979,12641.30483676145
07/1979,13021.765580489895
08/1979,13884.010396038655
09/1979,17315.928285732916
10/1979,16724.15700335673
11/1979,18125.753795494482
12/1979,22340.74325386851
01/1980,27568.713580254476
02/1980,27145.20551505464
03/1980,22193.133006653294
04/1980,23528.511246793627
05/1980,23272.26478118438
06/1980,27987.286923426134
07/1980,25983.145023528996
08/1980,27235.35515702091
09/1980,28701.982852224202
10/1980,27761.31125729345
11/1980,28314.791711310303
12/1980,27784.679588526375
01/1981,23946.75333145678
02/1981,24696.172769881432
03/1981,25965.49843162179
04/1981,25048.94099164773
05/1981,26388.40126682679
06/1981,24356.408270214124
07/1981,23922.117391181586
08/1981,25723.063956048394
09/1981,24773.95220383097
10/1981,23944.090957947497
11/1981,22995.59133331453
12/1981,22498.37669630131
01/1982,22101.713933139436
02/1982,21400.099242568373
03/1982,19232.340158140018
04/1982,22048.542947164096
05/1982,19175.332232953013
06/1982,19806.773186266462
07/1982,21852.11300189982
08/1982,26386.605267274495
09/1982,25697.465445368183
10/1982,27723.456321003792
11/1982,29039.257217466973
12/1982,28612.691352437178
01/1983,31679.433550957467
02/1983,26385.79990714294
03/1983,26926.486309912678
04/1983,28271.43480851461
05/1983,28996.556901355565
06/1983,28418.418110593164
07/1983,29221.367644264054
08/1983,29616.871727096393
09/1983,28975.93747337754
10/1983,26882.24774673504
11/1983,29264.528740601116
12/1983,28266.936546789653
01/1984,28315.826835150012
02/1984,28954.654016214565
03/1984,27517.61117488056
04/1984,27090.351532813682
05/1984,28729.170805905756
06/1984,27888.36036761702
07/1984,26560.989561915896
08/1984,27324.85891638208
09/1984,28248.35055273932
10/1984,27906.51705572071
11/1984,26812.082403368433
12/1984,26120.625509806083
01/1985,26617.306424594703
02/1985,25910.458050900615
03/1985,29717.58122142763
04/1985,27001.055102008413
05/1985,26570.311098441154
06/1985,26421.711481965773
07/1985,25906.881495878442
08/1985,25459.547138288028
