Data,FR0007075494
08/2001,10000
09/2001,9413.32879376059
10/2001,9942.843429224713
11/2001,10457.945111082638
12/2001,10809.550197480585
01/2002,10410.065769560713
02/2002,10312.258963311988
03/2002,10575.165921608526
04/2002,9310.714461606838
05/2002,9106.055396405194
06/2002,8048.2430923422335
07/2002,7436.446791265795
08/2002,7461.192127457472
09/2002,6558.638054504724
10/2002,7378.24310347332
11/2002,7754.730853069014
12/2002,6878.723638802466
01/2003,6373.497474651572
02/2003,6296.791213934265
03/2003,6314.914415758521
04/2003,6701.553563413818
05/2003,6563.088887981185
06/2003,6960.227181867684
07/2003,7067.262342548393
08/2003,7240.941815467189
09/2003,6891.331997894166
10/2003,7150.055944337518
11/2003,7037.120991309333
12/2003,7166.954432994045
01/2004,7353.769038628453
02/2004,7433.783186883151
03/2004,7361.966109980266
04/2004,7506.112525382257
05/2004,7388.349723659585
06/2004,7499.580515010855
07/2004,7374.809875466394
08/2004,7394.81421981411
09/2004,7248.767891208117
10/2004,7144.883103748971
11/2004,7075.910176632704
12/2004,7139.10790083462
01/2005,7287.331185012534
02/2005,7442.198127465639
03/2005,7398.019616168276
04/2005,7326.149136672952
05/2005,7834.290423224047
06/2005,8003.513624058632
07/2005,8138.5117717948215
08/2005,7953.101408642144
09/2005,8278.848001794917
10/2005,8144.50208375432
11/2005,8475.888878157491
12/2005,8462.990942307788
01/2006,8457.78574550603
02/2006,8581.731393210872
03/2006,8614.997535137778
04/2006,8472.980725078236
05/2006,8079.604002546731
06/2006,8200.853395592394
07/2006,8431.788378171748
08/2006,8675.640288198827
09/2006,8848.664743028508
10/2006,9017.975726873521
11/2006,8839.643594347117
12/2006,9104.505253565541
01/2007,9208.878427250085
02/2007,8850.865112148884
03/2007,8842.55932883407
04/2007,9094.95857054629
05/2007,9401.817682557614
06/2007,9390.017616374173
07/2007,9117.02225015186
08/2007,9171.39049226881
09/2007,9158.25926559914
10/2007,9152.079430963868
11/2007,8736.625901640915
12/2007,8717.9121127239
01/2008,7919.39823830337
02/2008,7633.394526114764
03/2008,7283.645104542167
04/2008,7723.624831916411
05/2008,7604.890425427225
06/2008,6940.86512830663
07/2008,6954.044738764966
08/2008,7264.115891896407
09/2008,6857.727243280092
10/2008,6489.124448013421
11/2008,6083.4481621682335
12/2008,5476.578693798157
01/2009,5494.629240416347
02/2009,5046.341320364824
03/2009,5166.767300422214
04/2009,5551.502838834991
05/2009,5533.4002385643835
06/2009,5612.848316155411
07/2009,6015.458852023967
08/2009,6136.493000883394
09/2009,6213.846938897969
10/2009,6210.42952136639
11/2009,6369.126789319167
12/2009,6756.261389028715
01/2010,6621.353730333252
02/2010,6774.147033004043
03/2010,7152.949612717329
04/2010,7250.844783664905
05/2010,7022.8920078626015
06/2010,6822.218391664242
07/2010,6841.612295939341
08/2010,6768.79141426334
09/2010,6803.655241094561
10/2010,6929.416766574427
11/2010,7173.168163300984
12/2010,7529.116243983185
01/2011,7538.375456379561
02/2011,7699.015491943787
03/2011,7405.588822750864
04/2011,7368.255127479453
05/2011,7453.780158303262
06/2011,7246.080536846812
07/2011,7294.743618111815
08/2011,6809.253366039735
09/2011,6860.541548023814
10/2011,7227.200900837716
11/2011,7337.519094185534
12/2011,7756.919440982644
01/2012,7923.235463300704
02/2012,8162.510173115915
03/2012,8390.743165364443
04/2012,8321.89503679585
05/2012,8250.307545086174
06/2012,8503.299301529438
07/2012,8963.823626963424
08/2012,8949.076865714436
09/2012,9037.69823640771
10/2012,8771.765476577955
11/2012,8765.616824008928
12/2012,8712.901320508325
01/2013,8796.282419869167
02/2013,9164.951650528163
03/2013,9498.851084816843
04/2013,9549.125859756376
05/2013,9742.13995387601
06/2013,9457.31714376064
07/2013,9664.869259734352
08/2013,9505.547168669367
09/2013,9517.61752390129
10/2013,9931.165753919848
11/2013,10171.10997058371
12/2013,10127.856043835012
01/2014,9961.480832982492
02/2014,10118.266495467607
03/2014,10293.151244893425
04/2014,10448.470209887495
05/2014,10794.483440790524
06/2014,10894.33837738717
07/2014,11010.531297035192
08/2014,11458.040589306567
09/2014,11761.070794891139
10/2014,11870.49715825408
11/2014,12104.259728878473
12/2014,12170.045630568873
01/2015,12656.250755138855
02/2015,13486.227660615365
03/2015,13708.572851390241
04/2015,13649.02602234069
05/2015,13930.184658973647
06/2015,13290.557568251703
07/2015,13692.271784563072
08/2015,12577.02617205092
09/2015,12310.485032209133
10/2015,13633.336892611836
11/2015,14235.858484781573
12/2015,13626.529655338822
01/2016,13090.380222977017
02/2016,12814.975225852144
03/2016,13034.162183374829
04/2016,12996.75824842069
05/2016,13619.63592107198
06/2016,13735.23127384668
07/2016,14143.373861383829
08/2016,14272.614478370318
09/2016,14217.484140407227
10/2016,14283.965065494354
11/2016,14974.38487669166
12/2016,15553.983176651082
01/2017,15404.160421346796
02/2017,16259.86828535307
03/2017,16326.830449538053
04/2017,16194.687376227539
05/2017,16035.996463012501
06/2017,15742.554616958789
07/2017,15607.63972610988
08/2017,15578.843213659007
09/2017,15893.265243221325
10/2017,16592.3530286979
11/2017,16519.58909039639
12/2017,16622.36847713125
01/2018,16907.99576482337
02/2018,16620.276854840777
03/2018,15989.125755427818
04/2018,16461.405852677603
05/2018,17315.440130714993
06/2018,17392.962917034794
07/2018,18118.77338461398
08/2018,18774.141790824164
09/2018,19024.379977676334
10/2018,18252.732194568838
11/2018,18316.44905164218
12/2018,16747.25596366865
01/2019,17828.127583601956
02/2019,18550.710871468265
03/2019,19415.69989906449
04/2019,20242.097236145102
05/2019,19098.75833869381
06/2019,19979.924241529563
07/2019,20698.858309178402
08/2019,20409.363097222344
09/2019,21111.68013428426
10/2019,21167.573967104603
11/2019,22154.086785010113
12/2019,22559.436565770673
01/2020,23079.34079022083
02/2020,21286.724443522395
03/2020,19500.828563779258
04/2020,21916.733319435247
05/2020,22320.530506829527
06/2020,22896.037916360772
07/2020,23015.99446974617
08/2020,24705.53603428101
09/2020,23839.36585994314
10/2020,22947.208634849016
11/2020,24636.351266743713
12/2020,25394.942309684335
01/2021,25448.081065826995
02/2021,25717.509486725452
03/2021,27254.13033400823
04/2021,28181.615907749627
05/2021,27634.980379078126
06/2021,29659.618007308425
07/2021,30343.133437518893
08/2021,31552.970529755756
09/2021,30498.363250868384
10/2021,32677.856428191535
11/2021,33531.778378616706
12/2021,34191.0226217578
01/2022,32909.29313955549
02/2022,31489.601181549737
03/2022,33112.01841824391
04/2022,31255.427917034864
05/2022,30529.798792411664
06/2022,28649.77472573057
07/2022,32098.26553668894
08/2022,30847.92152268293
09/2022,28605.051373239654
10/2022,29685.768033066975
11/2022,30172.14068942199
12/2022,27331.618894612428
01/2023,28961.288112934097
02/2023,29038.858565527655
03/2023,30509.383665138354
04/2023,30689.700668545
05/2023,32940.393295580354
06/2023,34072.33236615131
07/2023,34889.23435947195
08/2023,34993.19435966485
09/2023,34142.13424003405
10/2023,33513.213844074446
11/2023,35426.545785305876
