Data,GB00BJYDH287
08/2011,10000
09/2011,6439.632026216398
10/2011,4246.959815212917
11/2011,4280.407999887148
12/2011,6369.657101530452
01/2012,7233.373904047255
02/2012,6669.2998387565785
03/2012,6586.3917841369475
04/2012,6787.816716614693
05/2012,7472.157008897379
06/2012,9405.564439537755
07/2012,13526.277517848937
08/2012,14414.241395172918
09/2012,16897.680826775715
10/2012,15123.547990913621
11/2012,17086.848438818473
12/2012,17899.861314404337
01/2013,26920.05497031374
02/2013,45510.14166448692
03/2013,133770.09436839813
04/2013,190529.2186709037
05/2013,174958.27863960183
06/2013,121629.88822983422
07/2013,131459.53550779272
08/2013,171626.45357082225
09/2013,165759.7807071474
10/2013,264442.0200362186
11/2013,1457492.5752121573
12/2013,939391.7408243387
01/2014,1050730.8931352827
02/2014,705792.6081562842
03/2014,582161.9132267808
04/2014,571475.1006087839
05/2014,813136.0484500669
06/2014,826630.9448095245
07/2014,765463.1047333945
08/2014,638522.1263877288
09/2014,545850.3888767023
10/2014,473528.09834475606
11/2014,529555.5571580017
12/2014,463164.5181500521
01/2015,335737.33797241724
02/2015,394346.77406033856
03/2015,396662.5942185533
04/2015,367693.7379420579
05/2015,364012.7550333517
06/2015,408969.1825831299
07/2015,451623.1112099538
08/2015,356673.0661720518
09/2015,366621.0438152558
10/2015,489288.1874346192
11/2015,618450.4284869927
12/2015,686896.1917316426
01/2016,585103.2902068273
02/2016,692643.6306357854
03/2016,630551.7473735455
04/2016,680237.3290056131
05/2016,824346.4592877688
06/2016,1039512.1868001998
07/2016,969065.5213204125
08/2016,884329.933005033
09/2016,939253.3245567441
10/2016,1096748.9647587547
11/2016,1200912.3589747103
12/2016,1576805.6858060313
01/2017,1540488.0919828077
02/2017,1930756.0051761381
03/2017,1718015.3204401033
04/2017,2118547.5297813267
05/2017,3510507.992557838
06/2017,3700539.6206296426
07/2017,4168317.9207812743
08/2017,6849521.374117168
09/2017,6263631.896434869
10/2017,9445444.406200279
11/2017,14335693.748436183
12/2017,19751096.02526629
01/2018,13888350.812297806
02/2018,14385209.192007966
03/2018,9567384.26201679
04/2018,13010160.1197907
05/2018,10879124.801465845
06/2018,9296333.017000923
07/2018,11164593.224859862
08/2018,10206441.46412658
09/2018,9650331.295747142
10/2018,9422044.541927097
11/2018,5907003.368179976
12/2018,5445492.612343982
01/2019,5011416.468215907
02/2019,5597937.133711732
03/2019,6140857.228700267
04/2019,7906412.190826223
05/2019,12896326.078183426
06/2019,15898318.547622697
07/2019,15194775.585222656
08/2019,14593334.450008625
09/2019,12781338.168319067
10/2019,13748065.591619728
11/2019,11511752.829806393
12/2019,10674613.821012402
01/2020,14110663.807734353
02/2020,12977270.895837415
03/2020,9779963.191790912
04/2020,13229082.094265418
05/2020,14136074.338520557
06/2020,13580467.5752927
07/2020,15949961.05847496
08/2020,16230099.778701173
09/2020,15293710.13818965
10/2020,19608919.994547624
11/2020,27286450.29045491
12/2020,39183582.437912315
01/2021,45257601.66216646
02/2021,61821316.68820002
03/2021,82989784.988281
04/2021,79091786.98721966
05/2021,50557546.57453526
06/2021,48663212.15339326
07/2021,57553197.453098156
08/2021,65682262.310979
09/2021,62348231.41834861
10/2021,86731056.15442069
11/2021,82462385.88707949
12/2021,67042324.906071275
01/2022,56637342.349564955
02/2022,63245138.21137189
03/2022,67208576.19423541
04/2022,58482017.60222911
05/2022,48507451.87432874
06/2022,31345514.370220147
07/2022,37345800.47218493
08/2022,32726399.558813345
09/2022,32485400.689804826
10/2022,33680133.28058261
11/2022,26929095.215152007
12/2022,25196072.268256508
01/2023,34692455.99612345
02/2023,35377905.65900879
03/2023,42490418.92327122
04/2023,43168227.29372998
05/2023,41278369.71343225
06/2023,45396208.56535796
07/2023,42895451.14604184
08/2023,38563059.54831847
09/2023,41107327.64886364
10/2023,52680750.075155236
11/2023,55650543.6769572
12/2023,61631886.02272181
01/2024,63240601.61965649
02/2024,90926682.95959325
03/2024,106052864.0414736
04/2024,90902813.2091955
