Data,GB00BLD4ZL17
08/2011,10000
09/2011,6439.382026216398
10/2011,4246.633954789
11/2011,4279.97340720448
12/2011,6368.903386656121
01/2012,7232.358763880813
02/2012,6668.183052436087
03/2012,6585.122176343843
04/2012,6786.343653641133
05/2012,7470.365774727032
06/2012,9403.122967544681
07/2012,13522.531323781375
08/2012,14409.911210219117
09/2012,16892.24434353747
10/2012,15118.259992524636
11/2012,17080.496009458748
12/2012,17892.779616386928
01/2013,26908.957305741696
02/2013,45490.70760119685
03/2013,133711.8336467879
04/2013,190442.89492315392
05/2013,174874.2486004142
06/2013,121567.09922209135
07/2013,131388.63296290304
08/2013,171530.60233039001
09/2013,165662.91766550904
10/2013,264283.349672949
11/2013,1456611.4441917886
12/2013,938787.4137579644
01/2014,1050031.469967912
02/2014,705296.5437333997
03/2014,581735.1098893597
04/2014,571041.5887711436
05/2014,812504.9404569701
06/2014,825969.0502544227
07/2014,764829.5388672085
08/2014,637974.5075131848
09/2014,545366.2991579125
10/2014,473094.5137967707
11/2014,529058.8438766948
12/2014,462716.85195967444
01/2015,335401.26709554216
02/2015,393943.6504900414
03/2015,396247.254694683
04/2015,367298.82509690913
05/2015,363612.61319103296
06/2015,408510.53197105887
07/2015,451106.41232201905
08/2015,356253.7213157279
09/2015,366181.0966577481
10/2015,488691.8845399846
11/2015,617684.496323742
12/2015,686030.0494469526
01/2016,584348.3530088767
02/2016,691735.3293936201
03/2016,629707.5772097313
04/2016,679310.898081869
05/2016,823206.7800398389
06/2016,1038054.4554742663
07/2016,967680.6275769656
08/2016,883041.9430681329
09/2016,937863.264925255
10/2016,1095102.3709154406
11/2016,1199082.0028303768
12/2016,1574372.4393134685
01/2017,1538071.5296464975
02/2017,1927688.7781140108
03/2017,1715237.8641034462
04/2017,2115079.66583772
05/2017,3504708.7426762762
06/2017,3694338.826697791
07/2017,4161240.9376020595
08/2017,6837788.204320836
09/2017,6252731.405449301
10/2017,9428850.343279628
11/2017,14310272.615687953
12/2017,19715714.136184115
01/2018,13862978.48554633
02/2018,14358582.591001226
03/2018,9549316.349321844
04/2018,12985351.825259479
05/2018,10858055.416657798
06/2018,9278057.54220247
07/2018,11142413.023316372
08/2018,10185886.219809314
09/2018,9630641.381341662
10/2018,9402579.643075803
11/2018,5894565.089984672
12/2018,5433878.765501034
01/2019,5000592.5481060315
02/2019,5585721.4006949635
03/2019,6127317.100699433
04/2019,7888825.964089967
05/2019,12867443.569061914
06/2019,15862391.113998506
07/2019,15160041.476499781
08/2019,14559596.189233197
09/2019,12751425.063257765
10/2019,13715571.197694859
11/2019,11484201.208597975
12/2019,10648778.659062378
01/2020,14076246.349561935
02/2020,12945266.001248408
03/2020,9755519.951823384
04/2020,13195774.52066383
05/2020,14100153.28725695
06/2020,13545605.867541967
07/2020,15908678.107834298
08/2020,16187694.033916894
09/2020,15253346.284911405
10/2020,19556785.91008948
11/2020,27213415.095724136
12/2020,39078022.92099465
01/2021,45134701.95029716
02/2021,61652308.85445516
03/2021,82761365.24226041
04/2021,78872026.99391228
05/2021,50415098.41695811
06/2021,48524840.99064547
07/2021,57388334.985903315
08/2021,65492679.24083261
09/2021,62166634.26571935
10/2021,86476886.75820586
11/2021,82218564.10556285
12/2021,66842041.135574505
01/2022,56466471.61024144
02/2022,63052920.57111436
03/2022,67002736.36122693
04/2022,58301229.54826222
05/2022,48356041.106906235
06/2022,31246463.83450212
07/2022,37227008.117666915
08/2022,32621370.26986173
09/2022,32380329.307616297
10/2022,33570388.12492245
11/2022,26840508.74490331
12/2022,25112515.770951685
01/2023,34576779.29485185
02/2023,35259079.010937326
03/2023,42346821.42165419
04/2023,43021280.45014984
05/2023,41136780.50926462
06/2023,45239466.31587522
07/2023,42746212.42709331
08/2023,38427825.11430708
09/2023,40962210.18109614
10/2023,52493751.949382156
11/2023,55451691.485092565
12/2023,61410274.826694086
01/2024,63011670.67093115
02/2024,90595953.11740683
03/2024,105664850.47299011
04/2024,90567587.21826786
