Data,IE0005042456
04/2000,10000.000000000002
05/2000,9821.82230708352
06/2000,9608.018193603968
07/2000,9921.212883249911
08/2000,10526.789676162154
09/2000,10217.143825735599
10/2000,10742.243709350902
11/2000,9727.821211103552
12/2000,9692.848366604154
01/2001,9619.040922029559
02/2001,9039.107351240293
03/2001,8916.904248985382
04/2001,9466.641885032217
05/2001,9555.08034969394
06/2001,9222.549720596531
07/2001,8876.908796232354
08/2001,8429.073104291596
09/2001,7829.539708258866
10/2001,8063.123378713119
11/2001,8307.823529171985
12/2001,8542.727789145021
01/2002,8424.153622350233
02/2002,8353.105510777124
03/2002,8652.933681803339
04/2002,8105.455514252338
05/2002,8168.287007350379
06/2002,7519.718393867024
07/2002,7127.376442442328
08/2002,7036.296721438321
09/2002,6262.633728572152
10/2002,6773.150634928985
11/2002,6930.860189939887
12/2002,6445.734291185184
01/2003,5792.863240945524
02/2003,5719.25150212378
03/2003,5651.85974098322
04/2003,6050.588705647867
05/2003,6060.402536703348
06/2003,6274.968070098702
07/2003,6398.874115152198
08/2003,6538.073281303562
09/2003,6384.344196893982
10/2003,6817.582790995723
11/2003,6819.266940522156
12/2003,6937.845418306095
01/2004,7007.781252372257
02/2004,7349.278218401034
03/2004,7280.113869704232
04/2004,7337.3629324786
05/2004,7359.159542867351
06/2004,6949.852827536011
07/2004,7303.10054851324
08/2004,6947.547590126324
09/2004,7359.854723865589
10/2004,7355.537620983801
11/2004,7498.409448836305
12/2004,7553.474865669245
01/2005,7439.492149984442
02/2005,8006.414739231632
03/2005,7962.987379456585
04/2005,7953.141264618265
05/2005,7896.192134854284
06/2005,8560.788615412639
07/2005,8655.575290343024
08/2005,8820.639936180964
09/2005,9145.386740020216
10/2005,8565.470137145012
11/2005,9097.672453592495
12/2005,9338.733659904976
01/2006,9590.797705885554
02/2006,9738.525068346453
03/2006,9860.797232787374
04/2006,9980.692963301302
05/2006,9634.355810964607
06/2006,9756.43085359289
07/2006,9675.156181701834
08/2006,10216.960054275078
09/2006,10268.594616786177
10/2006,10709.816227389172
11/2006,10522.073985234023
12/2006,10771.507367463624
01/2007,10876.952470060056
02/2007,10685.467294205799
03/2007,10906.960938485974
04/2007,10828.206892507718
05/2007,11471.085650928191
06/2007,11580.149999518304
07/2007,11149.506266375842
08/2007,11061.34340307141
09/2007,11056.304177276457
10/2007,11505.595143574914
11/2007,10778.187014440822
12/2007,10297.40029383463
01/2008,9424.696134380263
02/2008,9251.64998300395
03/2008,8492.64322667012
04/2008,9379.173176337836
05/2008,9411.723586401913
06/2008,8497.544043666023
07/2008,8417.63059367641
08/2008,8650.54471179397
09/2008,7677.501982069129
10/2008,6896.813218364645
11/2008,6448.799139204812
12/2008,5677.971348365353
01/2009,5640.6407744201415
02/2009,5274.454140054135
03/2009,5211.792501969222
04/2009,5890.794236789428
05/2009,6310.483874413492
06/2009,6242.8942377814865
07/2009,6750.091918951451
08/2009,7022.6508954072615
09/2009,7130.159477949466
10/2009,7132.899601174639
11/2009,7234.297171631324
12/2009,7748.444071285395
01/2010,7615.790874532925
02/2010,7670.791150772699
03/2010,8195.225667758981
04/2010,8208.88908068281
05/2010,7903.475547419461
06/2010,7793.208192674073
07/2010,8169.672480512234
08/2010,8259.684487219061
09/2010,8425.886294777827
10/2010,8543.699787573754
11/2010,8656.762012839314
12/2010,8997.731748004497
01/2011,8945.902205016735
02/2011,9268.321414597556
03/2011,8859.295434121039
04/2011,9040.04251520369
05/2011,9155.198059490047
06/2011,8809.717346480165
07/2011,8894.824861395096
08/2011,8204.57034794204
09/2011,7986.001994023161
10/2011,8576.632049337219
11/2011,8736.261116165928
12/2011,9062.263131235239
01/2012,9249.427102602967
02/2012,9510.574378574933
03/2012,9496.654949687188
04/2012,9713.453481882556
05/2012,9202.76677774746
06/2012,9583.439764741892
07/2012,9983.099250444444
08/2012,10044.954868983416
