Data,IE000716YHJ7
09/2003,10000
10/2003,10630.568455128581
11/2003,10452.599229331761
12/2003,10539.447741438094
01/2004,10945.365171632202
02/2004,11128.613404185062
03/2004,11246.81284494719
04/2004,11230.627410431358
05/2004,11083.09573057555
06/2004,11331.51086102075
07/2004,11083.038798221323
08/2004,11093.34468071471
09/2004,11056.226032560626
10/2004,11033.715196019706
11/2004,11151.501296744413
12/2004,11302.824756975422
01/2005,11563.94301010946
02/2005,11765.410182067666
03/2005,11765.071486008499
04/2005,11513.148137619615
05/2005,12347.47998235548
06/2005,12734.575046926531
07/2005,13215.270022555524
08/2005,13194.613501984597
09/2005,13755.368179390262
10/2005,13418.24578049834
11/2005,14199.93785623897
12/2005,14514.550307691246
01/2006,14832.260113762417
02/2006,15124.115147380913
03/2006,15159.798654714335
04/2006,15116.133999493866
05/2006,14156.365063133726
06/2006,14337.469186613132
07/2006,14391.203769037089
08/2006,14671.735858926044
09/2006,15076.829056819923
10/2006,15592.979593432665
11/2006,15425.994462943734
12/2006,15816.844784355997
01/2007,16232.491151989409
02/2007,15825.595299354167
03/2007,16014.731026415362
04/2007,16385.619136354402
05/2007,17083.725906477706
06/2007,16975.506823766274
07/2007,16477.02834155471
08/2007,16434.46683692832
09/2007,16734.421138622572
10/2007,17085.284689984834
11/2007,16018.724342101386
12/2007,15873.099697398653
01/2008,14430.852389294803
02/2008,14179.580870595028
03/2008,13402.082830080195
04/2008,14395.73381986156
05/2008,14642.564004141499
06/2008,13186.0729815693
07/2008,13000.984419008459
08/2008,13469.569752513764
09/2008,12169.292376139912
10/2008,10924.105421622557
11/2008,10236.040603447054
12/2008,9710.606215467687
01/2009,9624.741644446673
02/2009,8807.49684860361
03/2009,9075.126739538058
04/2009,10192.108218799924
05/2009,10566.027678053017
06/2009,10482.087974053917
07/2009,11408.470229750712
08/2009,11717.89745344359
09/2009,11943.816769024303
10/2009,11631.269487046853
11/2009,11925.10468272265
12/2009,12686.931670119244
01/2010,12522.691024205793
02/2010,13037.568653903956
03/2010,13979.314486268191
04/2010,14172.540343708433
05/2010,13862.64998488459
