Data,IE0007P4PBU1
12/1992,10000
01/1993,10078.782117840958
02/1993,11365.55326346764
03/1993,10195.73352226643
04/1993,9303.440413192806
05/1993,8766.08498793207
06/1993,8601.125391660675
07/1993,7903.55016816096
08/1993,9311.88082290673
09/1993,9541.274983629426
10/1993,10584.691968023097
11/1993,11761.875437730036
12/1993,14614.557162127643
01/1994,12841.678845480254
02/1994,12100.758592320903
03/1994,9685.043072560471
04/1994,9488.818028554497
05/1994,9712.552150461099
06/1994,8515.19424910144
07/1994,9214.30731056524
08/1994,9753.374229009745
09/1994,9773.739613697891
10/1994,9214.591255229128
11/1994,8131.086945037985
12/1994,7267.242904774022
01/1995,6133.905255650957
02/1995,6760.8160204082915
03/1995,6507.1065585451925
04/1995,5710.164677382701
05/1995,6832.074434243118
06/1995,6694.260614576696
07/1995,6944.965584198216
08/1995,6737.382508590906
09/1995,6525.351330222917
10/1995,6024.230940774249
11/1995,5610.666538732701
12/1995,5434.360577453021
01/1996,6341.4132403220665
02/1996,6565.467866416987
03/1996,6258.061912743681
04/1996,5976.000306198629
05/1996,6324.664678196891
06/1996,6373.909206265076
07/1996,6056.113195347239
08/1996,5980.391291804317
09/1996,5961.024928909668
10/1996,5831.331836566593
11/1996,6419.823865372762
12/1996,7647.7479979065565
01/1997,7679.524108003624
02/1997,8248.242204844326
03/1997,8100.88586776827
04/1997,9218.9797636591
05/1997,9084.890163067766
06/1997,9390.326543691435
07/1997,10971.110587318146
08/1997,11947.057954613178
09/1997,9696.44653668151
10/1997,7972.030122021537
11/1997,6392.77318790996
12/1997,6369.54510136087
01/1998,4857.103734662243
02/1998,6564.956533019781
03/1998,6417.541742750845
04/1998,5716.111361693423
05/1998,4888.942652774848
06/1998,4155.482196143913
07/1998,3410.761660519308
08/1998,2475.9518592392656
09/1998,3379.7761590870123
10/1998,3578.248665918215
11/1998,3797.9266178621197
12/1998,3461.6643944457396
01/1999,2909.5053395372174
02/1999,2878.1362682630893
03/1999,3352.546644854849
04/1999,4251.084430668988
05/1999,4317.760956788892
06/1999,6417.642207538047
