Data,IE00B0M62Q58
12/1978,10000
01/1979,10394.764238583843
02/1979,10240.41133390583
03/1979,10662.170728248962
04/1979,10760.879156287532
05/1979,10686.88666171342
06/1979,10863.026934083577
07/1979,10548.011960721764
08/1979,11000.227594541395
09/1979,11121.083500866527
10/1979,10333.145272244225
11/1979,10603.256201952361
12/1979,10637.83402717375
01/1980,11162.508354506055
02/1980,11266.60383153275
03/1980,10582.833043861061
04/1980,11405.848570174112
05/1980,11443.877900574984
06/1980,11811.342061158568
07/1980,12017.806723004278
08/1980,12490.207033412824
09/1980,12829.052457906217
10/1980,13529.059320740207
11/1980,14582.619304416892
12/1980,14707.27233169593
01/1981,14315.35117365978
02/1981,15328.092552150752
03/1981,15876.348785548658
04/1981,16298.527689554554
05/1981,16948.730428539944
06/1981,17559.2779751786
07/1981,17780.23469340815
08/1981,17894.473463724436
09/1981,15789.489188442474
10/1981,15783.610401358244
11/1981,16766.974478165837
12/1981,16628.525212060158
01/1982,16626.22400945198
02/1982,16131.508143594227
03/1982,15969.314475354411
04/1982,17003.58058874458
05/1982,16000.47823923943
06/1982,16156.150600727631
07/1982,16281.963618763746
08/1982,17561.318715897178
09/1982,17798.800434629535
10/1982,19237.489728706554
11/1982,20585.366115401666
12/1982,20613.351816332262
01/1983,20894.011801895336
02/1983,21713.23946999459
03/1983,22579.108959571004
04/1983,24527.770196040932
05/1983,24426.332271357147
06/1983,25952.638899901973
07/1983,25822.23724488694
08/1983,26789.440672069486
09/1983,27335.507797987033
10/1983,26555.349428469697
11/1983,27955.749521480906
12/1983,29016.49188387752
01/1984,29898.62825513238
02/1984,28488.127360646577
03/1984,28751.327237704936
04/1984,29138.414865355127
05/1984,27939.486735384035
06/1984,28161.09666236599
07/1984,28181.322402837828
08/1984,31343.666656805835
09/1984,32683.947836847623
10/1984,33616.45345479133
11/1984,32596.872648682944
12/1984,34574.153982610456
01/1985,37352.99782559097
02/1985,38799.88437567755
03/1985,40215.71798871245
04/1985,37308.90967656829
05/1985,39478.87146361093
06/1985,39460.78537276713
07/1985,38288.698417231804
08/1985,37256.277475834846
09/1985,38121.54836792036
10/1985,37683.496144993966
