Data,IE00B0M63060
11/2005,10000
12/2005,10437.652423999309
01/2006,10659.90775253123
02/2006,11100.32583425161
03/2006,11034.835248665437
04/2006,10935.703610503337
05/2006,10690.842035950114
06/2006,10791.14847853441
07/2006,11079.398685933797
08/2006,11470.071273731153
09/2006,11935.790832721723
10/2006,12575.44862570572
11/2006,12622.34008183711
12/2006,13288.582644425238
01/2007,13553.437026533678
02/2007,13141.02221560582
03/2007,13665.603543991983
04/2007,13901.232724490095
05/2007,14199.37649382725
06/2007,13710.393641226337
07/2007,13242.029792309897
08/2007,13173.478338038329
09/2007,12223.0433764615
10/2007,12694.921257305003
11/2007,11430.523387015151
12/2007,10779.200135621326
01/2008,9983.481163174823
02/2008,9620.794526789268
03/2008,9178.970642125469
04/2008,9256.62337605051
05/2008,8683.767992663825
06/2008,7425.930355007566
07/2008,7185.349992241989
08/2008,7756.745034800409
09/2008,6910.543626407787
10/2008,5573.104927041026
11/2008,5117.9862398536125
12/2008,4521.568545612715
01/2009,4552.4065296213375
02/2009,4413.032231798735
03/2009,4094.279331014522
04/2009,5195.729557300437
05/2009,5290.3361944165945
06/2009,5362.276809488141
07/2009,5709.400817467278
08/2009,6122.494626428392
09/2009,6063.6625960205065
10/2009,5972.765829062248
11/2009,5990.941535577253
12/2009,6457.592462627689
01/2010,6469.133152742386
02/2010,6301.737063994237
03/2010,6706.158918090028
04/2010,6813.113776087859
05/2010,6616.731514300799
06/2010,6848.000868460377
07/2010,7002.158905930602
08/2010,7067.796393496513
09/2010,7094.974858944717
10/2010,7266.261755219286
11/2010,7254.5457398395165
12/2010,7542.712238300252
01/2011,7606.137094067615
02/2011,7865.473675735995
03/2011,7295.69657858375
04/2011,7636.126528218447
05/2011,7873.159225409733
06/2011,7442.45745367214
07/2011,7446.329636099003
08/2011,6988.4004473877285
09/2011,6860.284900226693
10/2011,7188.533875988251
11/2011,7223.728559002098
12/2011,7293.549575019107
01/2012,7638.279744990481
02/2012,7891.812153245501
03/2012,7962.921159068131
04/2012,7988.220617510791
05/2012,7602.795493484516
06/2012,7985.267984732406
07/2012,8362.156770060656
08/2012,8478.900933690278
09/2012,8571.040214793766
10/2012,8575.351481793825
11/2012,8613.294839841494
12/2012,8792.90226008685
01/2013,8784.777960388623
02/2013,9011.361007468135
03/2013,9191.797637572628
04/2013,9466.382208060972
05/2013,9812.874378587516
06/2013,9331.19054324364
07/2013,9779.356738957964
08/2013,9719.90252009549
09/2013,10104.80479049953
10/2013,10395.401251002475
11/2013,10508.658218523959
12/2013,10652.537643305475
01/2014,10551.001526608783
02/2014,11075.943216932887
03/2014,10769.605857110191
04/2014,11165.439483745251
05/2014,11526.863336203807
06/2014,11562.55889083255
07/2014,11576.692658206675
08/2014,11760.579824076323
09/2014,11580.033289330604
10/2014,11569.540749282707
11/2014,12032.941243086141
12/2014,12230.651233357205
01/2015,13232.853449312894
02/2015,14131.226403625547
03/2015,13996.498582506503
04/2015,14439.431550462441
05/2015,14909.45195713255
06/2015,14264.206992764284
07/2015,14618.600919896378
08/2015,13576.245821825887
09/2015,13035.10233292845
10/2015,14034.488471751949
11/2015,14087.786755629473
12/2015,13077.902587985438
01/2016,12186.675078069045
02/2016,11848.576728237087
03/2016,12123.256614847322
04/2016,12416.25923732939
05/2016,12649.990846322757
06/2016,11668.62692744865
07/2016,11808.163520321885
08/2016,12104.781331001115
09/2016,11966.203355993111
10/2016,11235.41175777401
11/2016,11729.936699946658
12/2016,12160.543992793258
01/2017,11888.825264935635
02/2017,12469.226436526636
03/2017,12705.037118306405
04/2017,12986.451044567666
05/2017,12899.43701454987
06/2017,12416.69973613202
07/2017,12140.479256982146
08/2017,11772.011800415308
09/2017,12172.243038994246
10/2017,12155.523848274574
11/2017,11849.358384082576
12/2017,12532.116909392706
01/2018,12270.184757277822
02/2018,11765.464265662838
03/2018,11818.810243138687
04/2018,12686.418040709967
05/2018,12793.590541091711
06/2018,12654.989533877395
07/2018,12641.286474186465
08/2018,12304.899985322796
09/2018,12250.006109013715
10/2018,11892.005738027241
11/2018,11284.69257160045
12/2018,10657.292229952433
01/2019,11739.076433262813
02/2019,11997.10438405234
03/2019,11919.849319216793
04/2019,11851.367256150848
05/2019,10828.125568877458
06/2019,11088.299723003265
07/2019,10968.570652076394
08/2019,10825.47889239941
09/2019,11703.062232580449
10/2019,12133.36431467803
11/2019,12593.663403534834
12/2019,13352.082589884576
01/2020,12859.034248919535
02/2020,11446.314281939436
03/2020,8161.89222398273
04/2020,8952.672568174296
05/2020,8879.116904008579
06/2020,8931.41243372006
07/2020,8410.900783377185
08/2020,9030.312544018474
09/2020,8594.159798015375
10/2020,8362.119648619135
11/2020,9817.051667614865
12/2020,10543.929172505934
01/2021,10692.468857029584
02/2021,11112.431924167235
03/2021,12193.491111216314
04/2021,12336.870418121514
05/2021,12730.856018877375
06/2021,12668.023322523746
07/2021,13005.550844219379
08/2021,13162.642000498165
09/2021,12811.222587144353
10/2021,13322.224633422722
11/2021,13119.265727530323
12/2021,13959.62155289976
01/2022,14588.374990453847
02/2022,14410.534586172
03/2022,14198.903640151057
04/2022,14190.057313059207
