Data,IE00B14X4S71
12/2004,10000
01/2005,10444.488530003462
02/2005,10244.553791709252
03/2005,10474.977528233738
04/2005,10539.866924348047
05/2005,11116.730272692012
06/2005,11357.944155267027
07/2005,11322.032210860121
08/2005,11294.70960710656
09/2005,11410.100535032052
10/2005,11425.533221761776
11/2005,11708.824882444482
12/2005,11725.525999700349
01/2006,11432.311032398833
02/2006,11674.153715252332
03/2006,11466.87172203039
04/2006,11104.742647113038
05/2006,10833.838194955657
06/2006,10984.842399908423
07/2006,11019.039949609212
08/2006,11024.260370349062
09/2006,11248.635768188407
10/2006,11258.908228754472
11/2006,10883.695146501774
12/2006,10908.640443852433
01/2007,11113.026850929713
02/2007,10984.168337689378
03/2007,10937.134127779596
04/2007,10743.966224585734
05/2007,10854.808157946838
06/2007,10857.568332264906
07/2007,10795.577699542191
08/2007,10908.488628561194
09/2007,10618.251237792805
10/2007,10459.37253163076
11/2007,10414.542297116841
12/2007,10468.340288565614
01/2008,10544.652983134869
02/2008,10442.711436917109
03/2008,10038.147740958677
04/2008,10129.619046003436
05/2008,10109.753090494356
06/2008,9975.3213950472
07/2008,10112.908027888647
08/2008,10769.513592939527
09/2008,11183.292692909408
10/2008,12659.669375744625
11/2008,12837.316846684073
12/2008,11810.656373028658
01/2009,12778.898516821966
02/2009,12938.71989068212
03/2009,12358.282132778759
04/2009,12371.623937781616
05/2009,11668.44198778704
06/2009,11619.402452737571
07/2009,11631.10087543119
08/2009,11568.47850562828
09/2009,11301.754327766697
10/2009,11205.537677194456
11/2009,11105.34185827548
12/2009,11488.317552627996
01/2010,11940.972995542936
02/2010,12312.527949939064
03/2010,12363.393183718057
04/2010,12549.502463260493
05/2010,13638.655298866555
06/2010,13741.003166252138
07/2010,12977.253773084987
08/2010,13358.202515751325
09/2010,12431.256122351315
10/2010,12271.25954912839
11/2010,13056.86733179279
12/2010,12676.022305706101
01/2011,12389.309176478288
02/2011,12250.383515796282
03/2011,11921.581791465747
04/2011,11448.261986877933
05/2011,11867.783747129912
06/2011,11814.91930534026
07/2011,12007.932692977789
08/2011,11891.416948034823
09/2011,12706.739126884539
10/2011,12264.490414083779
11/2011,12803.947313631545
12/2011,13283.623382183738
01/2012,13060.14513614228
02/2012,12781.339828682381
03/2012,12856.173162570547
04/2012,13021.699117058206
05/2012,13878.28737261293
06/2012,13663.408068765271
07/2012,14036.798591364353
08/2012,13673.273702338045
09/2012,13336.087211280501
10/2012,13262.958914936376
11/2012,13281.73378147993
12/2012,13075.466553125314
01/2013,12732.813247312515
02/2013,13151.627520584147
03/2013,13486.982432308107
04/2013,13224.333373873997
05/2013,13270.469941298083
06/2013,13186.905794612767
07/2013,13012.799381635674
08/2013,13038.891625378401
09/2013,12806.519563469077
10/2013,12691.223457435459
11/2013,12730.225982243397
12/2013,12546.050849964493
01/2014,12821.411652652396
02/2014,12556.048061065741
03/2014,12563.913794859905
04/2014,12523.6579891178
05/2014,12770.415383672535
06/2014,12716.167181076238
07/2014,12969.929296679718
08/2014,13179.717971738977
09/2014,13804.64364255111
10/2014,13908.75889631584
11/2014,13976.43471681515
12/2014,14333.87283209035
01/2015,15471.586623760386
02/2015,15526.055300594584
03/2015,16257.931668945994
04/2015,15601.35051593093
05/2015,15959.892520582282
06/2015,15651.505549741192
07/2015,15977.528834126888
08/2015,15614.00414087539
09/2015,15677.486738725334
10/2015,15926.43153141436
11/2015,16542.42575268077
12/2015,16057.904222265413
01/2016,16107.314793534426
02/2016,16171.761224048278
03/2016,15492.06371752965
04/2016,15472.238902002136
05/2016,15800.345348923553
06/2016,15967.332907117796
07/2016,15942.717865396093
08/2016,15887.168147047936
09/2016,15864.37513052451
10/2016,16162.125840399942
11/2016,16564.335669239645
12/2016,16719.154597762576
01/2017,16403.877793029733
02/2017,16665.60113046545
03/2017,16525.221430997746
04/2017,16185.970228713364
05/2017,15784.894876461502
06/2017,15506.104211641146
07/2017,15121.793761147572
08/2017,15025.095265637296
09/2017,15022.441948126316
