Data,IE00B1FZS806
12/2006,10000
01/2007,9928.481398442285
02/2007,10049.415223330838
03/2007,10004.450843595261
04/2007,9977.285413419473
05/2007,9833.99379975417
06/2007,9756.00397918354
07/2007,9931.710081834555
08/2007,10054.86928371682
09/2007,10035.278965732594
10/2007,10124.98710585047
11/2007,10243.060699893978
12/2007,10140.663596266137
01/2008,10487.550225989242
02/2008,10564.72951097436
03/2008,10517.550662543781
04/2008,10404.544404910168
05/2008,10237.048335187581
06/2008,10094.439951632638
07/2008,10312.669236656873
08/2008,10484.777528856017
09/2008,10588.676681919722
10/2008,10658.863530123348
11/2008,11208.9163507659
12/2008,11445.876912641592
01/2009,11252.058581570327
02/2009,11431.421361140532
03/2009,11568.384940208667
04/2009,11522.940111688826
05/2009,11290.428583118008
06/2009,11492.829532381675
07/2009,11658.576968553922
08/2009,11722.522651807407
09/2009,11785.951316476458
10/2009,11820.995435250594
11/2009,11953.425823415882
12/2009,11812.366237612148
01/2010,11971.308101378861
02/2010,12098.100003186302
03/2010,12142.695814341254
04/2010,12265.699401119815
05/2010,12584.590717388555
06/2010,12619.370404499301
07/2010,12630.013056509784
08/2010,13110.906450882765
09/2010,12972.44834248683
10/2010,12801.60406801844
11/2010,12651.33657900736
12/2010,12468.594819484048
01/2011,12329.135181728125
02/2011,12357.885691901192
03/2011,12241.822133652258
04/2011,12391.603712934913
05/2011,12597.9790596412
06/2011,12634.663829999065
07/2011,12956.359113347211
08/2011,13324.024668291782
09/2011,13641.252148753412
10/2011,13419.473871661081
11/2011,13238.309866553487
12/2011,13658.145774527015
01/2012,13782.434248655245
02/2012,13846.267337450376
03/2012,13882.720726017245
04/2012,14020.28788860184
05/2012,14497.53239260934
06/2012,14162.158876920908
07/2012,14584.869238307421
08/2012,14534.073065720559
09/2012,14552.47876829105
10/2012,14589.808792006206
11/2012,14774.220629060072
12/2012,14879.31871489299
01/2013,14621.19094342352
02/2013,14811.885410371708
03/2013,14997.700368884865
04/2013,15336.559492670378
05/2013,15069.373987386485
06/2013,14791.428868719395
07/2013,14913.826689390415
08/2013,14794.286349409374
09/2013,14968.192097173665
10/2013,15208.974152728546
11/2013,15223.241803302148
12/2013,15036.310520185694
01/2014,15485.71681460245
02/2014,15597.940040388357
03/2014,15748.869133720707
04/2014,15923.427611336661
05/2014,16141.674453688283
06/2014,16336.57855599505
07/2014,16476.416795749592
08/2014,16828.62796356248
09/2014,16864.32416353938
10/2014,16935.029658433148
11/2014,17209.97141987183
12/2014,17431.11199484497
01/2015,17713.673048134602
02/2015,17851.53180258633
03/2015,17972.545246233814
04/2015,17744.14441151737
05/2015,17471.547381215285
06/2015,17044.34935761154
07/2015,17471.43369020349
08/2015,17276.34124780344
09/2015,17567.791320394936
10/2015,17782.83885996453
11/2015,17945.867770760146
12/2015,17718.68205672841
01/2016,18119.476140698003
02/2016,18286.061047788528
03/2016,18377.807386453944
04/2016,18169.619989694467
05/2016,18369.034215734773
06/2016,18710.915950034556
07/2016,18873.18346215564
08/2016,18852.63495710942
09/2016,18930.06230154832
10/2016,18520.61371201304
11/2016,18194.38780680904
12/2016,18371.594040066422
01/2017,17975.56114373575
02/2017,18201.029433247582
03/2017,18109.897144279188
04/2017,18228.021569072647
05/2017,18379.423507026604
06/2017,18269.13643187961
07/2017,18319.322027393788
08/2017,18497.296650495162
09/2017,18406.798526586423
10/2017,18659.468168325435
11/2017,18711.895097213648
12/2017,18550.76712474835
01/2018,18388.630362496468
02/2018,18427.51181400842
03/2018,18795.664898541527
04/2018,18712.237917205006
05/2018,18484.942401193333
06/2018,18651.17074979549
07/2018,18575.377991540485
08/2018,18498.15035789875
09/2018,18432.035391167694
10/2018,18439.407270401414
11/2018,18595.296381571363
12/2018,18759.63549629499
01/2019,19013.195383568585
02/2019,18964.26180669701
03/2019,19340.77867467719
04/2019,19337.366258876977
05/2019,19568.87206754874
06/2019,19956.562755708215
07/2019,20285.399611316636
08/2019,20691.908936331543
09/2019,20605.424792299586
10/2019,20382.71895490263
11/2019,20173.359984758798
12/2019,19988.664086230776
01/2020,20474.60532230895
02/2020,20527.303213191677
03/2020,20058.697934355452
04/2020,20074.5436155883
05/2020,20142.68774879978
06/2020,20347.536340765808
07/2020,20526.53320510859
08/2020,20364.46004155363
09/2020,20614.034938812452
10/2020,20800.694978672454
11/2020,20812.048812349083
12/2020,20847.014548337385
01/2021,20744.578234026463
02/2021,20378.738904659218
03/2021,20484.738381980755
04/2021,20273.330246590336
05/2021,20266.15411574509
06/2021,20363.16713046648
07/2021,20730.640124555077
08/2021,20604.559233149837
09/2021,20334.818970067096
10/2021,20030.424607008343
11/2021,20455.894885231362
12/2021,20153.379414389357
01/2022,19891.269000511267
02/2022,19476.814279446236
03/2022,18929.42953019361
04/2022,18196.918496384063
05/2022,17897.12726440846
06/2022,17565.562435154545
07/2022,18380.383230521536
08/2022,17299.707308405894
09/2022,16508.875763323136
10/2022,16612.047588285765
11/2022,16966.56867990897
12/2022,16101.840708472422
01/2023,16604.601267413353
02/2023,16197.843901964941
03/2023,16671.2465430868
04/2023,16660.360610438467
05/2023,16772.801818954158
06/2023,16674.804880812106
07/2023,16665.287473256503
08/2023,16732.417020575955
09/2023,16217.964480118238
10/2023,16320.598292546523
11/2023,16855.047184312753
12/2023,17523.338424827667
01/2024,17444.832890530437
02/2024,17178.9428313855
03/2024,17382.115920843313
04/2024,17083.49150430235
