Data,IE00B1FZSF77
11/2006,10000
12/2006,9829.301312773861
01/2007,10861.18761830663
02/2007,10385.862038160785
03/2007,10036.142054617503
04/2007,9818.039317135515
05/2007,9905.4503907898
06/2007,8921.131969233309
07/2007,8091.442871134175
08/2007,8615.351681540053
09/2007,8671.932790629273
10/2007,8602.316478745382
11/2007,7602.555661528444
12/2007,7205.366432717417
01/2008,7082.156007895008
02/2008,6680.921666124817
03/2008,6810.503750934311
04/2008,7342.3750090484245
05/2008,7359.711409578608
06/2008,6427.143772896416
07/2008,6680.453818934358
08/2008,7226.542181564189
09/2008,7409.965316704735
10/2008,5626.811040995433
11/2008,4263.81730201086
12/2008,4575.227400847886
01/2009,4076.3511896851815
02/2009,3233.5376989171627
03/2009,3161.198652063571
04/2009,4185.197399926385
05/2009,4023.7916546830515
06/2009,3872.7863462341993
07/2009,4279.326466033803
08/2009,4839.597970163222
09/2009,5022.042240996391
10/2009,4745.2969445652
11/2009,4981.757434799962
12/2009,5536.295633348787
01/2010,5401.490292141908
02/2010,5860.029500221327
03/2010,6469.149020297356
04/2010,6987.1161144649295
05/2010,7145.026599081044
06/2010,6797.351456329475
07/2010,7024.51811478443
08/2010,7134.824531824288
09/2010,6903.057971353495
10/2010,7082.92366597941
11/2010,7378.83477648011
12/2010,7480.766704546592
01/2011,7545.528828160257
02/2011,7817.809632879365
03/2011,7496.299370236497
04/2011,7577.151798637751
05/2011,7931.563070846822
06/2011,7624.732656349303
07/2011,7883.701131667466
08/2011,7471.934250842091
09/2011,7138.060470627737
10/2011,7838.798976591307
11/2011,7859.347681982854
12/2011,8510.228408933446
01/2012,8866.906011780884
02/2012,8586.532295197769
03/2012,9085.358053326529
04/2012,9437.656309144648
05/2012,9604.574073993408
06/2012,9976.750704655939
07/2012,10456.208009338048
08/2012,10145.509762395099
09/2012,9652.355851450535
10/2012,9530.228760095017
11/2012,9487.028717998306
12/2012,9670.916168418411
01/2013,9751.757731249203
02/2013,10175.394604036903
03/2013,10704.45478575965
04/2013,11204.267204422216
05/2013,10567.424455595032
06/2013,10277.855755784749
07/2013,10217.081602695938
08/2013,9508.96329121104
09/2013,9596.275137526616
10/2013,9898.484284309292
11/2013,9368.934077292322
12/2013,9249.734803681968
01/2014,9834.67676458487
02/2014,10102.079372224216
03/2014,10158.402008302752
04/2014,10443.604467016587
05/2014,10865.453030651228
06/2014,10915.011619034552
07/2014,11157.74035449098
08/2014,11632.649809105982
09/2014,11424.732771701889
10/2014,12617.305597324172
11/2014,12904.380188672154
12/2014,13497.443883636271
01/2015,15488.107597849143
02/2015,14967.346029743414
03/2015,15878.714505125761
04/2015,14309.06992817905
05/2015,14579.92551325988
06/2015,13644.86920628614
07/2015,14735.85907289907
08/2015,13534.212561071823
09/2015,13929.130480226511
10/2015,14988.030092764282
11/2015,15526.57835360704
12/2015,15343.214401065472
01/2016,14744.204969631095
02/2016,14701.23844605091
03/2016,15458.411630238897
04/2016,15012.91020930378
05/2016,15664.229437282387
06/2016,16803.98129728649
07/2016,17530.730076457647
08/2016,16883.849183890867
09/2016,16500.3815260013
10/2016,15812.11902919927
11/2016,15951.598808910789
12/2016,16804.68364367236
01/2017,16340.38319045891
02/2017,17160.872026147703
03/2017,16515.090967118012
04/2017,16109.68319093174
05/2017,15528.994875739872
06/2017,15606.545484408867
07/2017,15328.173222202266
08/2017,15120.241989476026
09/2017,15128.17719203201
10/2017,15149.44446448682
11/2017,15294.10380821462
12/2017,15082.187757830257
01/2018,13894.798766790884
02/2018,13113.960971102002
03/2018,13471.832640585602
04/2018,13904.525140213564
05/2018,15003.708160462993
06/2018,15633.424524810134
07/2018,15611.432751580169
08/2018,16133.785060532757
09/2018,15778.373930172733
10/2018,15767.184242430627
11/2018,16463.40469062071
12/2018,14945.77075857019
01/2019,16620.407977199477
02/2019,16779.492492901863
03/2019,17574.416612684785
04/2019,17527.119585649307
05/2019,17587.321530253386
06/2019,17376.055158713836
07/2019,17997.592938939822
08/2019,18716.983861829678
09/2019,19460.661759722232
10/2019,19270.852813594756
11/2019,19203.73865978875
12/2019,18570.46051666643
01/2020,19061.195490112037
02/2020,17568.209795615403
03/2020,13366.603585117933
04/2020,14586.089456329502
05/2020,14165.317884686949
06/2020,14521.134150666201
07/2020,14151.05729046905
08/2020,14137.48727147464
09/2020,13947.753353275364
10/2020,13584.939737604178
11/2020,14899.470023400358
12/2020,15008.938414984923
01/2021,15116.216625692003
02/2021,15910.86304716816
03/2021,17144.921767590484
04/2021,17985.682771344153
05/2021,17936.97210650361
06/2021,18783.882160119927
07/2021,19696.27506118065
08/2021,20109.621749491987
09/2021,19421.716562636848
10/2021,20680.05368733538
11/2021,21001.92462970166
12/2021,22740.49535156988
01/2022,21686.038114523617
02/2022,20952.33159092996
03/2022,22418.822412557885
04/2022,22225.1059017957
05/2022,20920.46221695317
06/2022,19976.08661106399
07/2022,22099.049403027486
08/2022,21083.014108674033
09/2022,19078.23376068898
10/2022,19640.439043913604
11/2022,19659.112937688376
12/2022,18121.10569840447
01/2023,19692.207326354866
02/2023,19145.486250551276
03/2023,18066.962620037866
04/2023,18024.823161744152
05/2023,17835.265920245492
06/2023,18375.477206016738
07/2023,18595.07981702897
08/2023,18264.347115328066
09/2023,17418.385209717955
10/2023,16518.396043061362
11/2023,17679.937312720926
12/2023,19335.003847633598
01/2024,18772.524857560304
02/2024,19003.598408698916
03/2024,19501.170545064546
04/2024,18354.008275757795
