Data,IE00B1XNH568
12/1997,10000
01/1998,11287.083882479003
02/1998,11690.685574492732
03/1998,14147.947186904294
04/1998,13415.390692694014
05/1998,14125.700001423107
06/1998,13796.024912147652
07/1998,15180.686632109735
08/1998,13062.343223971397
09/1998,11543.969672785855
10/1998,12282.67455179323
11/1998,13765.816236790806
12/1998,14659.984001019704
01/1999,14763.338235083187
02/1999,15029.03188276465
03/1999,15977.846182281208
04/1999,16015.009028706629
05/1999,15446.904794575996
06/1999,15355.821736962977
07/1999,14288.819399291675
08/1999,14771.987289723986
09/1999,14797.505247347235
10/1999,14355.83754392318
11/1999,15237.025030959168
12/1999,17862.155955200902
01/2000,17378.24011799947
02/2000,20313.062959465497
03/2000,19013.74913035621
04/2000,18828.59355754563
05/2000,19165.35257972787
06/2000,19782.571880298925
07/2000,19766.888003439813
08/2000,20541.172380041513
09/2000,19375.838642333754
10/2000,20240.913315255562
11/2000,19737.873831861118
12/2000,18612.414806334633
01/2001,19205.757100343235
02/2001,17055.080448363813
03/2001,16607.97717136606
04/2001,17567.21839900143
05/2001,16786.09670916529
06/2001,16147.744049454275
07/2001,15793.304264918424
08/2001,14982.78828006567
09/2001,12538.717245007634
10/2001,13223.975825029653
11/2001,13780.574948052197
12/2001,13962.993252877252
01/2002,13895.806622865059
02/2002,13739.931536817328
03/2002,14548.036798305746
04/2002,14068.877991292342
05/2002,13193.040460638369
06/2002,12437.867641687522
07/2002,11195.864995135413
08/2002,11307.737566972863
09/2002,9412.600493180787
10/2002,10416.909107695175
11/2002,11461.954912622608
12/2002,10440.29560230775
01/2003,10004.898611665858
02/2003,10334.002814898087
03/2003,9587.583353180149
04/2003,10613.644526115328
05/2003,11214.152518438328
06/2003,11257.887962700244
07/2003,11471.015520491312
08/2003,11519.704527977963
09/2003,11228.762296206882
10/2003,11844.45112187552
11/2003,12380.54396452954
12/2003,12254.112122822318
01/2004,12654.783963384562
02/2004,12734.779783748158
03/2004,12362.2323400756
04/2004,12775.045621973017
05/2004,12729.685014298339
06/2004,13234.176233041977
07/2004,12969.262930002184
08/2004,12671.30040405995
09/2004,13082.442684357547
10/2004,13496.113629347676
11/2004,13937.09146605947
12/2004,14539.201428133914
01/2005,14737.869137625486
02/2005,14976.268487190504
03/2005,15184.128688162786
04/2005,14624.554533899616
05/2005,15175.502101425029
06/2005,15662.622567149538
07/2005,16311.830139217647
08/2005,16223.610348428208
09/2005,16826.13993284054
10/2005,15856.958503220381
11/2005,16496.803533905604
12/2005,17273.112921475236
01/2006,17727.335880353698
02/2006,18204.13346991565
03/2006,18333.309203654022
04/2006,18387.953947061033
05/2006,18021.354391556964
06/2006,18214.46537528771
07/2006,18289.951231656592
08/2006,18950.05442649903
09/2006,19213.05458337058
10/2006,19833.884529433355
11/2006,20245.404168108773
12/2006,20824.93169269364
01/2007,21202.276982493273
02/2007,20672.346497118997
03/2007,20975.68635249407
04/2007,22053.922783893526
05/2007,22164.68205149376
06/2007,21733.54115497574
07/2007,20829.772015652674
08/2007,20806.177780419297
09/2007,20645.377918027363
10/2007,21042.81131036658
11/2007,20307.35913753368
12/2007,20081.840067758636
01/2008,17824.046207310173
02/2008,17483.92384571868
03/2008,16452.609962247006
04/2008,17744.661473897377
05/2008,17937.12206607917
06/2008,15926.642449117871
07/2008,15372.590236599646
08/2008,15619.003436305089
09/2008,13913.968280712932
10/2008,11649.645236810917
11/2008,10963.284397151709
12/2008,10670.795617141277
01/2009,9831.401889644418
02/2009,8377.088278923458
03/2009,8699.647835603628
04/2009,10546.889182920997
05/2009,11195.457065790006
06/2009,10814.028890399393
07/2009,11668.81747561065
08/2009,12711.704654084517
09/2009,13361.181243363542
10/2009,12557.840140479919
11/2009,12524.602629106364
12/2009,13275.020383350253
01/2010,12499.087469554137
02/2010,12023.500573103229
03/2010,13035.62180614947
04/2010,12313.10370821032
05/2010,11403.962918756519
06/2010,11329.838740517987
07/2010,12329.645914970068
08/2010,11573.088185867437
09/2010,12077.740773533933
10/2010,12638.711943730894
11/2010,11303.003167801453
12/2010,11931.289736889325
01/2011,13038.033941959142
02/2011,13281.901371046335
03/2011,12841.065675090216
04/2011,13282.808352491862
05/2011,12746.42988358769
06/2011,12263.13548893617
07/2011,11195.82179716657
