Data,IE00B3DKXQ41
03/2009,10000
04/2009,10088.875134037495
05/2009,10064.831483229162
06/2009,10193.689681721802
07/2009,10401.937124455018
08/2009,10476.977955380562
09/2009,10569.312078559658
10/2009,10595.958774769982
11/2009,10670.346511767859
12/2009,10607.45588297092
01/2010,10696.739237916614
02/2010,10801.510788504655
03/2010,10875.830897888976
04/2010,10849.925998828488
05/2010,10946.881898594014
06/2010,10901.296093758681
07/2010,10984.505924483477
08/2010,11248.920451225375
09/2010,11136.201033845484
10/2010,11091.745731806657
11/2010,10870.640513058679
12/2010,10821.650342910334
01/2011,10763.713101054029
02/2011,10788.219158493095
03/2011,10729.300895975919
04/2011,10802.933558304318
05/2011,10906.43092572015
06/2011,10869.595311746943
07/2011,10929.297872760942
08/2011,11118.956556719393
09/2011,11159.47463560135
10/2011,11072.418349541596
11/2011,10814.23182818457
12/2011,11154.056515827968
01/2012,11373.181751439148
02/2012,11555.58094589872
03/2012,11596.06541335352
04/2012,11594.615216027189
05/2012,11710.02430673372
06/2012,11624.903377564455
07/2012,11833.757197014751
08/2012,11930.697641185636
09/2012,12048.20050459427
10/2012,12141.77444875993
11/2012,12285.161652373035
12/2012,12383.009258826942
01/2013,12298.309548549494
02/2013,12369.4674550718
03/2013,12442.71808994706
04/2013,12699.429191011644
05/2013,12580.255353386681
06/2013,12389.224443051542
07/2013,12474.892179068414
08/2013,12418.858598032753
09/2013,12508.695679416325
10/2013,12663.81160049316
11/2013,12702.992976059975
12/2013,12631.561003004854
01/2014,12863.394320431084
02/2014,12936.313817821081
03/2014,13029.102807821044
04/2014,13137.648577083368
05/2014,13262.774444843108
06/2014,13383.764863855005
07/2014,13480.234207891079
08/2014,13696.822900355897
09/2014,13714.96720789865
10/2014,13756.711722199121
11/2014,13898.168439078889
12/2014,14011.575685767724
01/2015,14252.599960579464
02/2015,14340.135629890632
03/2015,14463.985657804207
04/2015,14308.863466376482
05/2015,14142.886704112389
06/2015,13829.90052798512
07/2015,14079.61751649903
08/2015,13958.857720155427
09/2015,14058.572132716601
10/2015,14194.685754588143
11/2015,14261.172665315496
12/2015,14129.22615675168
01/2016,14344.736771199332
02/2016,14462.614230772635
03/2016,14538.622769497786
04/2016,14435.191903168934
05/2016,14551.429158184108
06/2016,14804.121090105222
07/2016,14942.471400855595
08/2016,14923.235503915757
09/2016,14942.176513657061
10/2016,14699.517758900372
11/2016,14498.104525086139
12/2016,14575.257263612746
01/2017,14359.043974946175
02/2017,14506.977184085137
03/2017,14434.620612120365
04/2017,14499.67482672966
05/2017,14563.445560962016
06/2017,14483.648109457565
07/2017,14521.564789677455
08/2017,14633.664481979846
09/2017,14576.075613334933
10/2017,14717.981270567088
11/2017,14741.445123038635
12/2017,14651.047268685166
01/2018,14582.886694015118
02/2018,14598.28078486994
03/2018,14752.47178801892
04/2018,14712.765968156878
05/2018,14608.474244268853
06/2018,14676.665867357253
07/2018,14645.568423664612
08/2018,14606.444785439991
09/2018,14567.376856618757
10/2018,14562.03615614667
11/2018,14595.459711120267
12/2018,14687.603739997914
01/2019,14826.264143515635
02/2019,14812.813294514242
03/2019,15050.11127902177
04/2019,15065.821254060253
05/2019,15184.970869433497
06/2019,15469.272734407503
07/2019,15694.027550569343
08/2019,15992.27559145346
09/2019,15905.01377818953
10/2019,15757.330004431238
11/2019,15657.826867770034
12/2019,15541.83819259028
01/2020,15848.88348412352
02/2020,15902.06304073518
03/2020,15360.627977686312
04/2020,15540.016747261157
05/2020,15570.742383101
06/2020,15721.836920745864
07/2020,15879.568017139225
08/2020,15792.1994170743
09/2020,15950.94587647146
10/2020,16082.937629578662
11/2020,16124.244224194626
12/2020,16144.767611676702
01/2021,16069.139827601226
02/2021,15817.636207696178
03/2021,15832.298170494403
04/2021,15718.258504559093
05/2021,15703.874685113697
06/2021,15763.259420352328
07/2021,16007.50012305166
08/2021,15930.024221691458
09/2021,15756.766331796185
10/2021,15657.891016927375
11/2021,15851.251025364003
12/2021,15659.465285564125
01/2022,15481.591144511836
02/2022,15137.009811804051
03/2022,15039.232119548675
04/2022,14611.794746935124
05/2022,14383.172387230064
06/2022,14038.852996559634
07/2022,14633.329851708637
08/2022,13922.255484766192
09/2022,13394.070938493654
10/2022,13405.556896788714
11/2022,13727.45311887416
12/2022,13231.158974129665
01/2023,13529.740831851399
02/2023,13246.868683755001
03/2023,13512.460211132218
04/2023,13528.546831122932
05/2023,13576.081510885864
06/2023,13529.375958039094
07/2023,13551.948112961234
08/2023,13590.20839748012
09/2023,13304.00336778789
10/2023,13354.578312379386
11/2023,13718.719394482663
12/2023,14169.046925465058
01/2024,14121.338425045764
02/2024,13965.708109777524
03/2024,14116.213928885309
04/2024,13937.94703299154
