Data,IE00B3F81G20
05/1994,10000
06/1994,9913.682962704748
07/1994,9948.734605113188
08/1994,11403.865754379363
09/1994,11925.312034604876
10/1994,11697.466960384243
11/1994,11356.32862668925
12/1994,11223.241937935198
01/1995,9799.332842280737
02/1995,9946.095918400893
03/1995,9731.675472671355
04/1995,9474.770996578718
05/1995,10100.44208488278
06/1995,10084.526293907991
07/1995,10203.119719779916
08/1995,10185.4254521069
09/1995,10178.221015066809
10/1995,9605.213757062998
11/1995,9397.981560606628
12/1995,9830.728755988877
01/1996,10663.040937324811
02/1996,10763.871261629853
03/1996,10722.361002129637
04/1996,11290.605576677981
05/1996,10936.277253581282
06/1996,10974.2051394651
07/1996,10143.491128744992
08/1996,10175.24761256606
09/1996,10458.133907367323
10/1996,10269.781993062043
11/1996,10152.165292872722
12/1996,10244.911079873229
01/1997,11281.211703859313
02/1997,12525.398704787682
03/1997,12429.014140282676
04/1997,11932.428601432097
05/1997,11783.229996786398
06/1997,12085.941576208168
07/1997,12409.028517721163
08/1997,11215.817603412595
09/1997,10670.258628630174
10/1997,8883.95067110847
11/1997,7732.062371076238
12/1997,7438.952819707192
01/1998,7111.046904158726
02/1998,8102.864800886733
03/1998,8482.042401866935
04/1998,8298.856093872371
05/1998,7431.519290960634
06/1998,6543.352528752177
07/1998,6516.367889915695
08/1998,5069.598176154071
09/1998,4862.77239488394
10/1998,5092.732579795204
11/1998,5812.894853292767
12/1998,5842.454664089863
01/1999,5802.1642207817595
02/1999,5867.288325166374
03/1999,6747.712647317625
04/1999,7722.066346344394
05/1999,7805.065843513125
06/1999,8511.461311405696
07/1999,8107.746746058438
08/1999,8078.995553799388
09/1999,7652.148069266493
10/1999,7869.050129511949
11/1999,8626.536471973815
12/1999,9570.611243937128
01/2000,10487.450038538887
02/2000,10443.671465922065
03/2000,10358.80490657321
04/2000,10046.554360669259
05/2000,9104.742400356428
06/2000,8741.572010421762
07/2000,8777.609089868867
08/2000,9080.28611042158
09/2000,8339.701371533816
10/2000,7873.232471828133
11/2000,7199.355475461984
12/2000,6623.879939679072
01/2001,7308.2353576705855
02/2001,7094.167846292992
03/2001,6927.624721298087
04/2001,6975.592241945174
05/2001,7420.099147727855
06/2001,7284.912405276036
07/2001,6628.229276243414
08/2001,6396.92708012936
09/2001,5575.698073495683
10/2001,5816.8966552172815
11/2001,6507.597814588635
12/2001,6973.674524356711
01/2002,7500.746573628714
02/2002,7515.263239188449
03/2002,8039.716709272623
04/2002,7870.807277048371
05/2002,7391.341443489838
06/2002,6429.143807485443
07/2002,6374.230749297675
08/2002,6331.98420846956
09/2002,5585.638016169696
10/2002,5871.211183850359
11/2002,6210.845583880404
12/2002,5743.4178747279375
01/2003,5742.346640177444
02/2003,5595.308978814061
03/2003,5322.62610552961
04/2003,5578.556627966264
05/2003,5735.626066134477
06/2003,6305.834037667604
07/2003,6739.97533187103
08/2003,7353.509074590632
09/2003,6958.019152674302
10/2003,7510.573067180416
11/2003,7497.977509753818
12/2003,7612.6074757938995
01/2004,7969.530938127362
02/2004,8316.751159852796
03/2004,8481.186088774699
04/2004,8138.982836416538
05/2004,7591.755700394528
06/2004,7593.0893212979745
07/2004,7495.088735696838
08/2004,7738.68674735217
09/2004,8018.561228278823
10/2004,8006.423722843439
11/2004,8457.79331343031
12/2004,8760.624587909733
01/2005,9183.689704776147
02/2005,9742.249815878979
03/2005,9399.594991784861
04/2005,9113.6209296157
05/2005,9778.524256841267
06/2005,10346.05894521455
07/2005,10898.032671325063
08/2005,10792.678813436343
09/2005,11659.870300298559
10/2005,11000.790035106123
11/2005,12241.02898432697
12/2005,13007.577453277188
01/2006,13697.042561863109
02/2006,14093.101096082037
03/2006,14093.236756960006
04/2006,14561.802503807367
05/2006,12925.746752527355
06/2006,12344.739649513274
07/2006,12434.423140291883
08/2006,12734.644206076646
09/2006,13340.118428914306
10/2006,14051.674765679942
11/2006,14675.191844200524
12/2006,15336.41223784956
01/2007,15573.864954235924
02/2007,15671.70346654937
03/2007,16299.324649905317
04/2007,17094.94351675011
05/2007,18765.00568500805
06/2007,19512.16697906181
07/2007,20788.186702611147
08/2007,19745.01814919753
09/2007,20470.27541772528
10/2007,21470.15680591084
11/2007,19121.544256497993
12/2007,19420.26353971634
01/2008,16471.127058302176
02/2008,17294.648715553096
03/2008,15530.987216160665
04/2008,16595.841230515634
05/2008,16297.178478132611
06/2008,14107.065314581434
07/2008,13947.818472563751
08/2008,13706.393145438164
09/2008,11224.437492940348
10/2008,8775.47679973867
11/2008,8280.441621566062
12/2008,8539.859248286019
01/2009,8692.544560414615
02/2009,8473.27220272771
03/2009,9187.194464356016
04/2009,11266.708637822558
05/2009,13057.808884164931
06/2009,12983.457772636337
07/2009,14613.757369507202
08/2009,14629.677640680458
09/2009,15408.362447445805
10/2009,15334.317788260743
11/2009,15809.379581548308
12/2009,17558.684357417427
01/2010,17435.29157062215
02/2010,17978.109365848504
03/2010,19690.285208253314
04/2010,20418.932771296622
05/2010,19774.97695581177
06/2010,20109.615407091926
