Data,IE00B3VTMJ91
06/2009,10000
07/2009,10042.666830308995
08/2009,10054.753753285566
09/2009,10095.807041046644
10/2009,10101.8996769051
11/2009,10119.110566937887
12/2009,10102.410708728701
01/2010,10097.652717453597
02/2010,10176.1488809965
03/2010,10208.525226408738
04/2010,10148.298332103046
05/2010,10209.769494902674
06/2010,10174.959871732251
07/2010,10207.895999875
08/2010,10240.693341679957
09/2010,10204.600641600859
10/2010,10199.835792324113
11/2010,10141.461791419822
12/2010,10174.65573303545
01/2011,10161.920077147186
02/2011,10171.65106899052
03/2011,10152.331967892736
04/2011,10150.733653194562
05/2011,10192.399613026533
06/2011,10199.29011781397
07/2011,10181.293176524165
08/2011,10328.327287529764
09/2011,10338.488634453752
10/2011,10289.681471478247
11/2011,10205.02444216636
12/2011,10414.682596152534
01/2012,10518.434159951501
02/2012,10599.208848113305
03/2012,10590.649354498995
04/2012,10582.617925742506
05/2012,10525.011206632596
06/2012,10582.141951223686
07/2012,10604.812714865364
08/2012,10702.275713929519
09/2012,10740.303787140629
10/2012,10768.611702692098
11/2012,10808.855755074013
12/2012,10824.059763548523
01/2013,10825.925418313516
02/2013,10841.517184443124
03/2013,10856.382579225236
04/2013,10927.384695726438
05/2013,10911.706189173325
06/2013,10871.808191189206
07/2013,10909.56973049709
08/2013,10910.568718128352
09/2013,10939.117486753436
10/2013,10987.287493124355
11/2013,11012.943077517464
12/2013,11000.732219169484
01/2014,11048.810422088956
02/2014,11060.21744435312
03/2014,11076.867071754932
04/2014,11082.628885176286
05/2014,11102.221223918672
06/2014,11130.06733078592
07/2014,11142.504760632022
08/2014,11159.657207196904
09/2014,11169.007846016195
10/2014,11141.47534213855
11/2014,11162.426770553437
12/2014,11172.05204309313
01/2015,11192.994170976875
02/2015,11222.604686404973
03/2015,11233.776554976637
04/2015,11235.118119415776
05/2015,11232.341007966315
06/2015,11191.796952685432
07/2015,11244.980336759349
08/2015,11230.822712175539
09/2015,11239.910168860502
10/2015,11261.412090731192
11/2015,11274.352966871842
12/2015,11267.438427119821
01/2016,11277.007217432949
02/2016,11277.032550860433
03/2016,11276.24139548022
04/2016,11281.743493650185
05/2016,11287.626480639063
06/2016,11294.840026386131
07/2016,11291.987793432823
08/2016,11295.062731359796
09/2016,11296.416259023466
10/2016,11273.921893907782
11/2016,11252.987432366988
12/2016,11307.722497628174
01/2017,11282.25397741739
02/2017,11282.894226931008
03/2017,11284.794862121227
04/2017,11294.060721155516
05/2017,11309.498801918535
06/2017,11307.429567951702
07/2017,11320.176067711709
08/2017,11322.413576120183
09/2017,11323.905907640119
10/2017,11334.99108887443
11/2017,11345.799767122684
12/2017,11318.13354082225
01/2018,11320.025636482404
02/2018,11320.60720092934
03/2018,11352.398248639067
04/2018,11339.441400577974
05/2018,11230.36454579885
06/2018,11272.74232260099
07/2018,11260.816560692392
08/2018,11213.70039338735
09/2018,11227.247088288264
10/2018,11235.956171684642
11/2018,11261.894120490153
12/2018,11290.448198311262
01/2019,11296.643856321874
02/2019,11284.076682077504
03/2019,11304.68159149474
04/2019,11302.39887519174
05/2019,11301.15113721011
06/2019,11330.356787970168
07/2019,11345.24080304822
08/2019,11369.96700772424
09/2019,11354.53959190296
10/2019,11332.506800851801
11/2019,11314.677611274326
12/2019,11312.832134996288
01/2020,11318.6839000001
02/2020,11309.534990731423
03/2020,11260.873065041098
04/2020,11249.096744984294
05/2020,11256.834961425742
06/2020,11278.067288584542
07/2020,11285.938971688074
08/2020,11278.922029536603
09/2020,11291.275724106845
10/2020,11308.546912024387
11/2020,11307.5006632745
12/2020,11302.44663861133
01/2021,11284.827199725974
02/2021,11264.958532483692
03/2021,11275.379495936168
04/2021,11261.2754413161
05/2021,11258.007484687707
06/2021,11256.884958509008
07/2021,11268.825627294713
08/2021,11260.396057652835
09/2021,11248.331927796271
10/2021,11209.67358894254
11/2021,11243.585244031983
12/2021,11210.771984155175
01/2022,11196.810359922929
02/2022,11176.070208626636
03/2022,11112.083495082778
04/2022,11041.945458003009
05/2022,11008.861269192215
06/2022,10978.7794551743
07/2022,11030.440228851048
08/2022,10895.743679531706
09/2022,10785.405743264058
10/2022,10790.9778557335
11/2022,10807.438751514008
12/2022,10735.532912102974
01/2023,10773.25422042947
02/2023,10716.055815458925
03/2023,10813.804318807799
04/2023,10823.374132024806
05/2023,10848.801055630547
06/2023,10792.516826000026
07/2023,10846.145815507756
08/2023,10884.134418817435
09/2023,10857.816994546087
10/2023,10915.849451176247
11/2023,10998.521471140251
12/2023,11107.576272519736
01/2024,11115.987898403268
02/2024,11061.168011584841
03/2024,11098.711111771398
04/2024,11082.008696679066
