Data,IE00B3VWMM18
12/2000,10000
01/2001,10495.808601456292
02/2001,10180.559787964496
03/2001,9697.236344923173
04/2001,10086.01729611134
05/2001,10369.246723334254
06/2001,9865.509248058375
07/2001,9482.294299081312
08/2001,9026.113686534743
09/2001,7658.403562674104
10/2001,8322.026747188333
11/2001,9087.966325730078
12/2001,9207.456554284714
01/2002,9409.90972271916
02/2002,9431.389757910163
03/2002,9903.97106909928
04/2002,9906.786981665382
05/2002,9633.619509799877
06/2002,8870.871744549331
07/2002,8131.980759558114
08/2002,7984.695050997022
09/2002,6916.704474170553
10/2002,7321.441352390051
11/2002,7651.24752914367
12/2002,7113.867354304348
01/2003,6933.57521995673
02/2003,6617.1504064708115
03/2003,6497.257983722333
04/2003,7328.782677759197
05/2003,7595.6848494948745
06/2003,7998.765049643718
07/2003,8347.64246940279
08/2003,8777.441427237996
09/2003,8680.249961125011
10/2003,9391.332785144341
11/2003,9582.917474316437
12/2003,9518.524596876032
01/2004,10174.675502563368
02/2004,10484.737058385113
03/2004,10291.748742131818
04/2004,10356.485908936844
05/2004,10080.162374175467
06/2004,10514.487451566081
07/2004,10216.73346813753
08/2004,10155.571757301715
09/2004,10379.14854836419
10/2004,10599.434366374806
11/2004,11160.857523118226
12/2004,11490.304616541447
01/2005,12209.721280362917
02/2005,12818.335677516407
03/2005,12721.729014162058
04/2005,12333.765123749612
05/2005,13128.431618100236
06/2005,13833.373761639561
07/2005,14737.356197628165
08/2005,14911.988328865305
09/2005,15640.670694297272
10/2005,14554.551132839824
11/2005,14973.892691859428
12/2005,15564.644427142071
01/2006,16936.609178982315
02/2006,17737.370040224483
03/2006,18265.567800889134
04/2006,18636.943386355826
05/2006,17150.98673087386
06/2006,17025.389566647144
07/2006,16754.854507376895
08/2006,17004.357250979454
09/2006,17410.1812688146
10/2006,18309.30608954217
11/2006,18788.458296678953
12/2006,19700.55867898581
01/2007,20735.54131108284
02/2007,20568.211809068285
03/2007,21576.82029273195
04/2007,22363.27681192513
05/2007,23146.906812588448
06/2007,22818.749873887562
07/2007,22420.431566439278
08/2007,21425.587453182772
09/2007,21027.90048053581
10/2007,22079.315836043676
11/2007,19938.831688790586
12/2007,19499.99592660432
01/2008,17011.398012295413
02/2008,17504.455833155094
03/2008,17173.084466799686
04/2008,17847.296761315316
05/2008,18113.095972038802
06/2008,16123.723532767726
07/2008,15378.054917152436
08/2008,15868.051108678437
09/2008,13010.1407057067
10/2008,10471.806911436595
11/2008,9734.764006629403
12/2008,9813.339631481143
01/2009,9587.092728959082
02/2009,8895.996739637983
03/2009,9117.733376927858
04/2009,11001.151858407125
05/2009,11928.460696297763
06/2009,11831.18296419939
07/2009,12745.564855637822
08/2009,14038.059845837959
09/2009,15102.22652999645
10/2009,14258.817348521949
11/2009,14303.091293784384
12/2009,14848.53422558847
01/2010,14936.656859822106
02/2010,14731.980317856023
03/2010,15947.437818083517
04/2010,15984.790887500041
05/2010,14669.546961052112
06/2010,14449.86714927731
07/2010,15295.149306134052
08/2010,14865.008487044961
09/2010,15837.834664346614
10/2010,16756.287735641716
11/2010,16162.728590034421
12/2010,17750.04352940853
01/2011,17813.447221950304
02/2011,17985.888984335998
03/2011,18167.38589202386
04/2011,18644.782289954175
05/2011,18433.80817796795
06/2011,17975.852787119034
07/2011,16823.60815586964
08/2011,14898.012118436103
09/2011,13617.479015745317
10/2011,14349.399107936108
11/2011,13722.958274230925
12/2011,13620.108214196713
01/2012,14723.395405251149
02/2012,15516.540660120527
03/2012,15529.656880489754
04/2012,15268.171080276532
05/2012,13956.77748690758
06/2012,14511.137096120337
07/2012,14691.838479062179
08/2012,15002.225372151937
09/2012,15454.38780392627
10/2012,15818.568561665872
11/2012,16155.39787269848
12/2012,16839.10437959337
01/2013,17847.790913368037
02/2013,18052.62280201652
03/2013,17935.01533968777
04/2013,18391.503497664773
05/2013,19015.408322817413
06/2013,18096.248546671017
07/2013,19373.72114151926
08/2013,19436.44198265891
09/2013,20786.699882653473
10/2013,21968.664329638403
11/2013,22369.618541260064
12/2013,22555.45195307959
01/2014,22927.66483549601
02/2014,24366.462646577882
03/2014,24538.089213973693
04/2014,24381.158963364116
05/2014,24944.96363140807
06/2014,24516.699323453235
07/2014,23453.36267334837
08/2014,23510.60060782907
09/2014,23339.089839510314
10/2014,22406.569422234155
11/2014,23315.184754803813
12/2014,23334.32576933477
01/2015,25258.886464082054
02/2015,27326.30544369979
03/2015,28353.94512347373
04/2015,28436.333048344815
05/2015,28971.00010014291
06/2015,27837.776014078125
07/2015,29653.804749892624
08/2015,27839.4372635643
09/2015,26643.869057729367
10/2015,28769.744931635087
11/2015,29435.75549165906
12/2015,29030.336193851035
01/2016,26673.573620123654
02/2016,26456.85326211408
03/2016,27606.691535460923
04/2016,28018.271453271023
05/2016,28781.841045254332
06/2016,26724.80500173602
07/2016,28494.74399447647
08/2016,28634.4735894695
09/2016,29154.963857349638
10/2016,28769.00678427414
11/2016,28187.95933509326
12/2016,30062.7588784987
01/2017,30521.34822372305
02/2017,31278.066144997083
03/2017,32737.39488198827
04/2017,33920.99382795475
05/2017,35157.16243515933
06/2017,34302.40288557744
07/2017,35034.44388595221
08/2017,35143.692392597404
09/2017,36697.13633106513
10/2017,37237.521627055714
11/2017,36965.74439874627
12/2017,37358.47895235877
01/2018,38579.79227256152
02/2018,37419.18377021978
03/2018,36636.603287714315
04/2018,38001.22856555633
05/2018,37654.0794159054
06/2018,37226.41628889039
07/2018,37729.164873396665
08/2018,37483.52871918071
09/2018,36927.627596562634
10/2018,33907.4051554036
11/2018,32966.20130736672
12/2018,30774.898909244148
01/2019,33354.77322198754
02/2019,34342.382344608945
03/2019,34967.048785822546
04/2019,36701.22707894886
05/2019,34448.250247188706
06/2019,36119.088738138445
07/2019,36204.07681973118
08/2019,35560.17631074864
09/2019,36523.11714250301
10/2019,37355.70504777505
11/2019,38875.29980776532
12/2019,39529.31019224693
01/2020,38985.227846678245
02/2020,36202.53955092289
03/2020,28670.083012394287
04/2020,31739.831957318616
05/2020,33272.33564515815
06/2020,34411.766853165886
07/2020,34372.34607474773
08/2020,36065.36093719748
09/2020,36015.71430952332
10/2020,33493.56920864638
11/2020,39707.2484756394
12/2020,41570.36902995535
01/2021,42360.33841777393
02/2021,43986.79291041403
03/2021,46372.27945779818
04/2021,47566.92717274916
05/2021,49168.32909276754
06/2021,48643.800710549076
07/2021,49744.25981900224
08/2021,51486.585907774235
09/2021,49965.339564733564
10/2021,51043.16841962718
11/2021,48981.480093591235
12/2021,51613.380002355625
01/2022,49627.641543669626
02/2022,47977.179924328084
03/2022,48171.31036553249
04/2022,47757.6730068765
05/2022,47929.43663207301
06/2022,42199.09537312053
07/2022,44110.376757260456
08/2022,42149.08822975561
09/2022,38115.15442368866
10/2022,40838.06981069348
11/2022,43060.08186765437
12/2022,42715.26929998629
01/2023,46853.000493952415
02/2023,48018.15753405957
03/2023,46136.06202606402
04/2023,46765.27417681142
05/2023,45241.238292438546
06/2023,46755.96026261451
07/2023,47954.00865185312
08/2023,46856.59393955296
09/2023,45025.287621460775
10/2023,42716.20969850637
11/2023,46404.09384639809
12/2023,48770.87805047275
01/2024,48458.053612818
02/2024,48294.98078167544
03/2024,50498.32786699092
04/2024,50317.56349070282
