Data,IE00B3VWN518
12/2004,10000
01/2005,10530.981514113404
02/2005,10222.95967961618
03/2005,10394.742644268883
04/2005,10655.741769770424
05/2005,11375.730434212537
06/2005,11669.40471814024
07/2005,11443.16117308655
08/2005,11571.222978267824
09/2005,11517.705851761195
10/2005,11398.511475150593
11/2005,11712.461623884728
12/2005,11823.489092262545
01/2006,11447.108024731071
02/2006,11670.550851805303
03/2006,11281.457865999586
04/2006,10814.74908954216
05/2006,10529.135301783781
06/2006,10688.26290497167
07/2006,10810.518531767782
08/2006,10948.531194486019
09/2006,11240.921101074926
10/2006,11271.895186923834
11/2006,10984.987427504595
12/2006,10862.644681278427
01/2007,11002.029596737695
02/2007,11024.036312039518
03/2007,10914.428251240513
04/2007,10746.539612028904
05/2007,10707.127564631613
06/2007,10615.570229268335
07/2007,10683.828929451463
08/2007,10917.4250604137
09/2007,10588.179837765234
10/2007,10505.647738230287
11/2007,10667.091425694256
12/2007,10706.805132953268
01/2008,10951.48943907237
02/2008,10880.824513454272
03/2008,10584.48017914318
04/2008,10511.498119797605
05/2008,10337.134627137028
06/2008,10274.170894765844
07/2008,10433.789415004538
08/2008,11238.343030577771
09/2008,11582.71174888636
10/2008,12821.76638499231
11/2008,13879.657425778707
12/2008,13344.342919092413
01/2009,13923.125324334744
02/2009,13997.21695824529
03/2009,13773.832376624956
04/2009,13424.128774625027
05/2009,12387.268222396086
06/2009,12310.206586442126
07/2009,12380.074342594535
08/2009,12384.135020027265
09/2009,12199.314872783178
10/2009,12063.408065443555
11/2009,12119.932791449826
12/2009,12106.7769252127
01/2010,12766.97937209859
02/2010,13215.181080695924
03/2010,13137.64550575813
04/2010,13516.148918089593
05/2010,15034.036751046146
06/2010,15544.74216935751
07/2010,14798.624009442636
08/2010,15714.049004280763
09/2010,14599.99608347903
10/2010,14368.920134509664
11/2010,15195.15420084118
12/2010,14267.855496228069
01/2011,13928.029372851946
02/2011,13753.654288656016
03/2011,13386.912332038097
04/2011,13000.577524471091
05/2011,13777.780427383983
06/2011,13657.377219409069
07/2011,14257.858116754653
08/2011,14757.287083272231
09/2011,16096.588449861802
10/2011,15303.327517773436
11/2011,16133.52188418745
12/2011,17021.458722368418
01/2012,16866.4883020857
02/2012,16374.760264915527
03/2012,16220.399235467388
04/2012,16808.02945105111
05/2012,18401.390559803673
06/2012,18053.508136447086
07/2012,18750.56920782402
08/2012,18246.399398255744
09/2012,17752.9123343029
10/2012,17609.237038485186
11/2012,17796.300628999837
12/2012,17375.0447740367
01/2013,16658.30980724256
02/2013,17384.193786120748
03/2013,17897.239789360367
04/2013,17785.174242154782
05/2013,17304.835482695486
06/2013,16795.70076718407
07/2013,16471.783052722843
08/2013,16342.233729225944
09/2013,16259.11028665843
10/2013,16236.800050899596
11/2013,16126.90186293623
12/2013,15610.360463515879
01/2014,16352.125671546328
02/2014,16081.35913912496
03/2014,16021.79309195598
04/2014,16078.859045184245
05/2014,16675.263723749347
06/2014,16571.891408911033
07/2014,16870.161310168576
08/2014,17426.891591639887
09/2014,18068.366731366234
10/2014,18449.52145996587
11/2014,18747.446291579265
12/2014,19318.816441712057
01/2015,21583.917788348703
02/2015,21201.933408575973
03/2015,22341.887536449398
04/2015,21294.247080362366
05/2015,21736.03806816479
06/2015,20952.7284155999
07/2015,21636.324297026113
08/2015,21206.149602681176
09/2015,21542.109224702654
10/2015,21775.480444082583
11/2015,22577.673614213607
12/2015,21866.375215608896
01/2016,22486.819295082307
02/2016,22891.021715701772
03/2016,21880.702244510296
04/2016,21822.88608706829
05/2016,22292.267901556614
06/2016,23061.011376855673
07/2016,23102.66705385749
08/2016,22864.02743848507
09/2016,22810.512700918607
10/2016,22922.623464655575
11/2016,22642.32374189719
12/2016,22800.5990742271
01/2017,22379.321007554187
02/2017,22884.783323228767
03/2017,22693.47105443495
04/2017,22441.825431456113
05/2017,22049.303762250263
06/2017,21552.40275930531
07/2017,21051.372555507507
08/2017,21181.546395657144
09/2017,20923.34601897144
10/2017,21184.263566846854
11/2017,20745.63526256807
12/2017,20541.321925473738
01/2018,19344.27937465225
02/2018,19545.318231511097
03/2018,19617.132951422427
04/2018,19762.0623434616
05/2018,20624.124563539095
06/2018,20706.279219808417
07/2018,20449.46206864956
08/2018,20826.683621068725
09/2018,20685.28681289941
10/2018,21080.226171876424
11/2018,21286.343216351062
12/2018,21693.550745073728
01/2019,21775.57804033461
02/2019,21830.722122370706
03/2019,22739.72513216348
04/2019,22672.266003674824
05/2019,23491.03546547578
06/2019,23333.790619891304
07/2019,23786.105387828124
08/2019,24988.11572985508
09/2019,25044.173516533043
10/2019,24486.214252082813
11/2019,24707.05233967829
12/2019,23972.746978780593
01/2020,25150.54311046962
02/2020,26112.252918764923
03/2020,27118.811256691934
04/2020,27466.547401236996
05/2020,26855.18632280952
06/2020,26722.076281984464
07/2020,25469.882653757435
08/2020,25061.02235326178
09/2020,25623.767701597968
10/2020,25310.805347837406
11/2020,24785.719084103115
12/2020,24124.978526504943
01/2021,24104.002093734307
02/2021,23466.37396265412
03/2021,23790.694190199796
04/2021,23321.201095319982
05/2021,23185.44483461379
06/2021,24057.4580327456
07/2021,24518.684120950733
08/2021,24543.22428119695
09/2021,24679.2938920299
10/2021,24426.05350301068
11/2021,25308.596433238723
12/2021,25285.193348504083
01/2022,25103.2279814703
02/2022,24904.886428416743
03/2022,24115.12919203994
