Data,IE00B3WJKG14
11/2015,10000
12/2015,9492.202556723178
01/2016,9003.245486923717
02/2016,8909.277593690285
03/2016,9297.724626458368
04/2016,8779.531302487776
05/2016,9468.324906529582
06/2016,9248.0329996665
07/2016,9964.425612451618
08/2016,10148.644245232279
09/2016,10366.925012116668
10/2016,10560.78313399704
11/2016,10825.830139297941
12/2016,11089.902474647812
01/2017,11345.206535902495
02/2017,12094.45208455737
03/2017,12291.023948767588
04/2017,12321.196788262776
05/2017,12518.848472870288
06/2017,11973.246891561568
07/2017,12152.741358647772
08/2017,12460.662571452633
09/2017,12556.961112479235
10/2017,13721.56649855757
11/2017,13621.743259499111
12/2017,13456.05730637183
01/2018,13938.934801033643
02/2018,14219.377481940473
03/2018,13541.914979242445
04/2018,13821.611869047418
05/2018,15310.476137718126
06/2018,15306.55703459559
07/2018,15518.465794847541
08/2018,16703.93860108803
09/2018,16751.15562875838
10/2018,15761.842760723819
11/2018,15396.141064352043
12/2018,13976.263214748278
01/2019,14894.852143525844
02/2019,16008.105436721673
03/2019,17045.71445902633
04/2019,18163.662920109895
05/2019,16670.867358710086
06/2019,17821.29416736371
07/2019,18787.119978105948
08/2019,18686.71393685082
09/2019,19219.262355268405
10/2019,19485.639675774913
11/2019,20840.58683314699
12/2019,21280.86436686872
01/2020,22481.412162829143
02/2020,20973.154507869676
03/2020,19186.21971043278
04/2020,21981.537149112315
05/2020,22965.032968310275
06/2020,24419.034949098485
07/2020,24317.837466978508
08/2020,26945.04251066637
09/2020,26017.519567994037
10/2020,24698.3829211231
11/2020,26885.731523788876
12/2020,27749.95974605127
01/2021,27786.00354031213
02/2021,28146.570567871342
03/2021,29583.23047848005
04/2021,30202.521722906855
05/2021,29624.270156947685
06/2021,32509.74057673543
07/2021,33725.67570918593
08/2021,35061.44059266138
09/2021,33766.04222114808
10/2021,36225.85772868007
11/2021,38702.85121935987
12/2021,40091.76633972606
01/2022,37874.48420082303
02/2022,35848.500646817665
03/2022,37410.99001126339
04/2022,34921.47719221726
05/2022,34076.12160211205
06/2022,31805.852796152765
07/2022,36801.622271297136
08/2022,35207.449482517855
09/2022,31758.343073437914
10/2022,33736.89918709257
11/2022,34149.0831060805
12/2022,30416.50396398184
01/2023,32778.206888171066
02/2023,33559.20482131682
03/2023,36319.99035003117
04/2023,35962.3803486657
05/2023,40584.22886696503
06/2023,42594.16993342905
07/2023,43253.688042866335
08/2023,43336.364402575986
09/2023,41304.906875736044
10/2023,40978.368868972866
11/2023,45016.168663559845
12/2023,46202.799322105246
01/2024,48997.24331582254
02/2024,52310.04592537358
03/2024,53452.693711739696
04/2024,50970.93008461334
