Data,IE00B3Z3FS74
12/1987,10000
01/1988,11098.72162367223
02/1988,11457.542703964178
03/1988,12515.141820359768
04/1988,13103.46176417438
05/1988,13627.807156970968
06/1988,14613.006821893716
07/1988,14957.726566159145
08/1988,14881.852923387289
09/1988,15729.488130355972
10/1988,15239.529944331834
11/1988,14571.527503540829
12/1988,14972.608220583821
01/1989,15367.846863232586
02/1989,16746.7186695855
03/1989,18535.91559854205
04/1989,22173.556912059303
05/1989,23434.423744311378
06/1989,20958.647280989302
07/1989,21360.08314149577
08/1989,22190.77538336758
09/1989,25367.5063674052
10/1989,24750.554743278724
11/1989,23255.197066722547
12/1989,25016.604340326638
01/1990,25078.87992356145
02/1990,25713.640027541067
03/1990,22620.18905859347
04/1990,23938.09054387541
05/1990,25477.823565055776
06/1990,26532.390507637458
07/1990,27996.056533202736
08/1990,23345.036766845456
09/1990,20393.899054638525
10/1990,19425.26102427773
11/1990,18044.118011826184
12/1990,19025.9932389314
01/1991,20612.014521990914
02/1991,23264.348602759084
03/1991,26358.736903138117
04/1991,28051.695256717303
05/1991,30652.530260669697
06/1991,30654.72335015757
07/1991,32280.661363107894
08/1991,32229.998583447257
09/1991,30133.79191919287
10/1991,31316.77366861209
11/1991,29692.05616739475
12/1991,31974.18437393365
01/1992,35921.49089155356
02/1992,38339.46207519623
03/1992,40689.58527773812
04/1992,40035.40981720055
05/1992,39122.30977319646
06/1992,34226.04011347862
07/1992,32946.359863687
08/1992,30612.308197789655
09/1992,31421.734113082577
10/1992,34473.89472442719
11/1992,36330.645001748955
12/1992,37368.056822171835
01/1993,38275.55333867061
02/1993,39880.35032784674
03/1993,41395.02623544528
04/1993,40898.90695255504
05/1993,42134.92721408343
06/1993,44643.04487643945
07/1993,47757.85965602527
08/1993,52177.82814917146
09/1993,51926.76614295661
10/1993,57240.972614121194
11/1993,61369.35182616864
12/1993,71471.03648591903
01/1994,73745.61275163123
02/1994,72142.18718344592
03/1994,64244.93007989802
04/1994,63131.17809509921
05/1994,63877.48548105116
06/1994,61096.92314966939
07/1994,62885.06628839602
08/1994,70760.126720761
09/1994,70785.02230397127
10/1994,68167.3964898034
11/1994,65572.08805938059
12/1994,61527.466585732094
01/1995,53846.964395422016
02/1995,51882.23262909074
03/1995,50173.97346083121
04/1995,51413.06318236865
05/1995,54975.82632073688
06/1995,54668.770719492895
07/1995,55236.830611451194
08/1995,55559.07939730817
09/1995,55995.08392973413
10/1995,53004.05174308462
11/1995,52162.03924362728
12/1995,55329.1278947035
01/1996,59971.83335217369
02/1996,59346.94499642377
03/1996,59760.6358383694
04/1996,62669.47826740715
05/1996,63135.49980535545
06/1996,63026.01795638552
07/1996,57815.33919126803
08/1996,58747.54478451855
09/1996,59759.780350729634
10/1996,58336.47687646413
11/1996,58542.46386094504
12/1996,60098.57479355769
01/1997,65933.4849056745
02/1997,71741.20088077997
03/1997,70655.02852294114
04/1997,71152.55660937006
05/1997,72952.42372021792
06/1997,77707.33532543282
07/1997,81048.09085286556
08/1997,72738.1866800611
09/1997,72780.31893559224
10/1997,59720.978720101055
11/1997,56347.25299219714
12/1997,59252.181450364136
01/1998,55850.62867560694
02/1998,61534.40640239676
03/1998,64430.61693344261
04/1998,63285.890454059845
05/1998,53770.272655217566
06/1998,48470.09764888282
07/1998,50116.73123245755
08/1998,35471.940881082264
09/1998,35956.06922152078
10/1998,38267.87513151282
11/1998,42643.26278159708
12/1998,41749.690873888285
01/1999,42411.05048540079
02/1999,44238.69323322342
03/1999,51347.63174005699
04/1999,58480.94285683492
05/1999,58914.529503773185
06/1999,66403.55877540285
07/1999,62377.141294615016
08/1999,63654.095838174784
09/1999,60958.24852571502
10/1999,63508.1797104845
11/1999,71631.44187011584
12/1999,81138.90517878436
01/2000,83734.0933554184
02/2000,85497.82015737663
03/2000,87348.0677445437
04/2000,83125.89255780145
05/2000,77807.37745474055
06/2000,78401.96576320473
07/2000,76874.487825629
08/2000,80162.21485016106
09/2000,74325.69724335498
10/2000,71774.04180240887
11/2000,63472.16904501569
12/2000,60655.189793860976
01/2001,69085.90513118678
02/2001,63974.154581669936
03/2001,60396.76341069171
04/2001,63056.313397464175
05/2001,66777.69153027887
06/2001,65395.27047041009
07/2001,59327.15755230994
08/2001,56146.628275277486
09/2001,47586.78016406616
10/2001,51029.098064368714
11/2001,57259.82127269288
12/2001,62390.91005280866
01/2002,65808.73908590084
02/2002,66770.11715394622
03/2002,70182.42723277168
04/2002,68398.61878982752
05/2002,64579.258449689245
06/2002,56201.91105848965
07/2002,52936.664318203446
08/2002,53469.76218639485
09/2002,47560.8698899368
10/2002,50618.12708664162
11/2002,53750.14105285451
12/2002,49179.991690009876
01/2003,47467.82185689417
02/2003,46324.00787727083
03/2003,44535.56289985047
04/2003,47466.295065456085
05/2003,47891.16392471031
06/2003,52362.14124750339
07/2003,56168.15048937004
08/2003,62073.074196294285
09/2003,58626.69793914133
10/2003,63769.642109143526
11/2003,62539.97777956574
