Data,IE00B43HR379
09/1989,10000
10/1989,9688.673765304602
11/1989,10000.668187472438
12/1989,9656.705494515234
01/1990,8762.920515724652
02/1990,8428.420127733878
03/1990,8875.335581557734
04/1990,8806.26320103573
05/1990,9812.772734038956
06/1990,10325.33038413449
07/1990,10327.927991307677
08/1990,9141.396610909702
09/1990,8798.245491040807
10/1990,8698.99921558341
11/1990,9336.423178807147
12/1990,9636.417512555452
01/1991,10002.536813081013
02/1991,10767.18975520209
03/1991,12292.99736496841
04/1991,12896.95461723903
05/1991,13604.053136432087
06/1991,13546.008553744501
07/1991,14639.962519153474
08/1991,14739.808427047801
09/1991,14115.753159813381
10/1991,14796.699155248429
11/1991,13835.563768120299
12/1991,15573.3049396759
01/1992,14576.57236180757
02/1992,14701.452534352828
03/1992,14351.810314786006
04/1992,14154.89312211194
05/1992,13920.386486204005
06/1992,12902.674950050952
07/1992,13049.017781106373
08/1992,12297.88559940835
09/1992,11915.248058522053
10/1992,12736.28374894808
11/1992,13961.769241824586
12/1992,13704.67853212788
01/1993,12861.12694484382
02/1993,12265.883537432648
03/1993,12441.982189562797
04/1993,12256.65136440176
05/1993,12583.671360238755
06/1993,12503.05327635324
07/1993,12037.49610109234
08/1993,12639.065984686647
09/1993,12035.332595025668
10/1993,12854.81818053203
11/1993,13540.333476642578
12/1993,13772.452035455617
01/1994,14048.020802831812
02/1994,13167.936721170194
03/1994,12182.958216669793
04/1994,12609.793171616311
05/1994,13100.205802937
06/1994,12540.484431828358
07/1994,12317.586556178148
08/1994,13774.677719437628
09/1994,13899.350718662425
10/1994,13805.037861895307
11/1994,14144.225982151063
12/1994,14567.212524585586
01/1995,15197.947022005577
02/1995,15239.932617328524
03/1995,15075.703687629959
04/1995,15181.700043183006
05/1995,15814.053324299246
06/1995,16352.242396849388
07/1995,16938.194150013333
08/1995,17424.384625792256
09/1995,19193.139493623734
10/1995,19424.78793702318
11/1995,20426.919058363575
12/1995,21845.888134309007
01/1996,23352.56576336149
02/1996,23117.910432446348
03/1996,23098.863744644077
04/1996,22873.15621820916
05/1996,24102.145555162733
06/1996,24359.31250396972
07/1996,22847.660743946024
08/1996,23473.9461263502
09/1996,25614.893816164473
10/1996,25916.21088900572
11/1996,27721.904993158387
12/1996,27104.40208745193
01/1997,30860.724955417434
02/1997,32666.28788296356
03/1997,30799.422872124862
04/1997,33529.04408178396
05/1997,35454.84632008055
06/1997,39186.96942377242
07/1997,41085.253758088074
08/1997,38891.70879224553
09/1997,40044.24779821077
10/1997,39708.78482105274
11/1997,40588.748084594896
12/1997,43470.91629199678
01/1998,47545.930219323745
02/1998,50048.61221915063
03/1998,52049.261451036386
04/1998,52917.77121859841
05/1998,51075.52282602232
06/1998,55182.834903785944
07/1998,55543.13637362186
08/1998,49107.84734029905
09/1998,52330.81306275772
10/1998,52169.76373554202
11/1998,56968.76212690144
12/1998,59070.533397022715
01/1999,60780.560046740204
02/1999,63381.6012772568
03/1999,66551.47546858121
04/1999,62946.5965858973
05/1999,61973.04239164016
06/1999,65625.31114554692
07/1999,59859.77644911426
08/1999,62593.2827353549
09/1999,57032.02694956362
10/1999,64601.49960128313
11/1999,67345.32911719516
12/1999,61660.14079652814
01/2000,67018.9426134109
02/2000,60537.54966478832
03/2000,64920.985964299434
04/2000,73687.91876151897
05/2000,75964.45100732334
06/2000,80095.83215725723
07/2000,78152.09041039621
08/2000,81660.17906758234
09/2000,87082.42927886885
10/2000,94001.2960494997
11/2000,94979.34957336393
12/2000,91105.1722655717
01/2001,83754.59366794574
02/2001,84357.99338222745
03/2001,81759.05028619934
04/2001,83569.62340076019
05/2001,88532.70762071636
06/2001,84407.39149847734
07/2001,86141.68585547099
08/2001,79429.27722965424
09/2001,80809.24252271348
10/2001,81201.92484023432
11/2001,86510.84540997959
12/2001,84560.98383652112
01/2002,85461.91717141097
02/2002,85650.35373357177
03/2002,85095.23650329042
04/2002,77303.60305781693
05/2002,72760.03916715272
06/2002,62174.40134806357
07/2002,62087.00373594741
08/2002,62525.53012803336
09/2002,58340.20811507127
10/2002,61808.88803840978
11/2002,63069.144051011535
12/2002,57597.65728732091
01/2003,55627.05573275229
02/2003,54788.725433486856
03/2003,56079.53882007502
04/2003,56802.14158885366
05/2003,54482.834218295706
06/2003,58789.53997109346
07/2003,58496.18660615067
08/2003,58363.64280057422
09/2003,54938.89496240983
10/2003,55481.880582206795
11/2003,54650.91562221325
12/2003,54943.40057725867
01/2004,57568.95025240884
02/2004,57916.332801326476
03/2004,56435.03348595515
04/2004,59524.27333396914
05/2004,58210.5934120401
06/2004,58270.25030500722
07/2004,55656.44858887628
08/2004,56307.80245814635
09/2004,53980.42112512216
10/2004,51435.50198140897
11/2004,50134.38070117679
12/2004,51721.33269198761
01/2005,52332.569239742625
02/2005,53060.09988082046
03/2005,53996.36132106414
04/2005,55854.04834017887
05/2005,59289.103580347975
06/2005,60260.824632506505
07/2005,61641.682109766945
08/2005,60933.74492283711
09/2005,61335.81607280223
10/2005,59616.40441616375
11/2005,61545.391000023264
12/2005,63481.96690222121
01/2006,62710.13129595614
02/2006,64636.60762451336
03/2006,62624.885213194015
04/2006,58556.037843244056
05/2006,55935.78243017377
06/2006,56628.53025355196
07/2006,59481.335800880945
08/2006,60858.87933170038
09/2006,62652.46204528753
10/2006,62775.940147847476
11/2006,60191.075417419444
12/2006,61054.5388943999
01/2007,63985.59463290084
02/2007,61312.02849864562
03/2007,60975.87478183066
04/2007,63967.80550098037
05/2007,65680.27404477914
06/2007,63106.823616354915
07/2007,59473.5643024792
08/2007,60988.838287572
09/2007,60713.66196856672
10/2007,60739.806632536674
11/2007,60109.27967202771
12/2007,58439.61562799901
01/2008,55061.15765352585
02/2008,52757.48877912834
03/2008,48121.18086851943
04/2008,49706.284901192455
05/2008,50809.734649599624
06/2008,47652.16561057747
07/2008,50547.196096461295
08/2008,54638.34652306449
09/2008,52759.510218753654
10/2008,52228.868407455026
11/2008,48782.27214480637
12/2008,47642.998128371255
01/2009,51086.17161543203
02/2009,45304.651678679795
03/2009,45820.63829513865
04/2009,45590.160867766914
05/2009,45868.67504580276
06/2009,46956.93092580567
07/2009,49709.306927603204
08/2009,50397.656544936566
09/2009,49627.81121594528
10/2009,48001.25938284084
11/2009,51682.48726733551
12/2009,55010.69064664174
01/2010,57015.18970350772
02/2010,58834.77942442628
03/2010,60772.17686992067
04/2010,59155.7041012517
05/2010,59689.86745564312
06/2010,58860.1934400029
07/2010,56179.89535372237
08/2010,56855.9625662371
09/2010,57586.341381644226
10/2010,57918.27822746174
11/2010,59964.28147552539
12/2010,60937.23713679099
01/2011,59760.711122551606
02/2011,60995.849931100274
03/2011,60511.82307282317
04/2011,61614.45576493142
05/2011,65182.310620239165
06/2011,64140.04721115504
07/2011,62486.42459995473
08/2011,60377.476929490615
09/2011,61750.09779824733
10/2011,62972.65466791418
11/2011,66379.96552519599
12/2011,70837.62187393963
01/2012,71712.3997177328
02/2012,71184.67281722245
03/2012,74816.93471227564
04/2012,75447.43460560993
05/2012,77475.09981903706
06/2012,80727.22860647467
07/2012,83603.61839509834
08/2012,82272.6138246949
09/2012,83413.85037990553
10/2012,82744.77806115481
11/2012,83261.14152383448
12/2012,81773.91272640652
01/2013,85568.17772994492
02/2013,89435.41591375301
03/2013,97547.30049709862
04/2013,98311.95758232063
05/2013,100419.9919882677
06/2013,99121.96675964519
07/2013,104772.52792016805
08/2013,101408.89957251892
09/2013,102510.63992348494
10/2013,105850.1363734269
11/2013,111065.6222196778
12/2013,110507.3497077028
01/2014,113796.332921606
02/2014,118209.68290409459
03/2014,116910.28165095138
04/2014,115794.82305873508
05/2014,121129.9728791308
06/2014,123304.65960390697
07/2014,126041.40914837773
08/2014,134058.61459207052
09/2014,141088.66890748707
10/2014,149325.2707078266
11/2014,154852.64589050875
12/2014,157100.85151033947
01/2015,170767.37570535362
02/2015,179159.6569229514
03/2015,188791.06512311468
04/2015,178664.4483657549
05/2015,190908.5551819126
06/2015,186624.344148868
07/2015,195718.312454205
08/2015,176282.24479332895
09/2015,166442.50783585128
10/2015,182351.62242380975
11/2015,189095.25975335235
12/2015,186991.60202281494
01/2016,172244.98117905395
02/2016,171879.16243396665
03/2016,168912.4995640561
04/2016,173565.19390335167
05/2016,181314.6442979286
06/2016,184004.36852237233
07/2016,192879.8215138037
08/2016,186136.06576402107
09/2016,184686.76487998743
10/2016,176002.6688365808
11/2016,184662.89599426262
12/2016,187648.91866642504
01/2017,188020.92204355038
02/2017,203079.72361559508
03/2017,200431.1452416306
04/2017,199048.5043493351
05/2017,195443.61502304635
06/2017,201025.0758260665
07/2017,197116.48979249067
08/2017,199070.4854526901
09/2017,201341.84714142716
10/2017,202660.6138751539
11/2017,204835.96311572933
12/2017,201042.8040311985
01/2018,206395.2835902081
02/2018,201113.98718902838
03/2018,193223.51573378834
04/2018,199471.85460377802
05/2018,206386.84988277833
06/2018,210453.68693357555
07/2018,222855.2075230922
08/2018,234265.9326328921
09/2018,242658.495295823
10/2018,231555.94815032248
11/2018,246962.71784894424
