Data,IE00B43VDT70
12/1978,10000
01/1979,11298.649950335794
02/1979,13004.74830644495
03/1979,12598.567348965253
04/1979,13074.272671473744
05/1979,15152.266381357622
06/1979,14568.854747714733
07/1979,14943.496882233778
08/1979,17026.558278519064
09/1979,26517.05338096325
10/1979,27198.277302918676
11/1979,30999.20151543803
12/1979,51352.976690507385
01/1980,55698.718514727625
02/1980,56584.965139551095
03/1980,22621.140570013507
04/1980,23463.77454531487
05/1980,22224.713406621144
06/1980,26770.056205964454
07/1980,24901.247358832217
08/1980,25840.96647265409
09/1980,32903.69318272698
10/1980,31048.989033026046
11/1980,31359.206176876818
12/1980,27209.595628036044
01/1981,23147.06138272049
02/1981,23552.450081002324
03/1981,23186.157356221014
04/1981,21354.33997012517
05/1981,21670.5734379544
06/1981,17637.496302240335
07/1981,18630.509797492494
08/1981,20579.67500959223
09/1981,19202.456580444235
10/1981,18983.01352553482
11/1981,17016.01481865922
12/1981,17012.304729760064
01/1982,17535.15718403811
02/1982,17152.369218082324
03/1982,15723.635842256335
04/1982,15962.608139881486
05/1982,13876.318399075328
06/1982,13232.48494285759
07/1982,15648.197823642955
08/1982,18338.769919892497
09/1982,19614.97792740346
10/1982,23905.445758557016
11/1982,23487.29708897757
12/1982,25654.685223871864
01/1983,32381.32364210285
02/1983,27909.044760618755
03/1983,25165.582738949328
04/1983,29064.441556494716
05/1983,33122.70197249545
06/1983,29221.87565726892
07/1983,31007.805102959526
08/1983,31596.776407776928
09/1983,29630.92617762697
10/1983,22652.988638452665
11/1983,26100.263453460637
12/1983,24299.63216263586
01/1984,23499.979894320422
02/1984,26042.83359894076
03/1984,25134.21470412761
04/1984,23748.257415943666
05/1984,25057.58700631992
06/1984,23046.403966123293
07/1984,20256.51460698923
08/1984,21444.671709383667
09/1984,22422.513157147427
10/1984,22087.688172489197
11/1984,21074.00691420743
12/1984,19531.341328868628
01/1985,20137.124538938282
02/1985,18853.75574613357
03/1985,22017.24314420779
04/1985,19449.041486561066
05/1985,18846.17492640054
06/1985,18589.562561121613
07/1985,18329.891962635545
08/1985,17450.71567503494
09/1985,17181.698118899312
10/1985,16364.455198403613
11/1985,16057.421005221528
12/1985,14782.800752129717
01/1986,15230.93227358209
02/1986,13583.020318795945
03/1986,13091.35030368903
04/1986,11962.641561649734
05/1986,11975.10000482637
06/1986,11651.379419967265
07/1986,11307.638289311451
08/1986,11237.973938513329
09/1986,11902.985116314681
10/1986,11954.224832126292
11/1986,11592.037479758597
12/1986,11210.658589391769
01/1987,11070.62684521653
02/1987,10712.449425180635
03/1987,12330.203197429222
04/1987,15680.422672413462
05/1987,14648.60491432254
06/1987,13854.729252333196
07/1987,16370.916210966192
08/1987,14961.775991059192
09/1987,14754.169041262514
10/1987,13182.019997812637
11/1987,13056.16446933194
12/1987,11693.298674327629
01/1988,11545.687726709211
02/1988,11129.580820310577
03/1988,12074.510503416865
04/1988,11485.768602268776
05/1988,11841.987143044791
06/1988,12372.115915544833
07/1988,13285.615367884
08/1988,12898.87605246144
09/1988,12226.807634350876
10/1988,12189.833018267278
11/1988,11260.121460167336
12/1988,11233.530704817918
01/1989,11285.640637854782
02/1989,11441.92977421387
03/1989,11334.087363338496
04/1989,11142.59251415455
05/1989,10754.319660920024
06/1989,10848.51307657798
07/1989,10316.042357481481
08/1989,10315.780350285782
09/1989,10906.826933917011
10/1989,10399.482150789041
11/1989,10899.71041984019
12/1989,9792.526359992986
01/1990,9480.757015234864
02/1990,9199.607268788079
03/1990,9076.413346340236
04/1990,8903.333266256563
05/1990,8993.051054003094
06/1990,8640.346839375192
07/1990,8402.799710187666
08/1990,7989.076849346399
09/1990,7941.821214446764
10/1990,6786.921750432752
11/1990,6436.276670690517
12/1990,6679.219997333102
01/1991,6107.605671918498
02/1991,5773.308491268188
03/1991,6550.2583436870345
04/1991,7073.5813050150055
05/1991,7528.5302975112045
06/1991,8413.434329097685
07/1991,7691.572516772584
08/1991,7052.012428687905
09/1991,7430.357102128681
10/1991,7337.3791225971
11/1991,7017.391736821436
12/1991,6449.623835089652
01/1992,6948.973123218878
02/1992,7079.514917775681
03/1992,7268.233697012298
04/1992,6959.068393137274
05/1992,6954.073649348623
06/1992,6699.537499161562
07/1992,6262.962663380477
08/1992,5741.612512243343
09/1992,5946.624526367686
10/1992,6188.7646955470545
11/1992,6537.887157594139
12/1992,6421.269455295103
01/1993,6612.377534490618
02/1993,6517.273129873676
03/1993,7140.297171885656
04/1993,7620.226658793686
05/1993,8373.964509666597
06/1993,8361.49349002898
07/1993,10094.65161367457
08/1993,9291.427989106242
09/1993,7421.252307601296
10/1993,8200.904523256686
11/1993,8540.89651127996
12/1993,9772.76327270293
01/1994,9791.72074355156
02/1994,10107.63627135894
03/1994,10824.26532110548
04/1994,9990.871456422785
05/1994,10170.977864084147
06/1994,9558.215870345073
07/1994,9334.623335906273
08/1994,9457.078080539772
09/1994,9810.146896186576
10/1994,9148.613912279323
11/1994,8812.669892785667
12/1994,8591.341545134443
01/1995,8149.209472834065
02/1995,7700.50973001205
03/1995,8503.209813186919
04/1995,9419.11922471691
05/1995,8685.361981406657
06/1995,8663.751491029328
07/1995,8190.610048562847
08/1995,8808.374736668753
09/1995,9262.10071839323
10/1995,8837.902262023033
11/1995,8556.692000119698
12/1995,8625.657578262819
01/1996,9369.36771911983
02/1996,9425.282328286878
03/1996,9407.6779014583
04/1996,9072.167343015893
05/1996,9278.43338348414
06/1996,8670.229288816769
07/1996,8683.469213301363
08/1996,8739.923328829716
09/1996,8279.990928537445
10/1996,8207.76492334247
11/1996,7962.054466801432
12/1996,8230.061087791546
01/1997,8733.1508611066
02/1997,9653.060697783052
03/1997,9533.320509762152
04/1997,8709.518645074213
05/1997,9041.263187971554
06/1997,8872.601497400768
07/1997,8474.448235068248
08/1997,9393.525200077205
09/1997,10001.71395144519
10/1997,9146.156487815459
11/1997,9853.542238666954
12/1997,11447.495546817841
01/1998,11810.612891121726
02/1998,12408.173074242215
03/1998,12400.995012550984
04/1998,12060.624452853253
05/1998,9468.961161191139
06/1998,10306.209974268368
07/1998,10649.230232868853
08/1998,9181.836585035473
09/1998,9848.114422645413
10/1998,8899.898364369057
11/1998,8919.029761917775
12/1998,9003.183517707283
01/1999,9727.283784072215
02/1999,10703.4591535619
03/1999,9883.045790936658
04/1999,10842.444744867418
05/1999,9965.045557953099
06/1999,10663.841346078154
07/1999,10749.363484345597
08/1999,10130.492312040955
09/1999,11022.761178856108
10/1999,10667.810444537547
11/1999,10810.821975328741
12/1999,11176.835148388216
01/2000,11313.685129431335
02/2000,11041.978281742448
03/2000,10871.884961163
04/2000,11435.349771713238
05/2000,11077.727559463992
06/2000,11040.545679958546
07/2000,11256.149403143441
08/2000,11584.019373437124
09/2000,11713.864389779357
10/2000,11825.026788964404
11/2000,11191.62595088397
12/2000,10317.005142857715
01/2001,10812.44334799107
02/2001,10044.961361205489
03/2001,10277.400237372534
04/2001,10305.774940124957
05/2001,10931.961205846426
06/2001,10706.063344776292
07/2001,10079.247047724988
08/2001,9598.14082030061
09/2001,10505.833937049267
10/2001,9888.518256525025
11/2001,9728.0118777153
12/2001,10720.196692304022
01/2002,10342.249472272226
02/2002,10708.60320528353
03/2002,11190.163243961295
04/2002,10659.866750423174
05/2002,11215.600809910053
06/2002,10184.71411687781
07/2002,9933.492266747247
08/2002,9678.275800798117
09/2002,9580.970425809348
10/2002,9451.432018166324
11/2002,9293.939249947622
12/2002,9261.319893977125
01/2003,9376.9771054707
02/2003,8866.864481550954
03/2003,8514.213570704122
04/2003,8601.866191817095
05/2003,8017.144378581228
06/2003,8191.628866678839
07/2003,9323.47325168498
08/2003,9701.589319414412
09/2003,9112.614595391027
10/2003,9168.898411906011
11/2003,9253.53110915072
12/2003,9794.708660648856
01/2004,10421.49924057547
02/2004,10982.269804474665
03/2004,13263.924026724095
04/2004,10315.20032899002
05/2004,10464.654854203427
06/2004,10063.898158192276
07/2004,11034.422707371921
08/2004,11511.969390362703
09/2004,11106.745799127377
10/2004,11620.757941437307
11/2004,12054.411011648936
12/2004,10335.817167901227
01/2005,10646.557015821558
02/2005,11446.211444701523
03/2005,11443.202088758317
04/2005,11114.353044263675
05/2005,11925.948668766392
06/2005,12106.619600750411
07/2005,12178.409574036583
08/2005,11385.253650284687
09/2005,12880.806515535236
10/2005,13299.601758016115
11/2005,14360.94183728778
12/2005,15404.11974163537
01/2006,16825.239821737112
02/2006,16791.571626846973
03/2006,19968.810603427173
04/2006,20584.70604706079
05/2006,20967.019654877746
06/2006,17288.113750031833
07/2006,18399.941834658443
08/2006,20127.224553603377
09/2006,18721.766907167043
10/2006,19519.254108698537
11/2006,21254.248745951834
12/2006,20081.130687575056
01/2007,21137.45622708388
02/2007,22193.187709434715
03/2007,20530.780160451595
04/2007,20316.823663108735
05/2007,20159.283829746244
06/2007,18999.036272596146
07/2007,19295.044205536553
08/2007,17828.951591164772
09/2007,19678.687522447348
10/2007,20255.236551925336
11/2007,19693.184256508808
12/2007,20475.765133526696
01/2008,22983.16583932808
02/2008,26402.304299084833
03/2008,23212.737664165354
04/2008,21615.886140298313
05/2008,22153.22058576018
06/2008,22820.967286842366
07/2008,22815.25417162393
08/2008,19020.136298162695
09/2008,18449.207044393723
10/2008,14805.511497324962
11/2008,16178.91221981162
12/2008,15769.78906818743
01/2009,19849.188445280837
02/2009,21238.52645986193
03/2009,20019.177671322122
04/2009,19327.64695612476
05/2009,22357.455396250123
06/2009,20022.95981063231
07/2009,19565.639467915476
08/2009,20669.60375153143
09/2009,22785.59648806893
10/2009,22700.932966446253
11/2009,24475.559967672638
12/2009,23897.774314134804
01/2010,23627.28366989167
02/2010,24055.33042047132
03/2010,26283.1461237186
04/2010,28301.17185690188
05/2010,30461.972210618722
06/2010,30887.677293086468
07/2010,27406.244237517898
08/2010,30078.80896387982
09/2010,32674.683937407648
10/2010,34927.19024884602
11/2010,42150.46520531588
12/2010,46278.16210466629
01/2011,40901.2894064512
02/2011,48841.62393414391
03/2011,53763.488232710806
04/2011,66083.01483872016
05/2011,54156.06887447563
06/2011,48821.27287072347
07/2011,55979.93982029001
08/2011,57623.34279755866
09/2011,45390.886505855844
10/2011,49210.31722524385
11/2011,46998.44170798878
12/2011,43794.79851078515
01/2012,51264.57783969708
02/2012,55658.12184668768
03/2012,48779.93641796979
04/2012,47418.28128888931
05/2012,45483.9286712417
06/2012,43167.0755800327
07/2012,46058.175744164204
08/2012,48539.86083815472
09/2012,53732.95830389898
10/2012,49797.53569642066
11/2012,52895.20677147968
12/2012,45468.12874422619
01/2013,47333.52142603397
02/2013,44138.41717622721
03/2013,44756.29125151886
04/2013,37367.604647470645
05/2013,34699.840445772395
06/2013,28820.645778267677
07/2013,30014.068904663316
08/2013,35681.1682820414
09/2013,32057.020447609528
10/2013,32488.22471304643
11/2013,29219.95716928705
12/2013,28206.874917624325
01/2014,28491.18388419982
02/2014,30699.048029116704
03/2014,28865.03793197212
04/2014,27733.56626990675
05/2014,27809.869033723317
06/2014,30423.842816012395
07/2014,30780.52884090423
08/2014,29375.034100308876
09/2014,27046.05372400299
10/2014,25719.448298752497
11/2014,25429.212161183517
12/2014,26137.263502757432
01/2015,29731.401783355916
02/2015,29204.412048910144
03/2015,30629.75682096092
04/2015,29232.790072135373
05/2015,30147.522883023074
06/2015,27827.753958143014
07/2015,26320.498169870683
08/2015,25517.782263961544
09/2015,25908.323130417764
10/2015,28099.68981911224
11/2015,26351.99226968015
12/2015,25125.066728807928
01/2016,25512.23100724125
02/2016,26796.493663797577
03/2016,26712.577577502518
04/2016,30953.61925592843
05/2016,28453.263445612294
06/2016,32671.24859518401
07/2016,35614.858288460106
08/2016,33236.09450984891
09/2016,34217.98122653068
10/2016,32012.028453332314
11/2016,30915.598272665327
12/2016,30376.668039386575
01/2017,31687.298536807586
02/2017,33990.87416403503
03/2017,33275.48060670462
04/2017,31365.615568758945
05/2017,30366.51453077397
06/2017,28399.479565098623
07/2017,28114.028386669113
08/2017,28836.752312129305
09/2017,28074.254966672997
10/2017,28402.82882942542
11/2017,27473.176071744318
12/2017,27617.616048054966
01/2018,27155.38498389191
02/2018,26416.96871772248
03/2018,25924.102027460027
04/2018,26597.48941611702
05/2018,27737.77771865993
06/2018,26951.729538661
07/2018,25761.74952155828
08/2018,24637.951159092616
09/2018,24197.339696738825
10/2018,24801.620288572878
11/2018,24523.092656120007
12/2018,26422.342902960445
01/2019,27365.108839500794
02/2019,27083.40541868865
03/2019,26266.753326040507
04/2019,26097.673875377903
05/2019,25361.212561734174
06/2019,26112.62884592344
07/2019,28837.79327937815
08/2019,32507.020370614682
09/2019,30910.339532788035
10/2019,31564.976178516972
11/2019,30113.630331344004
12/2019,31302.382410144837
01/2020,31525.56438653469
02/2020,30488.408282148535
03/2020,24751.079409811937
04/2020,27439.888087078856
05/2020,30731.118021900325
06/2020,30994.01982817027
07/2020,39502.27712743408
08/2020,44526.533896720895
09/2020,39375.83834907487
10/2020,39230.59193478628
11/2020,35902.721655387584
12/2020,41899.56877541766
01/2021,43839.676035126235
02/2021,42710.883757829695
03/2021,39696.87835520927
04/2021,41520.69059795823
05/2021,43890.9515345964
06/2021,42005.83161927229
07/2021,41519.37084424181
08/2021,39340.83629417337
09/2021,35980.58146492219
10/2021,39895.274835661105
11/2021,38922.64492906119
12/2021,39412.87348503934
01/2022,38978.0019101922
02/2022,42017.56553378612
03/2022,43184.31464548407
