Data,IE00B44T3H88
12/1992,10000
01/1993,10076.115451174292
02/1993,11359.859175899122
03/1993,10187.596212986517
04/1993,9293.298558977453
05/1993,8754.050701956421
06/1993,8586.98315254661
07/1993,7888.2650418513385
08/1993,9291.768508300134
09/1993,9518.189405906802
10/1993,10556.543608443262
11/1993,11727.781461554885
12/1993,14569.066750802362
01/1994,12797.821749114039
02/1994,12056.01914557458
03/1994,9646.020175019352
04/1994,9448.013487333546
05/1994,9668.266020389236
06/1994,8473.789483667962
07/1994,9167.243460773512
08/1994,9701.11239282071
09/1994,9718.78168967207
10/1994,9160.185757956835
11/1994,8080.636040913474
12/1994,7219.99705206573
01/1995,6092.102133406531
02/1995,6713.115883710648
03/1995,6459.406274671345
04/1995,5666.58386018816
05/1995,6778.419947641053
06/1995,6639.880845747711
07/1995,6886.77861825198
08/1995,6679.098260456919
09/1995,6467.120244257894
10/1995,5968.74719950419
11/1995,5557.400099111743
12/1995,5381.285974665168
01/1996,6278.044911427167
02/1996,6498.186464279634
03/1996,6192.197886275337
04/1996,5911.453631838323
05/1996,6254.775698442511
06/1996,6301.808123115756
07/1996,5985.926509699194
08/1996,5909.485930108103
09/1996,5888.773317863956
10/1996,5759.081853034685
11/1996,6338.7467324357185
12/1996,7549.4728534468895
01/1997,7578.827441192286
02/1997,8138.067282284914
03/1997,7990.509088828761
04/1997,9091.237848076806
05/1997,8956.581917179865
06/1997,9255.31611921289
07/1997,10810.904186838341
08/1997,11769.717307479126
09/1997,9549.375095132238
10/1997,7848.567371111422
11/1997,6291.675422072784
12/1997,6267.136893276222
01/1998,4777.341004646831
02/1998,6455.87370739514
03/1998,6309.186783908704
04/1998,5617.917033012223
05/1998,4803.459746418897
06/1998,4081.542884877704
07/1998,3348.984896644721
08/1998,2430.2135952647554
09/1998,3316.6934899357047
10/1998,3510.577105912453
11/1998,3725.1643716483336
12/1998,3394.351021576643
01/1999,2852.023747968009
02/1999,2820.513879538066
03/1999,3284.6740771031104
04/1999,4164.144982423568
05/1999,4228.347460081141
06/1999,6283.616176961875
07/1999,5307.4603994935105
08/1999,5322.7187475784385
09/1999,5063.069639728035
10/1999,4746.146737179541
11/1999,4817.445846009369
12/1999,4475.14962697454
01/2000,4389.088130029607
02/2000,3609.603328420641
03/2000,3752.6711978450153
04/2000,4316.559970257681
05/2000,4288.532409000873
06/2000,4730.650932118071
07/2000,4795.904948507282
08/2000,4772.438503458405
09/2000,4256.93966160177
10/2000,4224.020856137049
11/2000,3546.8560828277036
12/2000,3335.480955577125
01/2001,3822.404782873595
02/2001,3488.6606553996594
03/2001,3058.753848408364
04/2001,3350.9796497007596
05/2001,3601.4580423018
06/2001,3718.426295550733
07/2001,3111.931113113026
08/2001,2329.544953196417
09/2001,2255.738596742373
10/2001,2334.91006378695
11/2001,2602.8192900242475
12/2001,2635.394699443173
01/2002,2435.4903379545794
02/2002,2449.9459347600805
03/2002,2565.2455121130315
04/2002,2591.7181779501493
05/2002,2523.8740159794675
06/2002,2293.9834004962318
07/2002,2235.721032074706
08/2002,2179.9270538166993
09/2002,1999.7269237711128
10/2002,2009.37700239455
11/2002,2078.2310139601645
12/2002,1891.939686568835
01/2003,1921.1298444347449
02/2003,1878.2229761113897
03/2003,1786.2066428717392
04/2003,1749.7387582032495
05/2003,1857.1044060959116
06/2003,2043.4867911285073
07/2003,2266.657683425172
08/2003,2502.85958354845
09/2003,2364.0831274541188
10/2003,2729.176822690717
11/2003,2669.717904998423
12/2003,2929.487874814656
01/2004,2966.9702575416795
02/2004,3141.5579161557534
03/2004,2920.9309450933997
04/2004,2596.739245730687
05/2004,2716.6407875510367
06/2004,2708.1832196559913
07/2004,2743.079122340143
