Data,IE00B4JY5R22
02/1992,10000
03/1992,10066.057279691027
04/1992,10266.571823990602
05/1992,10118.076419543888
06/1992,9680.693187349645
07/1992,9595.32369848527
08/1992,9160.41857418379
09/1992,9480.72441548134
10/1992,9907.71438259588
11/1992,10914.685569017573
12/1992,11039.763750028531
01/1993,11347.73683012283
02/1993,11787.168642276747
03/1993,12093.259455693651
04/1993,11397.522083839656
05/1993,11729.468221797042
06/1993,12105.247450658258
07/1993,12565.998540979184
08/1993,13140.44946475762
09/1993,12519.183824955215
10/1993,12926.167601187799
11/1993,13144.754585894738
12/1993,13295.71186691715
01/1994,13932.031185076836
02/1994,13499.55749825384
03/1994,12641.947322981205
04/1994,12839.18228868035
05/1994,12767.375331911868
06/1994,12250.165899715868
07/1994,12260.53993561009
08/1994,12775.938295734439
09/1994,12327.942621934808
10/1994,12362.057874223088
11/1994,12087.014434107614
12/1994,12515.265193036728
01/1995,12575.428902459706
02/1995,12920.507599476572
03/1995,12782.835622703336
04/1995,12905.45282517505
05/1995,13626.585789902863
06/1995,13824.604638086787
07/1995,14114.910600683092
08/1995,14576.584879458449
09/1995,15384.340507004576
10/1995,15088.45152195
11/1995,15782.463002480867
12/1995,16338.726091388424
01/1996,17097.36418923327
02/1996,17352.32370008598
03/1996,17505.435837469555
04/1996,17912.210207176544
05/1996,18594.211622158964
06/1996,18517.453503936675
07/1996,17427.466079570117
08/1996,17631.00559151495
09/1996,18781.98665626611
10/1996,19357.06915153565
11/1996,20549.92191338144
12/1996,20585.304644597316
01/1997,22462.988597619933
02/1997,23621.834818797754
03/1997,22910.440009690625
04/1997,24406.62564912847
05/1997,25809.43583802212
06/1997,27264.61681445837
07/1997,30248.629482099084
08/1997,29363.718039492887
09/1997,30154.916786710128
10/1997,28613.9939253326
11/1997,29317.94283241821
12/1997,30621.406938554872
01/1998,31667.375250194596
02/1998,33871.576634671685
03/1998,35731.94463696919
04/1998,35841.36114478474
05/1998,34683.14096375542
06/1998,36348.54595032666
07/1998,36040.81460065902
08/1998,30698.70546799881
09/1998,31136.50677236913
10/1998,32420.490709458285
11/1998,35375.26766609752
12/1998,37169.48278519288
01/1999,39983.2708618626
02/1999,40021.21154150354
03/1999,42685.490050130364
04/1999,44938.437197215324
05/1999,44461.84901003227
06/1999,47503.9426601735
07/1999,44438.0771380466
08/1999,44717.23898944664
09/1999,43109.109377233646
10/1999,46759.89156616752
11/1999,49385.21242667761
12/1999,52551.4696525041
01/2000,51202.740530387986
02/2000,50623.56727013828
03/2000,56504.62413808566
