Data,IE00B4L5YX21
05/1994,10000
06/1994,10431.8899277213
07/1994,9739.037111214077
08/1994,9773.42738926353
09/1994,9414.84416188006
10/1994,9450.962824051667
11/1994,8995.068207150844
12/1994,9345.854459285163
01/1995,8625.678028490016
02/1995,8024.957108418384
03/1995,8424.326465739154
04/1995,8614.887707949596
05/1995,8168.685490151891
06/1995,7741.781265337612
07/1995,8204.039824040341
08/1995,8149.108183633666
09/1995,8288.961112905421
10/1995,7733.570994816878
11/1995,8156.33580216669
12/1995,8670.275251741912
01/1996,8645.702921454806
02/1996,8564.481599993702
03/1996,8855.66768290747
04/1996,9532.579920393366
05/1996,9183.488222012922
06/1996,9154.402096442976
07/1996,8593.269045440413
08/1996,8162.614548722762
09/1996,8444.011667628736
10/1996,7905.688693145034
11/1996,7831.813546527985
12/1996,7414.154002144487
01/1997,6814.384407923488
02/1997,7225.151356325108
03/1997,7054.619593229635
04/1997,7237.596307572855
05/1997,8161.885740938654
06/1997,8756.794109207936
07/1997,8634.720455237191
08/1997,8073.901715579666
09/1997,7606.694593675763
10/1997,6924.099044595066
11/1997,6237.612843411091
12/1997,5934.3405216165775
01/1998,6715.955574377588
02/1998,6753.157773787571
03/1998,6335.211825224415
04/1998,6226.570613737131
05/1998,5835.606104914704
06/1998,5906.979180799295
07/1998,5858.295856031679
08/1998,5238.358412909914
09/1998,4899.291469652368
10/1998,5453.457376132892
11/1998,5866.646792674067
12/1998,6063.440289479153
01/1999,6295.94127207755
02/1999,6384.863865185056
03/1999,7476.823162359265
04/1999,7972.519404887499
05/1999,7665.403228849536
06/1999,8652.491483193344
07/1999,9207.628073568703
08/1999,9631.581337267486
09/1999,10236.056506317718
10/1999,11106.632255833276
11/1999,12418.344426848116
12/1999,13027.921878134292
01/2000,12719.738301112357
02/2000,12733.889816386996
03/2000,13684.750009702115
04/2000,13081.067152274927
05/2000,11804.547161951967
06/2000,12236.760007923276
07/2000,11096.910865784006
08/2000,12348.384803115494
09/2000,11998.823704328164
10/2000,11558.647079618044
11/2000,10871.695123794703
12/2000,9254.88773811386
01/2001,9238.444593779186
02/2001,8801.561362463468
03/2001,8905.909892688838
04/2001,9585.040447851028
05/2001,10020.834940255167
06/2001,9450.052371626285
07/2001,8369.191004134473
08/2001,7778.332352899762
09/2001,7262.0690508848575
10/2001,7384.426194903062
11/2001,7401.4998936166185
12/2001,6886.566955681812
01/2002,6497.045596633205
02/2002,6754.2352840983285
03/2002,7121.080334117707
04/2002,7261.808090125673
05/2002,7471.568371838361
06/2002,6680.920287033649
07/2002,6381.753802189026
08/2002,6274.055065854137
09/2002,5989.128310907934
10/2002,5574.474769990769
11/2002,5737.3711109004125
12/2002,5310.1065412779035
01/2003,4955.096779076315
02/2003,5027.244939611658
03/2003,4788.243267504368
04/2003,4687.522052613963
05/2003,4621.916191295827
06/2003,5127.285886495781
07/2003,5370.044603710133
08/2003,6119.468352781419
09/2003,6114.159781537712
10/2003,6420.8207674812975
11/2003,5992.993376668192
12/2003,6071.383469356235
01/2004,6318.539371421279
02/2004,6296.440993518895
03/2004,7323.454401568863
04/2004,7131.913039274737
05/2004,6719.529387842327
06/2004,7153.094562506407
07/2004,6769.64236877524
08/2004,6767.378705192902
09/2004,6441.571158464823
10/2004,6422.83982684391
11/2004,6443.247075238058
12/2004,6608.5891470580455
01/2005,6806.511991294712
02/2005,6825.257586969661
03/2005,6865.851449416655
04/2005,6709.307677223947
05/2005,6968.17391004089
06/2005,7113.918242827154
07/2005,7192.650932180539
08/2005,7584.273774688711
09/2005,8424.547281811201
10/2005,8396.060182871
11/2005,8908.056210281653
12/2005,9688.773101121105
01/2006,9861.471776363816
02/2006,9897.808001983643
03/2006,9982.051870048497
04/2006,9885.887862270465
05/2006,9021.358895798114
06/2006,8999.120689803873
07/2006,8855.641068225676
08/2006,8932.880301826159
09/2006,8920.659548034795
10/2006,9025.441425883715
11/2006,8729.520099158402
12/2006,8929.731981382938
01/2007,9163.21005361911
02/2007,9334.121411656843
03/2007,9139.145704946448
