Data,IE00B4L60045
09/2009,10000
10/2009,10064.389034126329
11/2009,10134.700013247115
12/2009,10145.073431358971
01/2010,10266.73302095999
02/2010,10322.750379572146
03/2010,10396.044844034433
04/2010,10433.908200402868
05/2010,10383.97679455167
06/2010,10401.40529925008
07/2010,10489.124369947014
08/2010,10600.798598423842
09/2010,10587.846621272405
10/2010,10602.459111704924
11/2010,10536.582066772124
12/2010,10541.804221949262
01/2011,10491.6544641476
02/2011,10556.115729497393
03/2011,10539.38150747265
04/2011,10599.968284190678
05/2011,10675.620193998278
06/2011,10659.288491854224
07/2011,10744.651781349297
08/2011,10656.21188563189
09/2011,10551.676020056524
10/2011,10711.010165919419
11/2011,10515.571804778025
12/2011,10680.968534824677
01/2012,10924.720038305499
02/2012,11062.439097491488
03/2012,11137.845117319059
04/2012,11142.27238959498
05/2012,11122.67332833393
06/2012,11133.888772313398
07/2012,11314.57350872551
08/2012,11408.798413044624
09/2012,11487.874648764246
10/2012,11582.415532914289
11/2012,11647.617044185201
12/2012,11721.351207718337
01/2013,11634.15488456046
02/2013,11735.143876243506
03/2013,11768.791175654176
04/2013,11874.469383221269
05/2013,11886.27208009643
06/2013,11773.550729002887
07/2013,11847.378149076825
08/2013,11847.810182540383
09/2013,11900.177121216124
10/2013,11984.958638178732
11/2013,12014.539756658354
12/2013,12002.084112927623
01/2014,12077.384028896295
02/2014,12114.924193643194
03/2014,12141.477757568458
04/2014,12195.90896821543
05/2014,12253.057874748654
06/2014,12286.58494566439
07/2014,12313.425915503356
08/2014,12370.270514605096
09/2014,12398.650577481807
10/2014,12415.954580809188
11/2014,12432.982814182298
12/2014,12453.092754033367
01/2015,12489.03782495212
02/2015,12527.913377859752
03/2015,12511.454522932474
04/2015,12497.897713158623
05/2015,12504.822902648682
06/2015,12429.952489155881
07/2015,12484.378846593612
08/2015,12452.067988317907
09/2015,12404.126761244606
10/2015,12490.438900883672
11/2015,12543.827447405181
12/2015,12500.34646289728
01/2016,12519.680059009845
02/2016,12541.482516392669
03/2016,12550.886674211513
04/2016,12581.03689154197
05/2016,12603.00006652063
06/2016,12633.377334719506
07/2016,12716.237424545783
08/2016,12735.645862729762
09/2016,12732.800218457141
10/2016,12714.635303853616
11/2016,12692.122473115876
12/2016,12728.694265612596
01/2017,12707.708154952661
02/2017,12786.68248058167
03/2017,12741.276809643094
04/2017,12773.36355644029
05/2017,12799.102947919437
06/2017,12757.831153344492
07/2017,12823.831530831198
08/2017,12846.954090094598
09/2017,12837.43398337794
10/2017,12895.677159621122
11/2017,12874.969093342723
12/2017,12850.31922013151
01/2018,12840.489772448524
02/2018,12853.242344359249
03/2018,12838.141243583279
04/2018,12844.364481483122
05/2018,12830.063252303442
06/2018,12822.123516508149
07/2018,12837.192808083864
08/2018,12839.143566720468
09/2018,12824.101199102892
10/2018,12814.408057491368
11/2018,12755.13894149192
12/2018,12764.405658165657
01/2019,12817.581729597634
02/2019,12869.09939033436
03/2019,12952.763405997945
04/2019,13001.817857534665
05/2019,12976.70950277617
06/2019,13069.9784486331
07/2019,13138.352552579625
08/2019,13170.56852866812
09/2019,13110.091809839867
10/2019,13098.737131093461
11/2019,13081.589872457736
12/2019,13091.38596684203
01/2020,13143.869340183799
02/2020,13106.184510555926
03/2020,12539.974731299466
04/2020,12780.571525532172
05/2020,12822.199842470825
06/2020,12930.426821952762
07/2020,13042.174966139006
08/2020,13073.437719224457
09/2020,13085.971729149227
10/2020,13136.663432120491
11/2020,13207.571586551208
12/2020,13210.435605091063
01/2021,13210.045153528405
02/2021,13184.85874122
03/2021,13208.395577414272
04/2021,13217.917097851832
05/2021,13212.851046422775
06/2021,13228.81347286923
07/2021,13285.540821049632
08/2021,13259.996943874241
09/2021,13235.005259360994
10/2021,13169.620302559437
11/2021,13171.527966098336
12/2021,13173.91120058166
01/2022,13094.845829967393
02/2022,12921.77303455932
03/2022,12812.41915509874
04/2022,12629.587971674018
05/2022,12558.941572248143
06/2022,12282.860320088004
07/2022,12612.69033689139
08/2022,12284.15173667515
09/2022,12023.818874011153
10/2022,12016.912182539323
11/2022,12193.621943664793
12/2022,12095.059269447569
01/2023,12257.352728155292
02/2023,12153.996499238481
03/2023,12237.18898598569
04/2023,12300.152734419189
05/2023,12316.636235090376
06/2023,12258.107207567435
07/2023,12381.222921761771
08/2023,12416.953617652629
09/2023,12386.239812186926
10/2023,12441.207954061405
11/2023,12616.201298503123
12/2023,12842.120977014596
01/2024,12871.153144987007
02/2024,12795.328770917326
03/2024,12897.801894558657
04/2024,12849.636644931667
