Data,IE00B4TS3815
12/1987,10000
01/1988,11940.250682852806
02/1988,12696.05984280222
03/1988,14827.315994255658
04/1988,15352.560982617666
05/1988,16526.04679795592
06/1988,16875.682832259634
07/1988,16481.925097496973
08/1988,17684.492222363027
09/1988,20011.535157025883
10/1988,18708.044614670427
11/1988,17941.2794548403
12/1988,19128.327204012498
01/1989,17875.757381379903
02/1989,21462.971045654893
03/1989,25856.973207460072
04/1989,33398.24868499557
05/1989,35194.62068367962
06/1989,26855.48769334083
07/1989,27533.881091011477
08/1989,28398.161097877877
09/1989,32247.406359204906
10/1989,32542.83374052512
11/1989,26658.223537538237
12/1989,30059.04281969113
01/1990,29699.019798198417
02/1990,31666.884786174647
03/1990,22282.562703975847
04/1990,26899.979733851982
05/1990,28022.852803848607
06/1990,27705.55770659264
07/1990,30615.280594003576
08/1990,26066.69515398119
09/1990,24051.795493141857
10/1990,22667.632165307667
11/1990,22945.88036069125
12/1990,23462.63811092525
01/1991,26606.67652071328
02/1991,29575.381167510302
03/1991,36004.872334165295
04/1991,40858.72223926225
05/1991,49908.60869450517
06/1991,50832.75552680139
07/1991,57230.05806069691
08/1991,59752.45423843432
09/1991,57119.334834447414
10/1991,60980.64152898872
11/1991,55292.0993939587
12/1991,61341.49719942959
01/1992,71253.86321223837
02/1992,79041.26626522595
03/1992,85908.68367476764
04/1992,84718.95837282324
05/1992,84130.57882512415
06/1992,65835.74228929722
07/1992,64524.344542184816
08/1992,58313.84765025819
09/1992,58208.70565850251
10/1992,64433.97375044945
11/1992,68120.77294910791
12/1992,72700.40832978308
01/1993,73013.05154542027
02/1993,74438.6138374756
03/1993,79911.80222337421
04/1993,73312.99562876257
05/1993,75295.09264470109
06/1993,82337.12970647431
07/1993,88206.35672119484
08/1993,96479.6674300755
09/1993,94217.87402943926
10/1993,99054.14446697955
11/1993,108329.42437832376
12/1993,121955.11266173988
01/1994,143890.56793897046
02/1994,139116.54734684486
03/1994,126926.02827086856
04/1994,117516.19224806884
05/1994,121724.42908853636
06/1994,112017.19212877406
07/1994,118798.44503526243
08/1994,138220.27466975566
09/1994,142535.64586792156
10/1994,132833.2354384886
11/1994,130897.02604477738
12/1994,113553.4443894534
01/1995,99028.91141124709
02/1995,83706.89096141761
