Data,IE00B4WXJD03
12/1978,10000
01/1979,10855.53834331555
02/1979,10869.942903727837
03/1979,11043.210934839868
04/1979,10988.949931946216
05/1979,11504.113545508615
06/1979,11071.609395533897
07/1979,11246.368903788016
08/1979,12069.777610528721
09/1979,13167.617666004593
10/1979,12930.570882005855
11/1979,13194.728011147407
12/1979,14573.177013180835
01/1980,16506.364854767042
02/1980,16973.00868432664
03/1980,14810.075812710256
04/1980,16410.362347004277
05/1980,17380.009672475007
06/1980,18956.095391870924
07/1980,19478.00117248641
08/1980,21038.412004736903
09/1980,21388.07893782761
10/1980,24715.444565683723
11/1980,24983.641774456413
12/1980,25868.688391597607
01/1981,25390.187264345983
02/1981,26279.728780847985
03/1981,26837.36865588843
04/1981,28017.676317771035
05/1981,31015.261329402078
06/1981,32637.272554179734
07/1981,30288.694455587127
08/1981,29396.36011750622
09/1981,23931.540831874292
10/1981,23012.58497475585
11/1981,26038.693007417423
12/1981,25935.712581202926
01/1982,24768.079925605714
02/1982,22779.7279802754
03/1982,21755.11742847782
04/1982,24867.231791874758
05/1982,24609.79045260637
06/1982,23303.23569250423
07/1982,22346.343801624353
08/1982,21410.375482511816
09/1982,21050.652003630843
10/1982,20407.68721399168
11/1982,20453.578509981184
12/1982,21019.009822345
01/1983,22976.778235251753
02/1983,23904.255448231786
03/1983,23358.998589123195
04/1983,25929.327141471877
05/1983,25808.928160662283
06/1983,26735.225704904467
07/1983,28682.190641590714
08/1983,29430.020094527783
09/1983,28340.83422532958
10/1983,28303.44973979867
11/1983,30439.08923013264
12/1983,32538.66241334907
01/1984,35047.34303929961
02/1984,32774.62593607708
03/1984,31776.763632919476
04/1984,32303.977697037368
05/1984,29410.106061592647
06/1984,28473.882720951136
07/1984,29148.650116471104
08/1984,31845.215847010368
09/1984,33316.547169541336
10/1984,34014.88380786455
11/1984,33741.44949467225
12/1984,34307.19223566037
01/1985,37757.63507495414
02/1985,37233.57665041232
03/1985,37764.22885141557
04/1985,35717.065571755775
05/1985,37211.89131637949
06/1985,36070.37514812808
07/1985,37841.47597974289
08/1985,35253.47373563479
09/1985,36912.65752520658
10/1985,36096.20326146467
11/1985,34110.35156055452
12/1985,32951.786831307356
01/1986,34070.44998890736
02/1986,31932.096074475012
03/1986,32036.738756693638
04/1986,35034.61368921601
05/1986,34759.39536942894
06/1986,33458.897993228115
07/1986,30609.536763967975
08/1986,31777.186963261887
09/1986,33454.201202141274
10/1986,37923.38995650779
11/1986,38444.43919767994
12/1986,40648.18418316211
01/1987,39299.30067715052
02/1987,43630.84788685503
03/1987,44971.04803578081
04/1987,45433.96756245975
05/1987,48040.26948944156
06/1987,50911.03537539225
07/1987,57163.46401446413
08/1987,61138.08039465732
09/1987,61856.459097962324
10/1987,34640.118298067
11/1987,33923.16467784514
12/1987,34737.69229668003
01/1988,34750.11322196219
02/1988,35591.41945209218
03/1988,39349.35082320187
