Data,IE00B4X9L533
12/1978,10000
01/1979,10397.68090525051
02/1979,10246.317347625103
03/1979,10671.308495014431
04/1979,10773.213983805457
05/1979,10702.27886157893
06/1979,10881.794324757511
07/1979,10569.408975871338
08/1979,11025.62468937527
09/1979,11149.975432484067
10/1979,10363.24226209122
11/1979,10637.162546757865
12/1979,10674.953448252683
01/1980,11204.57209058386
02/1980,11312.32783131051
03/1980,10629.081480603478
04/1980,11458.793846789746
05/1980,11500.341855305584
06/1980,11872.973345974078
07/1980,12083.9782857744
08/1980,12562.504185666305
09/1980,12906.975015208125
10/1980,13614.998193685986
11/1980,14679.221609705122
12/1980,14808.981838408723
01/1981,14418.66959960161
02/1981,15442.925698857842
03/1981,15999.793478543299
04/1981,16429.921591668106
05/1981,17090.158132989607
06/1981,17710.784987905983
07/1981,17938.813836315672
08/1981,18059.303638460562
09/1981,15940.197158246516
10/1981,15938.911483317668
11/1981,16936.600110950603
12/1981,16801.6900436073
01/1982,16804.265369845292
02/1982,16309.15309984959
03/1982,16149.930143109319
04/1982,17200.604378764034
05/1982,16190.895730497597
06/1982,16353.143052482563
07/1982,16485.259779323143
08/1982,17785.397070616586
09/1982,18031.09640849195
10/1982,19493.821415864015
11/1982,20865.343402369566
12/1982,20899.795456162214
01/1983,21190.451273407827
02/1983,22027.482505005562
03/1983,22912.307900461787
04/1983,24896.408203552444
05/1983,24800.70717871775
06/1983,26357.64058069588
07/1983,26232.891599005416
08/1983,27223.127846515516
09/1983,27785.975187761276
10/1983,27001.0646726449
11/1983,28432.844932375945
12/1983,29519.982935291835
01/1984,30426.036037160804
02/1984,28999.528357073556
03/1984,29275.911229033376
04/1984,29678.60029365297
05/1984,28466.101972639568
06/1984,28700.191510126406
07/1984,28729.17532614764
08/1984,31961.3757947026
09/1984,33337.3927976969
10/1984,34298.26525809617
11/1984,33268.008886993935
12/1984,35295.703588696335
01/1985,38142.8354390406
02/1985,39631.441727159574
03/1985,41089.178592087614
04/1985,38131.220539087735
05/1985,40360.13119816025
06/1985,40353.41308886443
07/1985,39166.58253671172
08/1985,38121.913811835264
09/1985,39018.407856406564
10/1985,38581.430248621764
11/1985,39939.884818912025
12/1985,40813.153415628636
01/1986,40551.70928072615
02/1986,42456.34031578937
03/1986,45310.093013716
04/1986,46789.23732834107
05/1986,45830.014158189864
06/1986,47849.54350533206
07/1986,46808.86704012739
08/1986,49360.85923994271
09/1986,47017.00439960377
10/1986,45685.04977036548
11/1986,48094.68709627435
12/1986,48344.495884062446
01/1987,50771.14858451815
02/1987,51508.19413319208
03/1987,54596.82263238688
04/1987,57033.25053369452
05/1987,56409.057145684914
06/1987,57374.64294970511
07/1987,59354.306620532894
08/1987,63337.643169011906
09/1987,60598.91019963494
10/1987,49930.51590032521
11/1987,45758.300772099836
12/1987,46276.44105456569
01/1988,47889.768020834315
02/1988,52118.8859344534
03/1988,52949.498614185315
04/1988,53281.20207402669
05/1988,52714.02866086565
06/1988,54579.72895049513
07/1988,58389.9733437086
08/1988,56399.96581940061
09/1988,58346.24764641114
10/1988,60671.0282703779
11/1988,60276.78394106453
12/1988,60865.242339176235
01/1989,65545.92742809573
02/1989,65919.20905497133
03/1989,65910.5736383143
04/1989,67781.94114515548
05/1989,68935.07532709846
06/1989,69360.52110219703
07/1989,73806.94053795852
08/1989,73109.10181280847
09/1989,76299.54081178913
10/1989,70952.00148677819
11/1989,72702.17378838506
12/1989,71925.6923457028
01/1990,66532.73412098283
02/1990,62812.21160706286
03/1990,60027.9279532008
04/1990,58380.58171439192
05/1990,63450.675621530245
06/1990,63398.88185375153
07/1990,62019.75166363158
08/1990,53716.03547117017
09/1990,48107.09607467121
10/1990,51032.925533453155
11/1990,49178.31981031997
12/1990,50777.85904426993
01/1991,52741.47581853268
02/1991,56641.34866590912
03/1991,59808.3946401645
04/1991,63462.22968978555
05/1991,65740.89304355696
06/1991,63954.43211684682
07/1991,67033.48530521644
08/1991,65321.713673007005
09/1991,65157.387940782755
10/1991,66098.62686856775
11/1991,60826.25441234511
12/1991,63155.492605138796
01/1992,62396.40458261096
02/1992,62646.79928948498
03/1992,61263.991580352274
04/1992,61530.32805468874
05/1992,62728.03134109536
06/1992,58864.98003264064
07/1992,56182.207676911006
08/1992,56072.26294199966
09/1992,56816.295177924156
10/1992,57550.634397046124
11/1992,62391.50447471521
12/1992,62827.65837903563
01/1993,64241.87155575388
02/1993,67374.49054156899
03/1993,71603.23728659931
04/1993,72344.5487568553
05/1993,74166.0472241095
06/1993,75661.17391796215
07/1993,80465.08574358877
08/1993,84766.4316808224
09/1993,79862.37847808425
10/1993,82997.04840309119
11/1993,80374.63992699696
12/1993,84240.51165549213
01/1994,90983.79591752529
02/1994,89429.54067277008
03/1994,83774.0559893463
04/1994,86583.99085440306
05/1994,84911.04518003258
06/1994,83270.56395420687
07/1994,82209.58524767697
08/1994,84753.60582690316
09/1994,81613.24392781175
10/1994,82302.0539750895
11/1994,79874.49980220252
12/1994,82268.28337461078
01/1995,79347.63634311051
02/1995,79594.23578252703
03/1995,80160.21550581757
04/1995,81338.52599719682
05/1995,83272.93826552699
06/1995,82523.79389351215
07/1995,85617.20194537475
08/1995,86214.59935723241
09/1995,89834.35626146782
10/1995,87014.2122324013
11/1995,90200.16837261702
12/1995,94276.98258405161
01/1996,97116.26403742011
02/1996,98236.94916030671
03/1996,99775.3210746057
04/1996,102959.07589869383
05/1996,104264.36504421897
06/1996,103945.15382914314
07/1996,98714.48282709927
08/1996,98911.24186982977
09/1996,103641.77217081662
10/1996,104656.39902017626
11/1996,109069.23708347234
12/1996,109663.27009367562
01/1997,113968.74515898808
02/1997,120265.5875918228
03/1997,119217.33032065321
04/1997,123746.28361349006
05/1997,130944.08326847211
06/1997,138980.38815567613
07/1997,149385.65706719295
08/1997,143325.54827279135
09/1997,147107.31082969296
10/1997,136793.56691224547
11/1997,136309.34166504518
12/1997,141652.69038234113
01/1998,148907.4875131808
02/1998,158587.28918739368
03/1998,165848.78293369588
04/1998,166289.88575375106
05/1998,161659.6563992042
06/1998,166653.18387645856
07/1998,166733.82218730828
08/1998,143864.40370850157
09/1998,139536.92754176646
10/1998,146489.86820972085
11/1998,159650.47204001097
12/1998,166337.83773908383
01/1999,175488.87648078921
02/1999,176447.337834232
03/1999,188467.74122493944
04/1999,198527.51281390528
05/1999,193800.5103932766
06/1999,205301.80096271
07/1999,197628.17693005956
08/1999,199482.68035200605
09/1999,195792.45732970504
10/1999,210095.18619626982
11/1999,223567.1406213032
12/1999,242833.97527303654
01/2000,234831.02053047027
02/2000,237273.0646624919
03/2000,257888.69768746238
04/2000,259644.27427833783
05/2000,247077.922592395
06/2000,248575.0663061442
07/2000,249696.23681019474
08/2000,267510.9325919024
09/2000,257295.85908390282
10/2000,263379.5061176399
11/2000,239717.7233177111
12/2000,227278.56652615767
01/2001,231925.90709535292
02/2001,213303.7719453279
