Data,IE00B52MJY50
12/1978,10000
01/1979,10858.871676648883
02/1979,10876.900284059808
03/1979,11053.9048499728
04/1979,11003.275937297049
05/1979,11522.778914775068
06/1979,11093.413955188236
07/1979,11272.21544155494
08/1979,12101.273921052185
09/1979,13206.012568669204
10/1979,12972.676594110186
11/1979,13242.018121480152
12/1979,14629.821512208357
01/1980,16575.400071081007
02/1980,17049.520696765216
03/1980,14882.520791791489
04/1980,16495.596129282716
05/1980,17475.77823811619
06/1980,19066.37387657222
07/1980,19597.671340563946
08/1980,21174.201680093523
09/1980,21533.18355984254
10/1980,24890.300992126977
11/1980,25168.692405160746
12/1980,26068.684013231185
01/1981,25595.173066469368
02/1981,26500.42795507856
03/1981,27071.584408466533
04/1981,28271.21674226119
05/1981,31305.351545933434
06/1981,32952.96879302957
07/1981,30592.657516353145
08/1981,29701.56568396881
09/1981,24189.908832283912
10/1981,23269.09511219148
11/1981,26336.690070286193
12/1981,26241.309992186554
01/1982,25068.666363468023
02/1982,23064.539919175164
03/1982,22034.806976560365
04/1982,25194.276441626116
05/1982,24941.84742107679
06/1982,23625.977422511172
07/1982,22663.70823671405
08/1982,21722.00179539968
09/1982,21364.283237149015
10/1982,20718.860417096817
11/1982,20772.357743151406
12/1982,21353.52570407549
01/1983,23349.56968859603
02/1983,24299.878135833857
03/1983,23753.6970694863
04/1983,26375.374525392657
05/1983,26261.696181289713
06/1983,27212.997733640048
07/1983,29203.826919418254
08/1983,29974.99158029088
09/1983,28875.628335329202
10/1983,28847.16361061375
11/1983,31033.444803953123
12/1983,33184.35886700914
01/1984,35753.883145409745
02/1984,33447.266955664665
03/1984,32440.07438901049
04/1984,32989.10692063708
05/1984,30044.85605375582
06/1984,29098.44142184665
07/1984,29797.708943473717
08/1984,32564.25221257037
09/1984,34079.65962532576
10/1984,34805.35148681202
11/1984,34537.164651253916
12/1984,35127.761533124525
01/1985,38672.4423111265
02/1985,38148.57760146603
03/1985,38704.98657053405
04/1985,36619.72736311726
05/1985,38164.537761397485
06/1985,37006.51961611346
07/1985,38835.921826231206
08/1985,36192.85411509009
09/1985,37908.31356863473
10/1985,37082.47294675983
11/1985,35054.721922140496
12/1985,33875.766377077845
01/1986,35037.08916021584
02/1986,32849.74537748536
03/1986,32968.34514617801
04/1986,36064.385673918834
05/1986,35793.09932721329
06/1986,34465.857705953465
07/1986,31542.232362367387
08/1986,32755.975818563624
09/1986,34495.563472308626
10/1986,39115.367641371064
11/1986,39665.83254175133
12/1986,41952.81322407825
01/1987,40574.6207245068
02/1987,45060.25787885414
03/1987,46459.38501853133
04/1987,46953.11153601655
05/1987,49662.20960499758
06/1987,52646.452629781
07/1987,59129.55819235731
08/1987,63260.58835425381
09/1987,64024.99360614866
10/1987,35875.85685813191
11/1987,35145.28552289465
12/1987,36000.872526898595
01/1988,36025.74540996522
02/1988,36909.94349701959
03/1988,40819.39496432098
04/1988,42548.36105197197
05/1988,46014.27824640236
06/1988,48564.59242248782
07/1988,53075.49924793956
08/1988,51334.67892075164
09/1988,50096.83468801349
10/1988,52076.129839256166
11/1988,49805.85521892656
12/1988,50122.5429001225
01/1989,57559.05689817869
