Data,IE00B52VJ196
05/2012,10000
06/2012,10765.772677257084
07/2012,11184.961280995245
08/2012,11433.930335943953
09/2012,11484.933609796532
10/2012,11599.71521940141
11/2012,11924.308818888796
12/2012,12142.185732242911
01/2013,12556.457854201084
02/2013,12618.67418486497
03/2013,12921.61948996094
04/2013,13218.459578933063
05/2013,13381.107747090373
06/2013,12784.579491204202
07/2013,13614.665870285802
08/2013,13444.31944210139
09/2013,14224.33757742887
10/2013,14753.532685738244
11/2013,15053.20238862407
12/2013,15237.352001823467
01/2014,14832.167479908006
02/2014,15623.506878654247
03/2014,15431.253775971076
04/2014,15539.921120646724
05/2014,15949.093616589887
06/2014,15921.090624633982
07/2014,15750.03914108033
08/2014,16033.750047687967
09/2014,16170.016201575487
10/2014,15826.561105098212
11/2014,16386.352198370223
12/2014,16274.914831268998
01/2015,17554.699664327105
02/2015,18784.361924705794
03/2015,19323.924459704664
04/2015,19362.86925006317
05/2015,19579.40301814452
06/2015,18650.991191943947
07/2015,19764.72368470306
08/2015,17969.24873059809
09/2015,17354.04303980572
10/2015,19089.30969671377
11/2015,19590.96522817935
12/2015,18643.49189475101
01/2016,17660.02136400246
02/2016,17380.323844279515
03/2016,17744.42437773616
04/2016,18004.35686350984
05/2016,18626.500879991647
06/2016,17627.551477066336
07/2016,18340.287570514683
08/2016,18282.4568818715
09/2016,18339.227617957855
10/2016,17838.171773915717
11/2016,17821.20106736061
12/2016,18804.669567682038
01/2017,18709.67656427853
02/2017,19368.543592688948
03/2017,20111.6311447729
04/2017,20520.549566732712
05/2017,20910.680238713878
06/2017,20346.927480642946
07/2017,20572.880505656827
08/2017,20455.785301509142
09/2017,20956.774645782636
10/2017,21360.118723991385
11/2017,21068.089531406393
12/2017,20978.883212784855
01/2018,21182.33004723061
02/2018,20368.05449048439
03/2018,19916.648463461253
04/2018,20913.98936160863
05/2018,20740.011262178326
06/2018,20658.8598339822
07/2018,21156.66687732897
08/2018,21010.701423328526
09/2018,21042.210048257697
10/2018,19857.41325896993
11/2018,20020.36602179365
12/2018,18964.136235050264
01/2019,19938.537487014557
02/2019,20747.420047855478
03/2019,21349.256771456472
04/2019,22269.548380115673
05/2019,21457.115559637674
06/2019,22456.226226997933
07/2019,22450.462839515378
08/2019,22428.912954641823
09/2019,23402.531182055012
10/2019,23803.3335803447
11/2019,24609.394364700318
12/2019,24883.894117500433
01/2020,24854.375276535146
02/2020,22933.175629982186
03/2020,20212.51464366856
04/2020,21779.156129636012
05/2020,22388.529002985902
06/2020,23196.514821059776
07/2020,22976.53078527129
08/2020,23761.824105359454
09/2020,23653.056152116264
10/2020,22207.267201290073
11/2020,25095.194340930757
12/2020,25724.283966082585
01/2021,25574.098247300702
02/2021,26110.040516383437
03/2021,27624.852126119207
04/2021,28102.47968926104
05/2021,28817.807616697304
06/2021,29555.285868167666
07/2021,30498.394887732346
08/2021,31538.339894806446
09/2021,30214.906643378104
10/2021,31483.052334294232
11/2021,30577.732025401423
12/2021,32748.36500110039
01/2022,30865.865883591876
02/2022,29567.22057690356
03/2022,30057.900110915798
04/2022,29559.88223949964
05/2022,28502.532180930986
06/2022,26960.09847715145
07/2022,29122.0529599737
08/2022,27513.97439415849
09/2022,25509.310310282246
10/2022,26570.8606165401
11/2022,28297.772451898938
12/2022,27559.434228674494
01/2023,29597.617802879537
02/2023,29949.215899367155
03/2023,30360.781146332643
04/2023,31291.414681772752
05/2023,30109.05031228329
06/2023,30777.060798339277
07/2023,31158.053770199575
08/2023,30301.989635483726
09/2023,29549.961333353083
10/2023,28640.371994916048
11/2023,30987.546060670986
12/2023,32147.936035573162
01/2024,33020.354124212114
02/2024,33709.43624833169
03/2024,34580.824427527725
04/2024,33817.25922781538
