Data,IE00B53L4X51
12/1997,10000
01/1998,11287.250549145669
02/1998,11691.046321641179
03/1998,14148.578610157168
04/1998,13416.2252315749
05/1998,14126.802330675235
06/1998,13797.336961203642
07/1998,15182.360322837267
08/1998,13064.03640388238
09/1998,11545.683770525877
10/1998,12284.690763639936
11/1998,13768.280652497568
12/1998,14662.83796583466
01/1999,14766.456701245053
02/1999,15032.452579119456
03/1999,15981.733375246611
04/1999,16019.171625110741
05/1999,15451.186716399026
06/1999,15360.33593010628
07/1999,14293.275928422436
08/1999,14776.832734990006
09/1999,14802.605343452187
10/1999,14361.032125286298
11/1999,15242.777815734355
12/1999,17869.153912374284
01/2000,17385.346307978947
02/2000,20321.658992712742
03/2000,19022.13401741116
04/2000,18837.21382827685
05/2000,19174.440981972166
06/2000,19792.27254813691
07/2000,19776.910851672983
08/2000,20551.917446216008
09/2000,19386.31665558439
10/2000,20252.18224650937
11/2000,19749.200237155106
12/2000,18623.424530203087
01/2001,19217.42819190555
02/2001,17065.76489185694
03/2001,16618.665948867103
04/2001,17578.801515187453
05/2001,16797.4577651987
06/2001,16158.95301745088
07/2001,15804.536514170568
08/2001,14993.707496660669
09/2001,12548.105156826297
10/2001,13234.085934554347
11/2001,13791.331161699876
12/2001,13974.121705817635
01/2002,13907.11443034325
02/2002,13751.344285120906
03/2002,14560.349969152861
04/2002,14081.028284093845
05/2002,13204.66903844361
06/2002,12449.050674710961
07/2002,11206.138813155541
08/2002,11318.300813164351
09/2002,9421.582014783293
10/2002,10427.005968887743
11/2002,11473.238495186024
12/2002,10450.764645390022
01/2003,10015.105238297376
02/2003,10344.712099856824
03/2003,9597.691524118221
04/2003,10624.994432926609
05/2003,11226.321673369104
06/2003,11270.291682967154
07/2003,11483.841898718132
08/2003,11532.776745447589
09/2003,11241.696574046253
10/2003,11858.281965965514
11/2003,12395.19844581834
12/2003,12268.823537145068
01/2004,12670.18087617703
02/2004,12750.485196107054
03/2004,12377.690809213304
04/2004,12791.22659218974
05/2004,12746.021717533296
06/2004,13251.372811233812
07/2004,12986.336134268122
