Data,IE00B58ZM503
03/2005,10000
04/2005,9414.986505756839
05/2005,9340.623297066388
06/2005,9496.129630541267
07/2005,9920.461486124412
08/2005,10667.684491023334
09/2005,11162.42045390178
10/2005,10459.220246224817
11/2005,10484.294337483927
12/2005,10817.059893240028
01/2006,11015.409180689438
02/2006,10323.927638462783
03/2006,10552.166660722422
04/2006,11265.66472650471
05/2006,11371.755331774171
06/2006,11193.23727629219
07/2006,11550.81482491588
08/2006,11132.794156570708
09/2006,10460.66891030669
10/2006,10955.11672480257
11/2006,11552.61901053002
12/2006,11020.086803259885
01/2007,11041.50372068863
02/2007,11411.688682800677
03/2007,11521.09387440835
04/2007,11652.562916990995
05/2007,11665.798746686569
06/2007,11500.894176697764
07/2007,11737.835172774818
08/2007,11309.707193193306
09/2007,12213.239834044849
10/2007,12618.168756426672
11/2007,12220.582949961105
12/2007,12784.78230312039
01/2008,13322.886112757422
02/2008,14957.375241655225
03/2008,14006.382897077989
04/2008,14503.080246116062
05/2008,14897.404487926466
06/2008,16250.627988676635
07/2008,14321.538755038915
08/2008,13276.235165541673
09/2008,11743.605325560227
10/2008,9242.272990439424
11/2008,8597.707733791236
12/2008,8210.690812727486
01/2009,7768.215165885012
02/2009,7422.702096643623
03/2009,7688.869919467605
04/2009,7743.908277710102
05/2009,8749.886325850572
06/2009,8581.879673741825
07/2009,8857.828887723392
08/2009,8804.744671610708
09/2009,8941.961247463963
10/2009,9233.781722229613
11/2009,9557.273431356347
12/2009,9744.909477043251
01/2010,9033.992393583076
02/2010,9368.175090528313
03/2010,9250.186956423582
04/2010,9428.682999127866
05/2010,8774.411006217397
06/2010,8800.913522483941
07/2010,9395.613129765125
08/2010,9155.026533160066
09/2010,9818.484703986369
10/2010,10306.129603970583
11/2010,10267.917885692223
12/2010,11363.863516035954
01/2011,11475.950148024525
02/2011,11625.260758348551
03/2011,11863.654591111244
04/2011,12272.548257112938
05/2011,11649.66845897952
06/2011,11060.398896512825
07/2011,11386.061639306728
08/2011,11498.018574774238
09/2011,9801.896007800722
10/2011,10449.282765451399
11/2011,10215.700186647022
12/2011,9831.30683958422
01/2012,10072.72597815061
02/2012,10342.916090015442
03/2012,9913.509018454539
04/2012,9869.899124690706
05/2012,8967.220019782448
