Data,IE00B5BD5K76
12/1978,10000
01/1979,10184.386808029038
02/1979,10416.199468032504
03/1979,11080.18457601479
04/1979,11353.90434476264
05/1979,10900.469246044475
06/1979,11086.348274791922
07/1979,10847.086272035498
08/1979,11206.512364261198
09/1979,11643.743408960572
10/1979,10640.537088000454
11/1979,11033.59636608701
12/1979,10810.600262047106
01/1980,11230.402004919295
02/1980,11468.740731470103
03/1980,10347.458731067978
04/1980,11527.758966233334
05/1980,11314.98443586285
06/1980,11939.843431959916
07/1980,11963.16544713216
08/1980,12299.136208119815
09/1980,12464.481868914521
10/1980,13220.78909323625
11/1980,13505.601639275112
12/1980,13360.294696533027
01/1981,12874.963537325595
02/1981,13615.568477671535
03/1981,13880.798525464203
04/1981,14095.57597162707
05/1981,13751.11821938211
06/1981,13932.902872764394
07/1981,13945.563941781144
08/1981,14722.282253332145
09/1981,12726.25430530496
10/1981,12830.419129454409
11/1981,14236.386441053257
12/1981,13943.206999599503
01/1982,14358.506283213843
02/1982,14255.42273205004
03/1982,14467.680368631834
04/1982,15133.468334804724
05/1982,14598.410425874139
06/1982,14191.305994249402
07/1982,14793.928259817774
08/1982,14967.932467778646
09/1982,15445.986440754921
10/1982,15816.686888121418
11/1982,16333.42260015086
12/1982,16444.74039819519
01/1983,16353.74748789006
02/1983,17296.434896712766
03/1983,18255.48516549291
04/1983,20026.630351441927
05/1983,19940.372352010796
06/1983,20914.600422167532
07/1983,20903.187257544392
08/1983,21110.30861016293
09/1983,21488.08202180689
10/1983,21117.32424950962
11/1983,22318.3138213771
12/1983,23053.265251885947
01/1984,24516.800404176753
02/1984,24431.289768375198
03/1984,24178.576597551855
04/1984,24272.949678472836
05/1984,23336.667284145784
06/1984,23289.101588948717
07/1984,22577.90910178557
08/1984,24763.89678830389
09/1984,25544.456125487934
10/1984,26067.506398977566
11/1984,25311.522020499513
12/1984,26498.024857728713
01/1985,28394.85656580591
02/1985,28225.46676181345
03/1985,31555.482550420827
