Data,IE00B5L01S80
12/1989,10000
01/1990,9524.020691271164
02/1990,9055.908652240787
03/1990,8238.80561421865
04/1990,8146.806117616093
05/1990,8798.627635875982
06/1990,8746.779727048228
07/1990,8424.364858274734
08/1990,7520.142637262477
09/1990,6634.518705274133
10/1990,6967.764912636048
11/1990,6677.369237676353
12/1990,6767.409832176712
01/1991,7038.550817118728
02/1991,7711.228071899993
03/1991,8340.079665326808
04/1991,8437.862397228566
05/1991,8148.977459680212
06/1991,8153.751650857215
07/1991,8433.031385051623
08/1991,8237.823693588776
09/1991,8188.09555798777
10/1991,8289.16370490493
11/1991,7777.817972999123
12/1991,7600.535565730472
01/1992,7732.794018786208
02/1992,7683.070353101777
03/1992,7392.989547899155
04/1992,7454.854010847322
05/1992,8119.308117325592
06/1992,7347.891553867183
07/1992,6791.379633006707
08/1992,6443.583352029202
09/1992,6497.1304022060185
10/1992,7089.659058556144
11/1992,7140.860580038191
12/1992,7142.450826435505
01/1993,7249.744788096634
02/1993,8070.677208171953
03/1993,8442.39220890939
04/1993,8878.069743253116
05/1993,9393.394334085968
06/1993,9716.956517896426
07/1993,10265.287746545004
08/1993,10458.035488072526
09/1993,10302.9853633921
10/1993,11482.784804955563
11/1993,11140.7741892463
12/1993,13192.962557569861
01/1994,13469.879941870593
02/1994,12870.971683611044
03/1994,11778.237372396585
04/1994,11653.945469905986
05/1994,11925.349184229099
06/1994,11063.530493001377
07/1994,11404.82510242883
08/1994,11574.005435477286
09/1994,11209.124028173852
10/1994,10925.626601956772
11/1994,10407.42061175076
12/1994,10283.707977374354
01/1995,9792.868835468666
02/1995,9964.720011737785
03/1995,9793.259567400684
04/1995,9851.447310950261
05/1995,10440.91653922209
06/1995,10283.994034083024
07/1995,10603.741840710094
08/1995,10968.436937036118
09/1995,11068.877815148784
10/1995,10926.402878604198
11/1995,11412.323710985986
12/1995,11734.45959642455
01/1996,13115.70920036397
02/1996,12831.761867825177
03/1996,12786.092658613883
04/1996,13318.432089532684
05/1996,13363.772239342754
06/1996,13369.567829898899
07/1996,12757.623245373625
08/1996,13264.334423283806
09/1996,14065.009407735055
10/1996,14205.942665744838
11/1996,15245.507767052837
12/1996,15730.266756150557
01/1997,16604.182095890625
02/1997,17308.038190228635
03/1997,16424.27266238743
04/1997,16948.158149178475
05/1997,18038.222115684846
06/1997,18296.19386985014
07/1997,19666.41325539821
08/1997,19314.230426885693
09/1997,19648.40450907049
10/1997,16386.00161038075
11/1997,16386.06739822373
12/1997,16437.471432604274
01/1998,16131.103065849788
02/1998,17117.10471947976
03/1998,17315.43622140736
04/1998,16374.598547358297
05/1998,15571.821387007558
06/1998,15230.136017945528
07/1998,14178.838006927976
08/1998,12448.5591966683
09/1998,12611.127255703483
10/1998,13686.506154510938
11/1998,14460.137284577708
12/1998,14097.708735290047
01/1999,14156.62287397259
02/1999,14504.16961662531
03/1999,15283.731619728715
04/1999,17088.042970427752
05/1999,16951.577759410124
06/1999,17456.582431875333
07/1999,16633.16391229083
08/1999,16674.40640443545
09/1999,15793.01245421316
10/1999,15783.03984096596
11/1999,16935.227780696725
12/1999,17794.931328411953
01/2000,18142.762919444645
02/2000,17525.481329851544
03/2000,18784.720619112282
04/2000,19794.973652921053
05/2000,18653.28863080843
06/2000,19482.22910915201
07/2000,20998.822024706373
08/2000,22495.441333840434
09/2000,22520.42327254396
10/2000,22307.275614425776
11/2000,22070.145882741406
12/2000,22251.26983035411
01/2001,22798.118250105304
02/2001,22950.17055806399
03/2001,22532.452466032137
04/2001,22873.425447527738
05/2001,24174.133434942614
06/2001,24667.406361945945
07/2001,23505.066286264373
08/2001,23034.437029681354
09/2001,20740.268515376498
10/2001,20912.898506772457
11/2001,22047.488687669058
12/2001,22807.120800219498
01/2002,23175.029286480923
02/2002,23301.963810394675
03/2002,24313.95292348113
04/2002,24217.485847841308
05/2002,24055.13939007563
06/2002,22651.189709213588
07/2002,21642.518746933274
08/2002,21313.867077369305
09/2002,20303.688588689045
10/2002,19980.104580113395
11/2002,20636.949550463192
12/2002,19651.580106011395
01/2003,18795.238173737358
02/2003,18807.78046063456
03/2003,18552.35265217873
04/2003,18890.973195262606
05/2003,19276.954111657036
06/2003,20155.235279110086
07/2003,21358.45920651529
