Data,IE00B5L8K969
12/1987,10000
01/1988,10798.346990389478
02/1988,11089.01731381298
03/1988,11543.040692701787
04/1988,12539.209807546156
05/1988,12957.902250901612
06/1988,14869.260243286679
07/1988,15793.54210531464
08/1988,14754.052676561596
09/1988,14880.060194560678
10/1988,14703.922943840707
11/1988,13947.464368423547
12/1988,14061.018320955263
01/1989,15886.496568348794
02/1989,16006.433960560315
03/1989,16598.817132705135
04/1989,18649.896060316998
05/1989,19835.45554462315
06/1989,20633.675710983287
07/1989,20739.12423089178
08/1989,21514.78578077146
09/1989,23028.767319161565
10/1989,21847.82394117071
11/1989,23244.913321968594
12/1989,24041.75697097089
01/1990,23424.616991340685
02/1990,23497.11814279624
03/1990,23837.866759755903
04/1990,22024.39036172898
05/1990,24323.818785867355
06/1990,24768.382017868174
07/1990,25903.963866999256
08/1990,20758.760890061603
09/1990,16778.48326102417
10/1990,16813.673689111183
11/1990,15280.478538366235
12/1990,16862.744101752178
01/1991,17402.045612468766
02/1991,19326.75351000861
03/1991,22198.821450756543
04/1991,23190.511582189763
05/1991,23139.603399010382
06/1991,22773.553455677007
07/1991,22267.946073466643
08/1991,20557.831588793448
09/1991,18808.46340598486
10/1991,18935.8254145986
11/1991,18908.5524215739
12/1991,19478.345034968734
01/1992,21037.495963554076
02/1992,21863.85784071671
03/1992,22356.892638001234
04/1992,21976.640169433533
05/1992,21074.300999966654
06/1992,21274.382985468816
07/1992,20088.43578606025
08/1992,19275.21616089552
09/1992,20925.450843030205
10/1992,23587.19647819422
11/1992,24741.486514199503
12/1992,24301.10732971489
01/1993,25275.947131786506
02/1993,26612.948383001174
03/1993,26674.884693352447
04/1993,28618.595957987025
05/1993,29472.303907045985
06/1993,29970.38145180692
07/1993,32295.213144458812
08/1993,34770.5022452516
09/1993,35293.0436884213
10/1993,41629.826806053425
11/1993,43514.56969979432
12/1993,53110.332411989344
01/1994,48570.32022223004
02/1994,48325.29017487444
03/1994,42138.47314836288
04/1994,43844.98051107038
05/1994,43801.052861716504
06/1994,42977.77801356517
07/1994,43160.491172645285
08/1994,47459.34423765082
09/1994,46168.342274361945
10/1994,45767.4304498915
11/1994,42796.57653933636
12/1994,42239.28006592795
01/1995,37258.59229400065
02/1995,39017.87805335142
03/1995,36805.22682779655
04/1995,35562.36218143597
05/1995,39993.70928029752
06/1995,39389.9392858299
07/1995,39629.39655279296
08/1995,38796.941255190904
09/1995,38760.732001990924
10/1995,36902.72474621658
11/1995,35213.98697433901
12/1995,37780.167791860775
01/1996,39892.81731801149
02/1996,41193.0759803034
03/1996,41924.01456355646
04/1996,44943.116006829725
05/1996,44535.01578060507
06/1996,43653.70280201591
07/1996,39235.68543261696
08/1996,39869.99268106326
09/1996,40228.69495138817
10/1996,38781.243095588165
11/1996,39323.80267490517
12/1996,39840.98102364815
01/1997,42438.09758433441
02/1997,45217.035271551635
03/1997,43755.71612432393
04/1997,42903.741359040454
05/1997,42932.14847134975
06/1997,44991.858284584
07/1997,45477.5009256634
