Data,IE00B5SG8Z57
12/1978,10000
01/1979,10859.28834331555
02/1979,10877.770112851305
03/1979,11055.24207429086
04/1979,11005.067671968769
05/1979,11525.113787966946
06/1979,11096.142038767059
07/1979,11275.449835105373
08/1979,12105.216010937582
09/1979,13210.818920290014
10/1979,12977.948473478891
11/1979,13247.940204605718
12/1979,14636.91624499429
01/1980,16584.04818381146
02/1980,17059.107181014846
03/1980,14891.599626750622
04/1980,16506.279477413886
05/1980,17487.784161367228
06/1980,19080.20120248909
07/1980,19612.678982696827
08/1980,21191.23380363842
09/1980,21551.38740963249
10/1980,24912.24087613833
11/1980,25191.915690990474
12/1980,26093.78738923976
01/1981,25620.90770650368
02/1981,26528.140320516504
03/1981,27100.999390093963
04/1981,28303.064408288883
05/1981,31341.796474232397
06/1981,32992.6377454111
07/1981,30630.859807186636
08/1981,29739.931518155914
09/1981,24222.39436341448
10/1981,23301.353314652282
11/1981,26374.171803095367
12/1981,26279.7549062278
01/1982,25106.488282047034
02/1982,23100.38425017997
03/1982,22070.013527685413
04/1982,25235.45068182866
05/1982,24983.66060131543
06/1982,23666.625628941627
07/1982,22703.68698013038
08/1982,21761.26535718638
09/1982,21403.806924846485
10/1982,20758.081905004172
11/1982,20812.545423345426
12/1982,21395.7049425201
01/1983,23396.58316482616
02/1983,24349.779879843936
03/1983,23803.49176113779
04/1983,26431.656831397235
05/1983,26318.837228566
06/1983,27273.30527179594
07/1983,29269.682781393545
08/1983,30043.80602123206
09/1983,28943.170762043592
10/1983,28915.845421486596
11/1983,31108.536728223047
12/1983,33265.95156771356
01/1984,35843.17979622545
02/1984,33532.29621271903
03/1984,32523.940351724228
04/1984,33075.74743829167
05/1984,30125.142132069188
06/1984,29177.453698496178
07/1984,29879.83569918968
08/1984,32655.248951122383
09/1984,34176.2516161318
10/1984,34905.42431679059
11/1984,34637.92077939812
12/1984,35231.68387091843
01/1985,38788.31925650374
02/1985,38264.50103432021
03/1985,38824.19513722388
04/1985,36734.13115666381
05/1985,38285.29829026487
06/1985,37125.21115567084
07/1985,38962.027717455676
08/1985,36312.00099854644
09/1985,38034.620745019165
10/1985,37207.61327047988
11/1985,35174.56961546959
12/1985,33993.0489764769
01/1986,35159.80879712513
02/1986,32966.268695478626
03/1986,33086.662751110576
04/1986,36195.19303591217
05/1986,35924.43085286575
06/1986,34593.81618700912
07/1986,31660.777955365815
08/1986,32880.40223887927
09/1986,34627.967884239864
10/1986,39266.94709178059
11/1986,39821.181270595705
12/1986,42118.77798426253
01/1987,40736.888322935374
02/1987,45242.16198188293
03/1987,46648.82235879823
04/1987,47146.50573856567
05/1987,49868.72669343842
06/1987,52867.457363548965
07/1987,59379.98118912097
08/1987,63530.981080616504
09/1987,64301.30072984654
10/1987,36033.362409469744
11/1987,35301.08504154147
12/1987,36161.93575266883
01/1988,36188.426661105375
02/1988,37078.125367481814
03/1988,41006.93535371425
04/1988,42745.55361534872
05/1988,46229.31484566224
06/1988,48793.473519620944
07/1988,53327.67295487227
08/1988,51580.8035827675
09/1988,50339.17369288886
10/1988,52330.140974853944
11/1988,50050.97308483382
12/1988,50371.30479116969
01/1989,57846.825563098864
02/1989,54036.78776881683
03/1989,55327.579347436964
04/1989,57491.85675014989
05/1989,57253.386567127876
06/1989,55903.393728595904
07/1989,58278.41154309799
08/1989,61745.174383191705
09/1989,64437.754610079646
10/1989,59923.6782865697
11/1989,59127.955489331995
12/1989,59205.04712661516
01/1990,57112.73341308982
02/1990,55637.35425557685
03/1990,55877.10535541666
04/1990,52315.37016403453
05/1990,56336.85735579643
06/1990,58511.48933937032
07/1990,59782.43034592983
08/1990,52786.60418539253
09/1990,48034.900557921246
10/1990,46047.35576748702
11/1990,44732.8520181836
12/1990,45258.52199360531
