Data,IE00B5SSQT16
12/1987,10000
01/1988,11099.22162367223
02/1988,11458.613830018792
03/1988,12516.884748390781
04/1988,13105.912469139703
05/1988,13631.011224458467
06/1988,14617.12407267533
07/1988,14962.67179878416
08/1988,14887.52120471973
09/1988,15736.223639670727
10/1988,15246.842460294667
11/1988,14579.281828215911
12/1988,14981.304946829681
01/1989,15377.522226102152
02/1989,16758.0310253036
03/1989,18549.274452701913
04/1989,22190.464881919812
05/1989,23453.402684353994
06/1989,20976.793823170057
07/1989,21379.626096981465
08/1989,22212.147344423847
09/1989,25393.048449059035
10/1989,24776.745279964474
11/1989,23281.044083408287
12/1989,25045.573127444466
01/1990,25109.17310336395
02/1990,25745.955402871357
03/1990,22649.90406627507
04/1990,23970.669307832337
05/1990,25513.696376260275
06/1990,26571.023835390497
07/1990,28038.14962943347
08/1990,23381.538792015694
09/1990,20426.955792499222
10/1990,19457.769031868644
11/1990,18075.28757689214
12/1990,19059.762668111194
01/1991,20649.551984633064
02/1991,23307.74882736521
03/1991,26409.075174009988
04/1991,28106.587087565764
05/1991,30713.916760172542
06/1991,30717.6499375041
07/1991,32348.461482723025
08/1991,32299.30971745789
09/1991,30200.21009230384
10/1991,31387.30927338565
11/1991,29760.501743061282
12/1991,32049.37869418621
01/1992,36007.57063935988
02/1992,38433.136458524554
03/1992,40790.92334789784
04/1992,40137.15819896397
05/1992,39223.74440587992
06/1992,34316.74109717941
07/1992,33035.38545784752
08/1992,30696.67863271207
09/1992,31509.870236796367
10/1992,34572.16747339265
11/1992,36435.93929031484
12/1992,37478.17955786152
01/1993,38390.2243530412
02/1993,40001.7487185749
03/1993,41523.035485985885
04/1993,41027.45816433168
05/1993,42269.41479018345
06/1993,44787.65141153508
07/1993,47914.7949968925
08/1993,52351.68352520484
09/1993,52102.40257008225
10/1993,57437.188865115495
11/1993,61582.591602007335
12/1993,71722.45566384096
01/1994,74008.61950471433
02/1994,72403.1759018659
03/1994,64480.96905798809
04/1994,63366.34914302207
05/1994,64118.604929035726
06/1994,61330.7526912315
07/1994,63128.80593137334
08/1994,71037.54617836684
09/1994,71066.09124356133
10/1994,68441.62482168598
11/1994,65839.29789330886
12/1994,61781.486331531225
01/1995,54072.363812855365
02/1995,52102.111442597175
03/1995,50389.217714613114
04/1995,51636.14254026892
05/1995,55216.94618174653
06/1995,54911.30470491815
