Data,IE00B60SWV01
03/2005,10000
04/2005,9626.075528241861
05/2005,10178.314999019456
06/2005,10612.401758266555
07/2005,10739.137991233893
08/2005,11062.69698632175
09/2005,11410.630044136507
10/2005,11152.543162907177
11/2005,12014.434156507727
12/2005,12594.655448650152
01/2006,13222.466104205414
02/2006,13682.279860584555
03/2006,13944.15359787576
04/2006,14123.225431911378
05/2006,13480.390574821377
06/2006,13568.64506439731
07/2006,13657.257236598274
08/2006,14260.299412375309
09/2006,14756.025299238472
10/2006,15549.756293593118
11/2006,15912.1754434565
12/2006,16754.985362961244
01/2007,16871.09974093972
02/2007,16563.046622431284
03/2007,17369.119672515564
04/2007,17698.914671349947
05/2007,18097.734950976486
06/2007,17421.01556131956
07/2007,17153.06619308601
08/2007,17077.499543167545
09/2007,16191.32672073431
10/2007,17196.08111384998
11/2007,15448.717580905894
12/2007,14914.972111955336
01/2008,13651.953896313615
02/2008,13567.225448696494
03/2008,12982.19731556715
04/2008,13408.7013294442
05/2008,13328.817426082358
06/2008,12086.291270485934
07/2008,11791.891719176416
08/2008,12235.387408811337
09/2008,10512.433091366207
10/2008,8451.212258708163
11/2008,7793.47011840803
12/2008,7082.518973959924
01/2009,7496.0925877168975
02/2009,7257.6076435416635
03/2009,7368.29644478233
04/2009,9057.729949810713
05/2009,9330.957537916858
06/2009,9401.551317209378
07/2009,10150.918333442265
08/2009,10877.154904622717
09/2009,10889.45692662135
10/2009,10828.85621973327
11/2009,10647.247061718945
12/2009,11453.838441532123
01/2010,11670.541706620013
02/2010,11430.56964422634
03/2010,12559.10868940432
04/2010,13187.838605923691
05/2010,12497.225121552145
06/2010,12663.269235043073
07/2010,13293.157354080462
08/2010,13202.938116137764
09/2010,13588.711473616642
10/2010,13946.887765111007
11/2010,14183.08882303821
12/2010,15035.346475385755
01/2011,15057.791352139584
02/2011,15376.098193810969
03/2011,14765.137892192939
04/2011,15260.231539474484
05/2011,15631.467749515268
06/2011,15002.202266548122
07/2011,15047.085583079135
08/2011,13565.591153948912
09/2011,13081.583860921206
10/2011,13941.24542616229
11/2011,13866.686389177496
12/2011,13916.924383007265
01/2012,14973.979122518429
02/2012,15780.359509247874
03/2012,16010.89979372661
04/2012,16270.39846816463
05/2012,15347.366033003551
06/2012,15827.180728146059
07/2012,16628.002485882385
08/2012,16912.209452956173
09/2012,17366.100684977737
10/2012,17530.52001984645
11/2012,17538.962638151494
12/2012,17964.48895462468
01/2013,18039.126772581825
02/2013,18870.512998165752
03/2013,19603.37628908015
04/2013,19705.109964469244
05/2013,20131.930926697874
06/2013,19394.452100206545
07/2013,20480.177184251323
08/2013,20679.68795008934
09/2013,21568.660028392544
10/2013,22155.390316313034
11/2013,22581.183128641544
12/2013,23255.85932723078
01/2014,23237.39519202005
02/2014,24700.42199463899
03/2014,24006.408004266665
04/2014,23603.226442899326
05/2014,24179.575296722895
06/2014,24183.88939461082
07/2014,24108.5799812403
08/2014,24783.96030134514
09/2014,24421.96347359018
10/2014,24594.831101646923
11/2014,24817.690088210795
12/2014,25759.947353128897
01/2015,27084.582596892044
02/2015,29602.081178396278
03/2015,29574.731131026612
04/2015,30153.677562847224
05/2015,32339.558555227035
06/2015,31257.856751013005
07/2015,31650.35454673152
08/2015,29707.197731033273
09/2015,28579.506792004446
10/2015,30566.14700816826
11/2015,31658.884526004655
12/2015,30327.112345003366
01/2016,27196.14608527163
02/2016,27260.54508446562
03/2016,27473.33924899245
04/2016,27680.22514812828
05/2016,29066.629593115886
06/2016,25253.826748673535
07/2016,26660.296689449766
08/2016,27149.560380613857
09/2016,27029.592208079906
10/2016,25560.07301883608
11/2016,27133.296028887693
12/2016,27608.022003091803
01/2017,27743.149021580324
02/2017,28802.021551708818
03/2017,29279.18552146265
04/2017,30836.990400472914
05/2017,30452.96006104706
06/2017,29303.87805563914
07/2017,29341.48658869038
08/2017,28692.816800825738
09/2017,30074.742469742865
10/2017,30918.922229496857
11/2017,30424.400403641284
12/2017,31465.461844100148
01/2018,31259.444717682018
02/2018,29989.881412322367
03/2018,30022.8388464462
04/2018,31396.74336777686
05/2018,32363.150136882905
06/2018,32237.680329065348
07/2018,31974.908384332164
08/2018,31700.91633457893
09/2018,31445.523331558696
10/2018,29369.324323352965
11/2018,28738.733478485963
12/2018,27003.657197392597
01/2019,29705.391033706415
02/2019,31013.005298202897
03/2019,30783.256946862108
04/2019,32155.72052910401
05/2019,30051.82724801997
06/2019,30487.447581883862
07/2019,30364.789374596912
08/2019,30295.664581910132
09/2019,31809.865942040928
10/2019,32921.21344935502
11/2019,34681.220488428706
12/2019,36584.447893685494
01/2020,35830.72445103127
02/2020,31978.893774971973
03/2020,24391.895326391743
04/2020,27105.650620660905
05/2020,27082.75305115359
06/2020,27024.9924438914
07/2020,27020.419436400072
08/2020,28745.710477146637
09/2020,27504.804382348582
10/2020,27640.969814731638
11/2020,31240.955776186966
12/2020,33035.159808125936
01/2021,33140.127209945844
02/2021,34943.60625554013
03/2021,36701.24011211095
04/2021,37643.40714470082
05/2021,38530.94493271243
06/2021,38116.76569185894
07/2021,39417.695907859525
08/2021,41231.1732823038
09/2021,39369.915786606594
10/2021,40284.64854571023
11/2021,38963.12177777332
12/2021,41252.085304033106
01/2022,38795.65552849469
02/2022,35891.59803165034
03/2022,37153.241767723295
04/2022,36313.1225430323
05/2022,35782.05568400938
06/2022,32430.516966869607
07/2022,35506.571606009005
08/2022,33131.370511893554
09/2022,28535.891112064135
10/2022,31412.092337400045
11/2022,33539.83574752636
12/2022,32250.840530599275
