Data,IE00B60SWY32
12/1978,10000
01/1979,10183.636808029038
02/1979,10414.668624092434
03/1979,11077.775047623585
04/1979,11350.604459364948
05/1979,10896.449851155827
06/1979,11081.443105884093
07/1979,10841.455856672443
08/1979,11199.882271801089
09/1979,11636.014646968913
10/1979,10632.601522689953
11/1979,11024.570217492088
12/1979,10800.929694974777
01/1980,11219.545836621768
02/1980,11456.812700733788
03/1980,10335.837625491255
04/1980,11514.037091935896
05/1980,11300.652281372577
06/1980,11923.872249274536
07/1980,11946.268777625299
08/1980,12280.869046311022
09/1980,12445.048064035524
10/1980,13199.242724995265
11/1980,13482.601159166801
12/1980,13336.53048380079
01/1981,12851.062352659688
02/1981,13589.328598430156
03/1981,13853.028296093358
04/1981,14066.337076673899
05/1981,13721.538868657995
06/1981,13901.90337864233
07/1981,13913.493635131003
08/1981,14687.382232643002
09/1981,12694.984430523446
10/1981,12797.941185852425
11/1981,14199.38969353123
12/1981,13905.907196652452
01/1982,14319.052560287284
02/1982,14215.178328994787
03/1982,14425.770603872046
04/1982,15088.547992412932
05/1982,14553.946643047619
06/1982,14146.99062255063
07/1982,14746.670047610087
08/1982,14919.012410538342
09/1982,15394.385022172508
10/1982,15762.692467397725
11/1982,16276.481964229688
12/1982,16386.19095643885
01/1983,16294.293050690369
02/1983,17232.33122508186
03/1983,18186.534657728174
04/1983,19949.626282811096
05/1983,19862.203730630765
06/1983,20831.12304608402
07/1983,20818.19310110466
08/1983,21022.91091601461
09/1983,21397.543609225148
10/1983,21026.743181061545
11/1983,22221.00419875897
12/1983,22951.08460728557
01/1984,24406.41149617924
02/1984,24319.45539817829
03/1984,24066.075064200922
04/1984,24158.20407694683
05/1984,23224.5359084137
06/1984,23175.456923517675
07/1984,22465.996708606723
08/1984,24639.46411459105
09/1984,25414.253367506542
10/1984,25932.731530178644
11/1984,25178.710806039326
12/1984,26357.099581831106
01/1985,28241.866527930728
02/1985,28071.27124756677
03/1985,31380.989839432445
04/1985,30047.159376738717
05/1985,31832.023764410464
06/1985,31643.156812775924
07/1985,32933.28651511574
08/1985,33430.016671200494
09/1985,34526.906837900715
10/1985,35999.7981038722
11/1985,38062.329162056245
12/1985,38781.94865589414
01/1986,38703.3108284884
02/1986,41595.83737313145
03/1986,43757.03271451612
04/1986,48073.35679208714
05/1986,43058.34263246288
06/1986,45113.82097476305
07/1986,43414.855210493835
08/1986,46816.31801600932
09/1986,43505.098616495874
10/1986,43283.4579787368
11/1986,46068.251838663644
12/1986,46555.083799892884
01/1987,45693.01831661688
02/1987,46488.36003615546
03/1987,48704.485663787375
04/1987,49950.224792215
05/1987,49069.69526043136
06/1987,51372.33908901364
07/1987,53866.31982854302
08/1987,54735.12308260373
09/1987,53654.710827056624
10/1987,43136.58657773644
11/1987,38743.60605750736
12/1987,39750.42667937371
01/1988,38517.80283646765
02/1988,41961.081495829116
03/1988,42529.26889849263
04/1988,43058.86105130742
05/1988,42667.61039714583
06/1988,43802.895174844576
07/1988,46109.58674872243
08/1988,44999.46308562671
09/1988,47096.9387841738
10/1988,50184.07951362714
11/1988,48785.494622977145
12/1988,49090.52182327934
01/1989,52881.93036276316
02/1989,52923.70932466266
03/1989,53656.608667922694
04/1989,55444.98151913927
05/1989,54858.07975197098
06/1989,58141.75019438657
07/1989,62144.35012359792
08/1989,62308.913288096504
09/1989,64343.80957581347
10/1989,57853.21909589781
11/1989,60181.81055398737
12/1989,63907.4823012994
01/1990,61859.96409263011
02/1990,59569.95649949777
03/1990,61460.97751995845
04/1990,59053.61038072439
05/1990,62810.92212788174
06/1990,65447.715513777635
07/1990,66138.33437141388
08/1990,56946.95287562493
09/1990,50315.064728381214
10/1990,52950.08719988023
11/1990,52414.18700409578
12/1990,52258.472290352496
01/1991,54143.04756646091
02/1991,57892.332639244
03/1991,58779.067395835
04/1991,61252.33562912493
05/1991,63894.85452431622
06/1991,60703.53003153932
07/1991,64984.69396801884
08/1991,64703.88216027654
09/1991,64795.088291949556
10/1991,63339.08224712682
11/1991,59526.991512549124
12/1991,62130.873549075324
01/1992,62540.441602760475
02/1992,64160.534762216084
03/1992,63558.95637293876
04/1992,66451.12703406086
05/1992,68881.21353516889
06/1992,65652.23106023182
07/1992,60284.75371531599
08/1992,58563.480753683594
09/1992,58916.1539845095
10/1992,57075.7719012615
11/1992,60776.24622788061
12/1992,62120.6637998507
01/1993,63430.44843017392
02/1993,65744.60230873004
03/1993,69456.59526484477
04/1993,68562.11604965298
05/1993,69459.73792138942
06/1993,70431.43166302689
07/1993,73659.45495831792
08/1993,80723.70252273048
09/1993,77260.73971790518
10/1993,81411.95845125522
11/1993,81780.98413025912
12/1993,87869.03578686398
01/1994,93582.0675393725
02/1994,89905.90070576956
03/1994,85540.87947030447
04/1994,89327.76593262031
05/1994,83678.19932776716
06/1994,81441.85950241395
07/1994,83055.77374632478
08/1994,85775.36774876263
09/1994,81477.79235299998
10/1994,83389.3592567373
11/1994,81374.4677417643
12/1994,83497.87582821556
01/1995,81137.80746862282
02/1995,82055.05416843401
03/1995,82513.43866503607
04/1995,83509.9886436998
05/1995,86523.30819174572
06/1995,86596.57164714695
07/1995,90037.91504398063
08/1995,89163.69771470039
09/1995,93021.57119696212
10/1995,91127.23745599706
11/1995,91959.10360633789
12/1995,96361.23272910605
01/1996,98153.48271789444
02/1996,100500.32184600557
03/1996,101621.25378335414
04/1996,103213.17498681988
05/1996,105256.09276382708
06/1996,105573.13425588558
07/1996,102649.92943037805
08/1996,104721.54390120559
09/1996,107835.18254578297
10/1996,110664.8123037767
11/1996,114762.84253010683
12/1996,119556.91835750335
01/1997,123122.98991176365
02/1997,130165.5932402426
03/1997,135908.5727935552
04/1997,135946.81830395863
05/1997,141296.69296149106
06/1997,150010.42926389017
07/1997,161385.89544233689
08/1997,156479.40344377418
09/1997,167127.02833471957
10/1997,155997.88112421424
11/1997,155110.56773908145
12/1997,165092.7939633165
01/1998,175894.40788151266
02/1998,189200.7111649658
03/1998,203391.95674875987
04/1998,205900.3648866952
05/1998,206839.0247372391
06/1998,210591.02853339695
07/1998,215226.16183312656
08/1998,187353.2343523405
09/1998,171441.79984801437
10/1998,178297.68985638945
11/1998,193189.3385794866
12/1998,200319.12051972546
01/1999,205501.43874578638
02/1999,206906.5509367133
03/1999,214505.83855677364
04/1999,223885.99374114446
05/1999,215971.83503558164
06/1999,222304.7887334214
07/1999,216655.32695749635
08/1999,221326.663628937
09/1999,217690.91989851862
10/1999,230244.16355058522
11/1999,244753.94630730603
12/1999,271171.27239631175
01/2000,258374.0225295949
02/2000,273961.9158388657
03/2000,285263.2658644783
04/2000,286671.7770669847
05/2000,277619.5373282138
06/2000,276027.20066150645
07/2000,280771.52789102314
08/2000,287921.9703182022
09/2000,278811.09307843447
10/2000,288092.7686629555
11/2000,268376.6752097272
12/2000,267688.2005373533
01/2001,268114.2242139914
02/2001,245724.462783098
03/2001,238067.92736886803
04/2001,253684.11929655785
05/2001,252545.41290901348
06/2001,242958.48342975893
07/2001,235873.73638473937
08/2001,219585.80422740907
09/2001,198222.03185006356
10/2001,206505.64820087276
11/2001,218238.4054407773
12/2001,225952.8826974232
01/2002,218474.1887952153
02/2002,218049.2740507969
03/2002,227908.00028982316
04/2002,219001.86868584214
05/2002,209481.4720176397
06/2002,190256.20571748354
07/2002,172375.0946342278
08/2002,171439.90357405157
09/2002,148452.11881019632
10/2002,162711.19988002526
11/2002,169591.76174354076
12/2002,154687.55066387128
01/2003,142862.42460510455
02/2003,138613.26980036797
03/2003,135107.13460002656
04/2003,150057.05117195108
05/2003,150426.43484321606
06/2003,157102.97823388557
07/2003,161813.3657754191
08/2003,167261.3664402979
09/2003,160018.47560613495
10/2003,171138.4987086693
11/2003,172861.39050126434
12/2003,177610.71086961642
01/2004,183228.41933502615
02/2004,188049.6764030083
03/2004,185050.99077247697
04/2004,187741.79958026632
05/2004,186835.14473830882
06/2004,189974.4118282313
07/2004,186496.4498403242
08/2004,185470.0560766652
09/2004,188246.29927302914
10/2004,189988.71631264704
11/2004,195337.37804688368
12/2004,198705.38848216838
01/2005,203758.39411743532
02/2005,210336.33966450542
03/2005,209640.5550828621
04/2005,204404.10695775138
05/2005,215510.84375825268
06/2005,222763.38963817866
07/2005,230822.46159468725
08/2005,232210.90498145873
09/2005,240889.67473846147
10/2005,233634.69204897824
11/2005,242664.6728375983
12/2005,250567.917416973
01/2006,259828.21941098024
02/2006,265324.578691508
03/2006,270374.54592513083
04/2006,274327.2340908073
05/2006,259846.7021108794
06/2006,263829.2964527319
07/2006,266676.7790229084
08/2006,273253.03964790085
09/2006,279707.03947925306
10/2006,290831.5637299721
11/2006,289626.2567475201
12/2006,299561.4242821272
01/2007,306308.2631661867
02/2007,299220.32158160786
03/2007,307526.0427514209
04/2007,320436.0266471851
05/2007,329703.9429052461
06/2007,328317.5398590767
07/2007,316538.84531721123
08/2007,313039.3523069945
09/2007,317843.2630240281
