Data,IE00B6SPMN59
12/1998,10000
01/1999,9935.034503396577
02/1999,10083.466765077505
03/1999,10482.145133263666
04/1999,11520.31234684792
05/1999,11971.919542965821
06/1999,12467.073275006622
07/1999,11677.158832340438
08/1999,11596.625069639807
09/1999,10923.740711577952
10/1999,11112.93566362778
11/1999,11338.26768638964
12/1999,11547.44136631586
01/2000,11218.489882479216
02/2000,10626.82215493366
03/2000,11889.85160120809
04/2000,12539.08561393913
05/2000,12797.26169872931
06/2000,12074.87091480095
07/2000,12421.716875452981
08/2000,13780.90746612346
09/2000,13754.766978985146
10/2000,14562.03244060416
11/2000,13872.09236002676
12/2000,13440.043810003694
01/2001,13509.417614038828
02/2001,13240.135147923256
03/2001,13251.1355480235
04/2001,13952.464757936077
05/2001,15046.235323962435
06/2001,14814.448071839084
07/2001,14383.958851171306
08/2001,13579.57761953633
09/2001,12705.892789995036
10/2001,12999.405864055389
11/2001,13797.085805786272
12/2001,14433.781307923253
01/2002,14933.003351428844
02/2002,15068.630974757854
03/2002,15453.671064931035
04/2002,14768.427681622052
05/2002,14129.186356352446
06/2002,12458.961234030206
07/2002,11684.581528271458
08/2002,11889.548756308985
09/2002,10774.038013523586
10/2002,11053.101689998875
11/2002,11463.753474536294
12/2002,10566.242742412847
01/2003,10080.188105135847
02/2003,9976.76199526431
03/2003,9919.013773844166
04/2003,10232.010137500942
05/2003,10330.900568029803
06/2003,10801.266147573358
07/2003,11034.951447204307
08/2003,11624.031351791315
09/2003,10856.883434212363
10/2003,11426.501365174347
11/2003,11307.570805899244
12/2003,11239.620088510379
01/2004,11779.906946364768
02/2004,11914.3345601492
03/2004,12160.537214332835
04/2004,12393.426189110332
05/2004,12359.54431673204
06/2004,12638.939893662662
07/2004,12352.670874738315
08/2004,12406.592331738746
09/2004,12338.145986965801
10/2004,12264.833107592593
11/2004,12381.035571446775
12/2004,12551.432582220408
01/2005,12931.105678836197
02/2005,13009.738123564819
03/2005,13144.151759447597
04/2005,12946.283714402705
05/2005,13899.077303689644
06/2005,14334.979954978377
07/2005,14736.56571033191
08/2005,14474.891432269307
09/2005,14723.958019471102
10/2005,14391.301537817677
11/2005,15121.317191962964
12/2005,15169.868896667267
01/2006,15065.096459238053
02/2006,15533.050209509587
03/2006,15381.7014514972
04/2006,15097.858140225631
05/2006,14463.717401896998
06/2006,14917.227914187311
07/2006,15041.255201148662
08/2006,15168.663628213812
09/2006,15676.404701117019
10/2006,16143.422896789316
11/2006,15818.562493846699
12/2006,16043.502816977483
01/2007,16635.727188295168
02/2007,16171.561960265897
03/2007,16176.423210620102
04/2007,16325.338997110772
05/2007,17045.548224847054
06/2007,16649.384298284127
07/2007,15740.180673117355
08/2007,16043.836228597416
09/2007,15848.789736184166
10/2007,15572.867653160229
11/2007,14713.127258520624
12/2007,14562.118306614855
01/2008,13860.585167570573
02/2008,13197.339787130875
03/2008,12662.495339987549
04/2008,13317.007334484115
05/2008,13520.778653125457
06/2008,12056.136667963774
07/2008,12408.598017258839
08/2008,13399.666000078203
09/2008,13368.11481931926
10/2008,12615.93907187539
11/2008,11895.838002766985
12/2008,10960.853752190795
01/2009,10904.345233439062
02/2009,9969.108776972582
03/2009,10023.54900027167
04/2009,10447.313314983177
05/2009,10113.250956554772
06/2009,10234.2941988286
07/2009,10666.201407013185
08/2009,10788.084564751845
09/2009,10744.951714865205
10/2009,10542.845144131928
11/2009,10887.018101441496
12/2009,11584.499162104103
01/2010,11673.344359896637
02/2010,12276.666179420256
03/2010,12837.82333420153
04/2010,13120.160039159022
05/2010,13299.941407688098
06/2010,13005.613077611564
07/2010,12887.86200937894
08/2010,13136.317949835602
09/2010,13021.194886363512
10/2010,13153.33941929222
11/2010,13928.863553771178
12/2010,14307.7840278068
01/2011,13848.60031066669
02/2011,14078.108077392764
03/2011,13873.021320200414
04/2011,13913.835110041216
05/2011,14518.96098358136
06/2011,14258.45696076834
07/2011,14008.93215701446
08/2011,13640.666614080508
09/2011,14045.817332006667
10/2011,14508.186160540363
11/2011,15241.079417167379
12/2011,16123.044089229259
01/2012,16240.020918958386
02/2012,16331.455595182353
03/2012,16804.283842415844
04/2012,17083.22081299712
05/2012,17535.83539690432
06/2012,17933.23935235131
07/2012,18529.267206366538
08/2012,18174.467436417373
09/2012,18209.09878200489
10/2012,17959.81258089281
11/2012,18162.56516116613
12/2012,17895.749021324176
01/2013,18377.62052258143
02/2013,19244.965559020045
03/2013,20624.509275890185
04/2013,20659.838601002375
05/2013,20796.802262728852
06/2013,20505.214094064653
07/2013,21137.171020583675
08/2013,20519.626590319764
09/2013,20654.437478363358
10/2013,21284.137570683295
11/2013,21718.093458505282
12/2013,21724.70394709949
01/2014,21403.737153709597
02/2014,21828.176294890047
03/2014,22210.32345822205
04/2014,22379.415952200023
05/2014,23042.64070373625
06/2014,23266.330066634655
07/2014,23425.974384851706
08/2014,24650.15806618141
09/2014,25619.90407769239
10/2014,26615.376844504255
11/2014,27434.87152452783
12/2014,28178.918091348718
01/2015,30018.205558407655
02/2015,31353.157163814398
03/2015,32294.579999904043
04/2015,31000.51363451353
05/2015,32031.01917632674
06/2015,30741.664165451268
07/2015,32527.394785378066
08/2015,30289.08945031073
09/2015,30110.14201843326
10/2015,32636.145459683452
11/2015,33656.542740501995
12/2015,32671.81368764738
01/2016,32300.960464804353
02/2016,33117.29152086242
03/2016,33411.58717093927
04/2016,33248.642411102555
05/2016,34335.33550518787
06/2016,36214.2933425882
07/2016,36821.39372261516
08/2016,35998.36688723662
09/2016,35852.959447149144
10/2016,35791.292773024
11/2016,37062.85097432406
12/2016,38117.79764318911
01/2017,37501.304434046295
02/2017,39509.0917379061
03/2017,38966.07711176047
04/2017,38287.92512093302
05/2017,37877.07633197959
06/2017,37121.46670898371
07/2017,36704.86855556935
08/2017,36141.954672064865
09/2017,36612.22745989256
10/2017,38001.81149595812
11/2017,39044.69392746335
12/2017,38922.25755778454
01/2018,38600.89080154853
02/2018,38044.27801064394
03/2018,37092.09917441705
04/2018,37891.244595402284
05/2018,39663.3706187867
06/2018,40198.2041946055
07/2018,41152.04745723275
08/2018,42725.2580161012
09/2018,43247.595049849246
10/2018,41855.55101213732
11/2018,42557.40212943236
12/2018,38449.44013366277
01/2019,41101.128738941086
02/2019,42823.52158246275
03/2019,44483.768964064395
04/2019,46268.95777953808
05/2019,44456.18659235469
06/2019,46171.484658530266
07/2019,47871.28392630404
08/2019,48535.053162837765
09/2019,49975.251093004015
10/2019,48927.6599236712
11/2019,50856.425724962945
12/2019,51425.009135626235
01/2020,52403.25653714293
02/2020,48421.18556802551
03/2020,42420.15008118054
04/2020,47447.695528817305
05/2020,48335.48295621361
06/2020,48234.05496760682
07/2020,47738.08452243989
08/2020,49427.54893381719
09/2020,49441.42212353192
10/2020,48114.89220258432
11/2020,50617.55185258916
12/2020,50718.82588028685
01/2021,50089.865760186956
02/2021,49957.58559323224
03/2021,54844.446059370726
04/2021,55612.855292090324
05/2021,55242.37836916936
06/2021,57632.20858226541
07/2021,59235.262525471786
08/2021,60817.8051486385
09/2021,58970.040974410396
10/2021,62162.960088457236
11/2021,63347.50714651687
12/2021,67864.11082866398
01/2022,65432.768811863425
02/2022,63260.76468524412
03/2022,66897.10172975053
04/2022,66956.40141511086
05/2022,65896.88492501923
06/2022,64163.47487017066
07/2022,69058.90310904632
08/2022,67898.87062169811
09/2022,64211.93408530845
10/2022,68219.53406048364
11/2022,68131.71732593398
12/2022,63898.40358298649
01/2023,64789.763254610225
02/2023,63033.65196309406
03/2023,63713.636137408415
04/2023,64774.63880280828
05/2023,64431.862537846406
06/2023,66294.92641390336
07/2023,65820.92080477077
08/2023,65600.33820454852
09/2023,64470.011738067195
10/2023,63585.250622805106
11/2023,66553.9959768423
12/2023,67490.24561189843
01/2024,70768.32079891815
02/2024,72990.86128534783
03/2024,75328.41689902179
04/2024,73173.0198266946
