Data,IE00B6YX5C33
02/1992,10000
03/1992,10066.89061302436
04/1992,10268.260664766012
05/1992,10120.596521362826
06/1992,9683.947733493509
07/1992,9599.356539958913
08/1992,9165.068574724206
09/1992,9486.300764998081
10/1992,9914.332403100712
11/1992,10922.802406827595
12/1992,11048.883837273135
01/1993,11358.032078109876
02/1993,11798.809067980917
03/1993,12106.185395659475
04/1993,11410.713230269894
05/1993,11743.99444539028
06/1993,12121.217719873757
07/1993,12583.586773591034
08/1993,13159.890370476347
09/1993,12538.802244094708
10/1993,12947.468691987004
11/1993,13167.494842911625
12/1993,13319.81056933298
01/1994,13958.393211222796
02/1994,13526.264402191804
03/1994,12668.084759075595
04/1994,12866.78318507265
05/1994,12795.89409399007
06/1994,12278.595684420512
07/1994,12290.017012345264
08/1994,12807.678673340159
09/1994,12359.63731137774
10/1994,12394.870242507439
11/1994,12120.129665825134
12/1994,12550.563729692247
01/1995,12611.943007472559
02/1995,12959.07467270481
03/1995,12822.071674810539
04/1995,12946.133748491116
05/1995,13670.61873286169
06/1995,13870.41667728691
07/1995,14162.840525189813
08/1995,14627.262745491767
09/1995,15439.045605299734
10/1995,15143.39105723935
11/1995,15841.191497047874
12/1995,16400.844608920335
01/1996,17163.733724617116
02/1996,17421.11326316223
03/1996,17576.284140191452
04/1996,17986.16950450872
05/1996,18672.48574246868
06/1996,18596.960544051537
07/1996,17503.84286685734
08/1996,17709.733054997632
09/1996,18867.329389234244
10/1996,19446.59725676158
11/1996,20646.58761472217
12/1996,20683.857333325646
01/1997,22572.25440255725
02/1997,23738.618573637148
03/1997,23025.68492500456
04/1997,24531.31553807229
05/1997,25943.336755813016
06/1997,27408.22924410311
07/1997,30410.243786418578
08/1997,29523.13856957354
09/1997,30321.0931284968
10/1997,28774.205377368886
11/1997,29484.493586657223
12/1997,30797.819514378858
01/1998,31852.38022495577
02/1998,34072.113209090785
03/1998,35946.33485769296
04/1998,36059.403388028986
05/1998,34897.14208206676
06/1998,36575.73100733848
07/1998,36269.124258063464
08/1998,30896.196610719944
09/1998,31339.389064782554
10/1998,32634.350925591036
11/1998,35611.338456326965
12/1998,37420.49457427162
01/1999,40256.403011158334
02/1999,40297.95756993058
03/1999,42984.017684344915
04/1999,45256.30317026878
05/1999,44780.11525943578
06/1999,47847.7164624242
07/1999,44763.65137058345
08/1999,45048.588797153134
09/1999,43432.2971709889
10/1999,47114.068530530225
11/1999,49763.20072871038
12/1999,52957.839028755276
01/2000,51603.09362346076
02/2000,51023.69207813103
03/2000,56955.484344581644
04/2000,58083.371114040114
05/2000,55554.15432074344
06/2000,55412.49649057189
07/2000,56389.13228138211
08/2000,62153.76058678136
09/2000,59814.85830011051
10/2000,62020.083363579026
11/2000,55369.25273664111
12/2000,51922.76279478174
01/2001,53830.466247276345
02/2001,49156.12695627575
03/2001,48207.01588929503
04/2001,51692.048970422766
05/2001,54464.5993030251
06/2001,53134.92277434996
07/2001,50955.29939327286
08/2001,45659.65929519786
09/2001,42093.21208660183
10/2001,43314.95181714631
11/2001,47388.985574459286
12/2001,48261.64918820665
01/2002,48522.83770506813
02/2002,47506.40617931749
03/2002,48877.05552890732
04/2002,44462.53223290903
05/2002,42349.68470059502
06/2002,37011.37687735494
07/2002,34793.14480233267
08/2002,34840.88393274758
09/2002,30966.74333998465
