Data,IE00B6YX5D40
08/2013,10000
09/2013,10140.740872163991
10/2013,10531.81756775501
11/2013,10644.880967737723
12/2013,10684.942489934512
01/2014,10572.138468988545
02/2014,10719.537154273134
03/2014,10867.969519341385
04/2014,10975.031045043397
05/2014,11281.761260740173
06/2014,11464.569244754883
07/2014,11270.07432785825
08/2014,11913.404015401775
09/2014,12226.472590368106
10/2014,12873.533540356104
11/2014,13281.811219648143
12/2014,13709.192486819822
01/2015,14357.081455855823
02/2015,14890.014799072993
03/2015,15404.27789165114
04/2015,14681.796305631176
05/2015,15144.00780533168
06/2015,14502.244774990502
07/2015,15044.544314200872
08/2015,13960.810085705805
09/2015,13773.220039081625
10/2015,15079.514943856977
11/2015,15726.853567407272
12/2015,15046.662719783855
01/2016,14715.575069105107
02/2016,15204.633228291596
03/2016,15697.766634597445
04/2016,15813.272486700322
05/2016,16385.282739420752
06/2016,16972.097249575534
07/2016,17432.344828814686
08/2016,17254.13754593926
09/2016,17039.362738033607
10/2016,16751.3027767571
11/2016,18027.323651610757
12/2016,18528.3032608075
01/2017,18299.375059656708
02/2017,19119.474618030847
03/2017,18908.71501694789
04/2017,18592.407599721344
05/2017,18108.16713296351
06/2017,17932.675686170052
07/2017,17638.711209611625
08/2017,17319.494653501475
09/2017,17869.66897168951
10/2017,18354.43356041085
11/2017,18758.7223050023
12/2017,18729.60553055641
01/2018,18386.231193951826
02/2018,17822.749323506414
03/2018,17674.09296228025
04/2018,17958.661511252132
05/2018,18759.411350925893
06/2018,19067.210003844113
07/2018,19690.800596242432
08/2018,20211.041026164523
09/2018,20379.9649371716
10/2018,19839.090998688574
11/2018,20740.8376964729
12/2018,18914.712573672838
01/2019,20031.924247382834
02/2019,21008.04554061892
03/2019,21500.048440369737
04/2019,21974.366033171293
05/2019,20847.101172247356
06/2019,21643.440533386063
07/2019,22263.57913094814
08/2019,21941.855839015083
09/2019,23085.860188401173
10/2019,22898.65580722278
11/2019,23665.63835126135
12/2019,23593.420194283914
01/2020,23288.624360483802
02/2020,21298.270469780735
03/2020,18066.01868107847
04/2020,20018.723059050888
05/2020,20188.510177889093
06/2020,20281.028294701067
07/2020,19628.81363469088
08/2020,20073.73445143453
09/2020,19737.04011697921
10/2020,19741.76912660057
11/2020,21634.982895538276
12/2020,21740.787687135984
01/2021,21858.503801637537
02/2021,22987.92269008216
03/2021,25452.39855029492
04/2021,25692.253313551264
05/2021,25974.154670464795
06/2021,26159.47702949549
07/2021,26302.238274907155
08/2021,26758.219445140578
09/2021,25922.42192938605
10/2021,27045.17745011396
11/2021,27074.10252417027
12/2021,29280.962793073155
01/2022,29043.88345063063
02/2022,28622.675672475107
03/2022,29734.860988130695
04/2022,30328.76704627512
05/2022,30538.332831149717
06/2022,29590.389686076942
07/2022,32133.269407557433
08/2022,31982.999251291712
09/2022,29723.065512652203
10/2022,32233.98498241998
11/2022,32863.45226791282
12/2022,30650.558579077802
01/2023,31194.69100297736
02/2023,30936.759738562712
03/2023,29823.7540045118
04/2023,29830.165484058303
05/2023,28746.01683845602
06/2023,29700.821121851695
07/2023,30279.720821289884
08/2023,29580.895425767056
09/2023,28694.25175719196
10/2023,27856.855587944236
11/2023,28875.08125044641
12/2023,30038.892017342685
01/2024,30274.725974136676
02/2024,30837.8564824221
03/2024,32433.52687570832
04/2024,31651.318152298645
