Data,IE00B78JSG98
12/1978,10000
01/1979,10682.701651332889
02/1979,10418.461110288508
03/1979,11009.276191975101
04/1979,11134.76056617823
05/1979,11042.926490112663
06/1979,11503.423170211661
07/1979,11269.146672507004
08/1979,11773.831175931566
09/1979,11683.79673189086
10/1979,10919.835660739187
11/1979,11224.979370184867
12/1979,11070.307069171296
01/1980,11665.432491425061
02/1980,11731.63156177111
03/1980,11442.09201362219
04/1980,12232.862889035197
05/1980,12321.23881781854
06/1980,12476.947585466409
07/1980,12984.602788205846
08/1980,13309.964118588689
09/1980,13418.104111397519
10/1980,13987.288928007316
11/1980,15678.237470683576
12/1980,15814.399559073892
01/1981,15601.559080607105
02/1981,16829.90812781527
03/1981,17740.69381494988
04/1981,18380.527703762255
05/1981,19664.401257170706
06/1981,20426.448776458423
07/1981,20816.638183566436
08/1981,20270.600649567827
09/1981,18679.09415649832
10/1981,18683.496491852584
11/1981,19262.064649074113
12/1981,19001.60856079647
01/1982,19143.498363330607
02/1982,19044.757222416138
03/1982,19449.02124845153
04/1982,20296.422620711895
05/1982,19038.7330696218
06/1982,19943.274254711272
07/1982,19791.758870722984
08/1982,22403.396596019855
09/1982,22647.79863286926
10/1982,25497.38041598147
11/1982,26627.30625058478
12/1982,25904.904385507503
01/1983,27126.4077048934
02/1983,28056.704057071332
03/1983,29291.573391423266
04/1983,32320.31394730484
05/1983,32269.28713445462
06/1983,33935.61105199191
07/1983,33874.78171032118
08/1983,36135.941870166695
09/1983,36390.68435118635
10/1983,35685.32618251177
11/1983,37520.66952268042
12/1983,38238.66950418385
01/1984,39604.329923479665
02/1984,36925.78889042278
03/1984,36281.71182768276
04/1984,37466.39093300852
05/1984,36291.01772790562
06/1984,36608.58575181583
07/1984,37423.18733477246
08/1984,42211.17137777898
09/1984,45148.394638426485
10/1984,45730.92072835645
11/1984,44528.61740540146
12/1984,47495.984125232964
01/1985,52079.75086280276
02/1985,54836.826354534496
03/1985,55416.71715326729
04/1985,52237.17895960125
05/1985,55857.08260385312
06/1985,55784.42871203221
07/1985,52326.6947611188
08/1985,50313.22227627337
09/1985,49319.92956158412
10/1985,48720.08934023181
11/1985,50216.205525402285
12/1985,50950.978562583805
01/1986,50379.031492192764
02/1986,51948.120613287836
03/1986,52925.06277682514
04/1986,51721.18861786805
05/1986,53269.837667466905
06/1986,53931.25727454009
07/1986,49918.406694057245
08/1986,53184.9701669024
09/1986,49206.27898710625
10/1986,51462.44420739692
11/1986,53276.04358995376
12/1986,50797.11720845226
01/1987,53661.47918941925
02/1987,53093.15123389225
03/1987,54788.13154392367
04/1987,53644.89076114581
05/1987,53333.861027428735
06/1987,57059.56250428971
07/1987,60420.713803590064
08/1987,62564.250936302895
09/1987,59837.54905125735
10/1987,47360.30037419631
11/1987,41200.130324652804
12/1987,42444.23624183049
01/1988,46189.320534556755
02/1988,49086.65639945384
03/1988,46974.92601351599
04/1988,47693.18202688899
05/1988,48892.51612467474
06/1988,53378.30233916924
07/1988,56079.772025399994
08/1988,55228.67408471423
09/1988,56894.73881831794
10/1988,57336.37413934276
11/1988,54284.794880919435
12/1988,55069.314631027686
01/1989,61671.80385193484
02/1989,60684.80698430805
03/1989,62054.4805363656
04/1989,65145.35002091407
05/1989,69989.96826765523
06/1989,71166.23844178951
07/1989,72866.94556437283
08/1989,75353.74386081695
09/1989,76002.05355293636
10/1989,70804.11942145058
11/1989,70739.57306005503
12/1989,69623.06232320856
01/1990,63658.371637456265
02/1990,64404.51617003961
03/1990,66038.91467395495
04/1990,63072.12936047972
05/1990,66736.50580455113
06/1990,65700.95855492685
07/1990,63826.05788016089
08/1990,55704.88200438507
09/1990,53291.8253963103
10/1990,51295.134162561844
11/1990,53749.41829255345
12/1990,55806.58445439562
01/1991,58697.135390816075
02/1991,61078.22109959031
03/1991,67241.42501477787
04/1991,71145.7956031692
05/1991,75048.7113660637
06/1991,74229.4594493119
07/1991,77110.1958644475
08/1991,76412.11398419602
09/1991,73986.76291812334
10/1991,75414.03104008033
11/1991,68656.11039268332
12/1991,71766.85239756317
01/1992,71843.57350991522
02/1992,74904.8881923453
03/1992,75491.61916225421
04/1992,78578.96674398167
05/1992,77366.3737756068
06/1992,74833.49757439923
07/1992,73995.90588561207
08/1992,69867.92136749272
09/1992,72298.55829936525
10/1992,74911.09874249031
11/1992,81710.59676932986
12/1992,82956.84501632127
01/1993,87065.45733791792
02/1993,92460.69504226913
03/1993,95537.38959547514
04/1993,91994.75168106226
05/1993,93519.02352527216
06/1993,97788.11120254149
07/1993,103771.65995576975
08/1993,108263.1244776077
09/1993,104027.46319576234
10/1993,105089.39386858087
11/1993,105884.62674448351
12/1993,107658.66975976314
01/1994,113833.76239322328
02/1994,109190.47982822129
03/1994,102872.42867496255
04/1994,105237.95221410587
05/1994,104735.1296823642
06/1994,100579.18602506594
07/1994,100809.04608388725
08/1994,103867.04089919249
09/1994,99277.44620471244
10/1994,99859.4317296835
11/1994,97401.62202316221
12/1994,100592.55056518855
01/1995,101451.34735255707
02/1995,104491.35362883638
03/1995,103062.52306460484
04/1995,104561.4658543587
05/1995,110502.88218270759
06/1995,111302.24889439341
07/1995,114254.59413438357
08/1995,118664.5517745581
09/1995,124322.2091538982
10/1995,120705.85780361158
11/1995,127173.84021229553
12/1995,132066.29966101248
01/1996,137941.00441081417
02/1996,139843.6488376036
03/1996,142236.67065656118
04/1996,145507.0046658401
05/1996,148922.46317863397
06/1996,147391.13117133777
07/1996,138655.7434893811
08/1996,141323.27221043152
09/1996,148375.8103644399
10/1996,154098.24002654513
11/1996,163646.34927172132
12/1996,164459.4910469709
01/1997,177800.4275339505
02/1997,186543.26728726874
03/1997,182177.8558760872
04/1997,190830.8993862872
05/1997,201229.88238331946
06/1997,211163.64734266652
07/1997,235879.63097953374
08/1997,231497.15637177246
09/1997,238342.965647789
10/1997,228411.04982833783
11/1997,232862.59281062032
12/1997,245093.67582776587
01/1998,248046.8400533643
02/1998,263955.02800894226
03/1998,278296.0556788256
04/1998,282295.87064614304
05/1998,271517.4001571029
06/1998,276078.1607572931
07/1998,272802.9719507333
08/1998,228954.5033695323
09/1998,230236.55774814432
10/1998,240075.66837642965
11/1998,261015.38978055518
12/1998,266677.48550450493
01/1999,282340.0748288463
02/1999,289328.91121186176
03/1999,304270.6872672293
04/1999,335705.9498506964
05/1999,334179.32753665233
06/1999,347807.72269628244
07/1999,326686.6335482866
08/1999,319697.493514764
09/1999,302404.80774895917
10/1999,325969.60184826364
11/1999,336427.66267978103
12/1999,345075.67781130195
01/2000,343218.0577303701
02/2000,323175.51339747297
03/2000,362965.20476079534
04/2000,382717.1043450995
05/2000,374442.91443992767
06/2000,355415.8767859416
07/2000,370687.31708005484
08/2000,403965.6559030611
09/2000,408282.1064791421
10/2000,431463.9799217887
11/2000,393348.5588305843
12/2000,382371.84035401855
01/2001,389991.01684073225
02/2001,372459.09233530716
03/2001,374489.8101008947
04/2001,396891.7767782852
05/2001,421055.1595042986
06/2001,410801.9477356259
07/2001,393166.1572143834
08/2001,353156.1912786078
09/2001,325579.21202566597
10/2001,324180.3048975643
11/2001,348997.45043179014
12/2001,355511.46396686614
01/2002,358569.85273887386
02/2002,346047.87317168113
03/2002,364850.07840126316
04/2002,334495.5374798865
05/2002,320106.2081389035
06/2002,279392.12561876123
07/2002,255802.0676635758
08/2002,255552.63211166495
09/2002,224807.04663651274
10/2002,244064.99683460637
11/2002,262129.9687228581
12/2002,230881.9142931112
01/2003,219260.8613500528
02/2003,214486.7458464584
03/2003,211254.83427177713
04/2003,228451.7437991508
05/2003,231065.06741077587
06/2003,242181.03160550952
07/2003,247421.65555282636
08/2003,260785.97134193944
09/2003,242242.2286074138
10/2003,255544.50690911384
11/2003,250728.92544075212
12/2003,255150.14361331981
01/2004,264111.31361369474
02/2004,268002.8340907861
03/2004,268422.8345833953
04/2004,269409.6276162271
05/2004,265833.79096949886
06/2004,273724.36806082074
07/2004,272557.27746394364
08/2004,275190.8656562291
09/2004,270879.3450076041
10/2004,267732.60192781064
11/2004,267947.3541456494
12/2004,270506.8828684442
01/2005,277068.8430630458
02/2005,280697.174398855
03/2005,282450.9873208938
04/2005,278357.7489632577
05/2005,298324.4892209876
06/2005,306113.96309366246
07/2005,313761.81767396204
08/2005,308533.4538621043
09/2005,316843.6785275306
10/2005,310349.2704316463
11/2005,328751.27717611997
12/2005,330378.4159686092
01/2006,330055.6141834224
02/2006,339886.7088042654
03/2006,337624.0008462581
04/2006,334462.68951410486
05/2006,317836.75765361334
06/2006,323369.41014059074
07/2006,330421.5178608284
08/2006,334899.92189346574
09/2006,348000.6201221117
10/2006,358451.4851119666
11/2006,351244.84916535794
12/2006,360247.3241589458
01/2007,370519.48767777754
02/2007,357489.19718009286
03/2007,360268.08565918996
04/2007,367294.6382440175
05/2007,384531.53964578325
06/2007,374645.03088029707
07/2007,352604.26555533626
08/2007,357782.49314847065
09/2007,357547.54500595795
10/2007,351315.01164662733
11/2007,326749.4435330856
12/2007,323209.8371598325
01/2008,306907.2983123772
02/2008,286509.4939165601
03/2008,274087.3075474646
04/2008,289983.58177770727
05/2008,288870.18474359124
06/2008,256725.1190493194
07/2008,258039.81111366712
08/2008,277434.9507032261
09/2008,267385.7302542467
10/2008,251751.78715614116
11/2008,237944.94465560405
12/2008,220459.65693233509
01/2009,211384.59706532137
02/2009,185129.85136798612
03/2009,191545.42615365225
04/2009,211651.84183569739
05/2009,212470.71200666885
06/2009,209821.54082948115
07/2009,226458.78729926667
08/2009,235681.34136461292
09/2009,237024.78028819917
10/2009,228406.56584883344
11/2009,238445.1054642205
12/2009,250915.2072641323
01/2010,253211.899362034
02/2010,266803.24463440065
03/2010,284934.25919311144
04/2010,292734.00625802286
05/2010,291865.30138563405
06/2010,278241.69396772474
07/2010,279599.20162568754
08/2010,275434.20951753686
09/2010,274799.99659960234
10/2010,277736.5706777609
11/2010,294378.0190512257
12/2010,308784.8062439735
01/2011,309812.4676467331
02/2011,319198.96185803885
03/2011,310368.7450250959
04/2011,305636.490073946
05/2011,310931.3175591774
06/2011,303245.3883746117
07/2011,296799.1548485125
08/2011,276652.7899430849
09/2011,275716.76261374075
10/2011,292697.17561808164
11/2011,304107.0461549581
12/2011,322975.40397239407
01/2012,327307.43059393764
02/2012,333541.88850095664
03/2012,345673.46093844215
04/2012,346006.12684151164
05/2012,347007.3108561829
06/2012,358197.4043186023
07/2012,371707.9941214879
08/2012,366988.15551410493
09/2012,368482.25611714454
10/2012,364565.01860474603
11/2012,362359.28361912345
12/2012,363487.99131139
01/2013,376111.28890939645
02/2013,394269.67247903795
03/2013,419778.3259123662
04/2013,421900.1060692322
05/2013,433476.0795833682
06/2013,427793.6612478117
07/2013,440788.16794653813
08/2013,425660.1551777814
09/2013,426334.5497405652
10/2013,441884.7907743499
11/2013,454525.1928777542
12/2013,459244.7950135651
01/2014,451741.656113474
02/2014,459694.85016923863
03/2014,473064.5489657678
04/2014,476521.8288017266
05/2014,491983.419594896
06/2014,500459.43012388074
07/2014,502067.0014889651
08/2014,527095.8632545134
09/2014,544093.0543799545
10/2014,557368.865987601
11/2014,568987.508511901
12/2014,584607.0052602676
01/2015,602471.3657637701
02/2015,635977.650018021
03/2015,650378.4700283315
04/2015,636033.575314924
05/2015,656146.1011594
06/2015,626721.3230817618
07/2015,644366.3649241759
08/2015,593521.8137556883
09/2015,581702.2825804007
10/2015,638339.3738117729
11/2015,667107.0319889629
12/2015,638002.2602148665
01/2016,608594.3669774906
02/2016,609777.1876937995
03/2016,622492.6574514598
04/2016,628799.2379745002
05/2016,653604.1315623326
06/2016,664233.9397489859
07/2016,683202.4030646493
08/2016,686039.1288934124
09/2016,683249.0202640534
10/2016,686486.2575407793
11/2016,741004.1192890236
12/2016,768583.3896838382
01/2017,756845.6046008955
02/2017,796375.2100744485
03/2017,783740.3097492253
04/2017,765611.0140502943
