Data,IE00B7K93397
02/1992,10000
03/1992,10066.640613024361
04/1992,10267.753997950058
05/1992,10119.840446889182
06/1992,9682.971283516956
07/1992,9598.146545183416
08/1992,9163.673368096865
09/1992,9484.627565071467
10/1992,9912.346590984998
11/1992,10920.366792421082
12/1992,11046.147099506243
01/1993,11354.942612626099
02/1993,11795.315834456544
03/1993,12102.306275368745
04/1993,11406.754398751622
05/1993,11739.634816466109
06/1993,12116.424566506616
07/1993,12578.30787271678
08/1993,13154.055248597551
09/1993,12532.913662560075
10/1993,12941.07486611368
11/1993,13160.66883503644
12/1993,13312.576584512484
01/1994,13950.479597961015
02/1994,13518.247019341577
03/1994,12660.23808634152
04/1994,12858.496931624035
05/1994,12787.332030941176
06/1994,12270.060075790123
07/1994,12281.166712544005
08/1994,12798.148565318721
09/1994,12350.12063422235
10/1994,12385.017683673566
11/1994,12110.18587009563
12/1994,12539.964035535839
01/1995,12600.977975781068
02/1995,12947.492814557041
03/1995,12810.288572443285
04/1995,12933.916379555123
05/1995,13657.394313799427
06/1995,13856.657546690998
07/1995,14148.44490050247
08/1995,14612.041354096167
09/1995,15422.614157097973
10/1995,15126.888702537342
11/1995,15823.550549273723
12/1995,16382.184835719981
01/1996,17143.796433089406
02/1996,17400.448406174768
03/1996,17555.00020890131
04/1996,17963.950349163617
05/1996,18648.96964985742
06/1996,18573.07334348858
07/1996,17480.895414128387
08/1996,17686.07865884966
09/1996,18841.686672005657
10/1996,19419.696210420585
11/1996,20617.541094242253
12/1996,20654.242941651777
01/1997,22539.41991683956
02/1997,23703.523963395855
03/1997,22991.051710848187
04/1997,24493.84291021355
05/1997,25903.09485941485
06/1997,27365.067508584594
07/1997,30361.670433189698
08/1997,29475.2231206416
09/1997,30271.145735088816
10/1997,28726.04936579235
11/1997,29434.430697805958
12/1997,30744.790816677378
01/1998,31796.767130197986
02/1998,34011.829622280384
03/1998,35881.884925950624
04/1998,35993.85368309724
05/1998,34832.80531909505
06/1998,36507.42875884377
07/1998,36200.4818873995
