Data,IE00B8GF1M35
03/2006,10000
04/2006,9589.610711983867
05/2006,9136.603866809532
06/2006,9336.726421785737
07/2006,9853.779742730425
08/2006,10084.057427719992
09/2006,10522.96342676863
10/2006,11075.079110788358
11/2006,11285.535318569075
12/2006,11567.237982189155
01/2007,12352.600397437624
02/2007,12166.646875978779
03/2007,12129.247140951711
04/2007,12017.431744042482
05/2007,12287.78982743159
06/2007,11323.845010287372
07/2007,10455.820748223154
08/2007,10680.055530380034
09/2007,10813.80702638998
10/2007,10789.110090703816
11/2007,9662.774404315509
12/2007,9205.000575037984
01/2008,8804.127929991555
02/2008,8509.702755609305
03/2008,8284.56244429833
04/2008,8869.450432730804
05/2008,8793.04663359204
06/2008,7676.785450227861
07/2008,7796.417011765206
08/2008,8142.747256864877
09/2008,7731.153339535978
10/2008,6124.202801600289
11/2008,5126.32070083324
12/2008,5168.35425590892
01/2009,4856.368927848907
02/2009,4072.7437754293974
03/2009,4083.9770670676107
04/2009,4978.557092364677
05/2009,5126.228661081473
06/2009,5094.017562710917
07/2009,5606.586268352629
08/2009,6173.193177414937
09/2009,6393.351652373702
10/2009,6159.6948417741705
11/2009,6238.702320803003
12/2009,6759.786671267255
01/2010,6631.105122801243
02/2010,7034.729972192835
03/2010,7589.254697793825
04/2010,7998.594692487859
05/2010,7956.906012160624
06/2010,7767.585905129775
07/2010,8064.857483990237
08/2010,8276.623531500207
09/2010,8240.209014542968
10/2010,8497.445381783391
11/2010,8697.94496145602
12/2010,9069.960991224534
01/2011,8971.424659607614
02/2011,9190.763047571836
03/2011,8828.477175120157
04/2011,8941.628375463168
05/2011,9283.51308687962
06/2011,9031.441589882907
07/2011,9197.435122707018
08/2011,8571.599329358742
09/2011,8104.652551118652
10/2011,8738.367012796773
11/2011,8678.291211999338
12/2011,9106.277445432028
01/2012,9605.933241761519
02/2012,9619.768650734237
03/2012,9975.011958451081
04/2012,10322.419093941835
05/2012,10349.758222778872
06/2012,10832.026685994679
07/2012,11453.10544316005
08/2012,11177.964481528603
09/2012,10942.753872550335
10/2012,10986.14587590022
11/2012,11049.664454419024
12/2012,11251.02042703162
01/2013,11251.4325099062
02/2013,11736.533385786362
03/2013,12336.48277239102
04/2013,12932.319871440297
05/2013,12042.662540539648
06/2013,11662.240716148855
07/2013,11601.087053949168
08/2013,11029.790284338222
09/2013,11422.28204645267
10/2013,11691.51769202393
11/2013,11254.718138029251
12/2013,11093.649982937697
01/2014,11385.2026194677
02/2014,11675.844844949745
03/2014,11748.412965871456
04/2014,12104.599312524704
05/2014,12674.603167852805
06/2014,12808.22669639611
07/2014,13083.06773981259
08/2014,13550.348792745086
09/2014,13322.257824065724
10/2014,14365.901149742898
11/2014,14603.73013236935
12/2014,15041.357854601838
01/2015,16997.455434330983
02/2015,16941.96038884417
03/2015,17716.360580614786
04/2015,16621.717236677963
05/2015,16810.61637390553
06/2015,15867.019029802428
07/2015,16819.29357186942
08/2015,15442.477936680847
09/2015,15736.468965675429
10/2015,16974.212131275006
11/2015,17328.118001629748
12/2015,16972.15128397994
01/2016,16230.392712520828
02/2016,16310.886216418243
03/2016,17104.91266720944
04/2016,16969.606436656104
05/2016,17409.19208477957
06/2016,18157.809818650192
07/2016,18923.74277194599
08/2016,18336.6803789631
09/2016,18029.21822195606
10/2016,17310.66701087692
11/2016,17444.667547871613
12/2016,18277.42585273996
01/2017,17916.668290229634
02/2017,18689.057794804867
03/2017,18213.718623444907
04/2017,17930.633186709354
05/2017,17598.10624153189
06/2017,17428.61382247664
07/2017,17266.80177025628
08/2017,17002.722844683398
09/2017,16997.36481822927
10/2017,17116.6840468168
11/2017,17334.881490877808
12/2017,17368.647201352727
01/2018,16571.649244650842
02/2018,15778.094677555931
03/2018,16065.994174587486
04/2018,16698.494467785873
05/2018,17508.18998804695
06/2018,17924.350627840227
07/2018,17941.84556106358
08/2018,18316.18817647396
09/2018,18008.98465416847
10/2018,17796.961674214508
11/2018,18344.78621987761
12/2018,17127.48330320381
01/2019,18757.621755544136
02/2019,18989.908833991096
03/2019,19855.908709970503
04/2019,19726.55704956237
05/2019,19761.42545942062
06/2019,19706.937048627744
07/2019,20177.477329097648
08/2019,20810.20919479795
09/2019,21629.505025177492
10/2019,21573.299197451215
11/2019,21688.775902941237
12/2019,21252.80787571062
01/2020,21685.065640276112
02/2020,19970.195039870738
03/2020,15383.850823797984
04/2020,16582.400735247284
05/2020,16246.552712375935
06/2020,16413.003282708327
07/2020,15979.010476292688
08/2020,16183.00502241349
09/2020,16010.605254575084
10/2020,15510.854845501875
11/2020,17130.452696062064
12/2020,17433.85620987353
01/2021,17508.862558045512
02/2021,18179.5299306943
03/2021,19425.017025724846
04/2021,20133.795274314893
05/2021,20297.941248234325
06/2021,21089.451077057573
07/2021,22001.538821385486
08/2021,22406.83726658667
09/2021,21639.87064959245
10/2021,22779.756841890405
11/2021,22967.105457661342
12/2021,24693.23879961627
01/2022,23554.935828771308
02/2022,22850.205251603802
03/2022,24296.86468909029
04/2022,24245.089162749417
05/2022,22655.362436003237
06/2022,21320.83072435911
07/2022,23503.34239555326
08/2022,22437.553482079835
09/2022,20169.509634527083
10/2022,20551.91990682949
11/2022,20909.336574667897
12/2022,19693.768807319284
01/2023,21204.369209004093
02/2023,20644.664101618477
03/2023,19582.870365936655
04/2023,19711.578803420307
05/2023,19457.6416652749
06/2023,19786.997417712962
07/2023,20223.25403816557
08/2023,19844.38013186535
09/2023,19065.820078898236
10/2023,18150.250751055675
11/2023,19536.690501063695
12/2023,21188.48646569603
01/2024,20722.720682938307
02/2024,20711.552125827093
03/2024,21348.318481581628
04/2024,20160.9983997356
