Data,IE00B9MRHC27
12/1978,10000
01/1979,10794.97254964401
02/1979,10660.663848424063
03/1979,10716.755056671715
04/1979,10628.334473327257
05/1979,10825.288654762317
06/1979,11141.703937082992
07/1979,11044.915179274696
08/1979,10984.192722934644
09/1979,11318.4137444598
10/1979,11233.395546107595
11/1979,11880.786748111837
12/1979,11644.700793153002
01/1980,11858.708848322705
02/1980,11554.221853976962
03/1980,10606.16702521629
04/1980,11782.762051012976
05/1980,11677.099323948116
06/1980,11648.601431587818
07/1980,11524.966543834214
08/1980,11393.393939482408
09/1980,11854.368629161856
10/1980,12801.684259495589
11/1980,13572.009257288366
12/1980,13890.276721889059
01/1981,13307.705938289291
02/1981,15244.445436719077
03/1981,16060.740712584764
04/1981,15623.9503716914
05/1981,16504.266062972525
06/1981,18354.310822139414
07/1981,19488.631792667544
08/1981,20433.30834726285
09/1981,17655.899924844176
10/1981,19101.891974579
11/1981,20599.82543324786
12/1981,20200.123784499032
01/1982,20222.487526774334
02/1982,20364.357147495568
03/1982,19594.3739893138
04/1982,20212.16052920907
05/1982,19898.52334764325
06/1982,19982.783792591956
07/1982,21248.144125242055
08/1982,21359.620457542107
09/1982,22279.113433452112
10/1982,22183.490475829454
11/1982,24893.2272959224
12/1982,25581.178393094215
01/1983,27901.80747593813
02/1983,33204.58296506779
03/1983,34362.411412251866
04/1983,39182.02959758115
05/1983,39201.32893324111
06/1983,39500.915172789886
07/1983,42449.81495432782
08/1983,45157.309561790105
09/1983,45619.48883672184
10/1983,43769.87304841707
11/1983,46188.98498136337
12/1983,46473.218068159425
01/1984,50705.06772422225
02/1984,49042.063346448966
03/1984,48652.71459848252
04/1984,47552.26576713553
05/1984,44861.78149195153
06/1984,44449.36755981556
07/1984,45444.19604428822
08/1984,46094.5556311255
09/1984,44382.4133714375
10/1984,44400.80914401233
11/1984,41040.6427302372
12/1984,41846.92178998875
01/1985,46417.66387223339
02/1985,44962.40918536868
03/1985,46679.72097747816
04/1985,44196.29071234602
05/1985,44016.229993399415
06/1985,42923.68437340058
07/1985,45765.88292561626
08/1985,43484.86252937439
09/1985,46945.25952352177
10/1985,48194.88239528067
11/1985,52144.5964937919
12/1985,53881.0569325951
01/1986,52865.676886880516
02/1986,55594.607274441965
03/1986,57176.899817415375
04/1986,63453.59744353055
05/1986,60974.81848437958
06/1986,64492.376366008306
07/1986,63717.57486083421
08/1986,64129.85757598714
09/1986,62928.24875075423
10/1986,63864.050728161994
11/1986,64619.74388511638
12/1986,64381.16981671267
01/1987,60288.29967516551
02/1987,64717.4236424541
