Data,IE00BCBJG560
12/2000,10000
01/2001,10381.74343591951
02/2001,10126.526346906418
03/2001,10020.047751347278
04/2001,10757.011161437635
05/2001,11383.7221505895
06/2001,11354.699841982276
07/2001,10630.144529153727
08/2001,10138.209313882013
09/2001,8834.02756619512
10/2001,9515.572190736953
11/2001,10276.596987109388
12/2001,10640.408038158093
01/2002,10631.123226334974
02/2002,10520.126960166868
03/2002,11245.141169138984
04/2002,11062.354204462308
05/2002,10584.958611785856
06/2002,9441.576169115046
07/2002,8577.919061932433
08/2002,8491.906419127241
09/2002,7827.181722399428
10/2002,7916.246412397933
11/2002,8307.826661491174
12/2002,7503.874425439809
01/2003,7144.25356911133
02/2003,7040.066344509595
03/2003,6982.082716016031
04/2003,7538.862696015747
05/2003,7837.869620869027
06/2003,8371.083440785575
07/2003,8788.42641660523
08/2003,9670.7575992104
09/2003,9236.22962527369
10/2003,10074.163459612784
11/2003,9933.641713153369
12/2003,9826.989823779686
01/2004,10449.785616222434
02/2004,10633.039627375354
03/2004,11105.031944710658
04/2004,10844.08013797611
05/2004,10666.696406653276
06/2004,11177.843961576984
07/2004,10701.442136436004
08/2004,10621.410182992311
09/2004,10744.056945412149
10/2004,10770.075010439257
11/2004,11138.2751187593
12/2004,11315.888829022506
01/2005,11671.020800719503
02/2005,11843.81918329944
03/2005,11832.746890313354
04/2005,11371.237341786204
05/2005,12318.565582221156
06/2005,12930.858982792332
07/2005,13595.922690704365
08/2005,13612.045929157573
09/2005,14136.140351916218
10/2005,13681.620828691119
11/2005,14542.292216774134
12/2005,15099.917562972923
01/2006,15807.441361549343
02/2006,15997.603194531059
03/2006,16425.940354855964
04/2006,16270.638913139648
05/2006,14962.71506001902
06/2006,14907.284856155331
07/2006,14425.421200566427
08/2006,14728.666383702264
09/2006,14999.382254410537
10/2006,15609.002173337163
11/2006,15531.57512547645
12/2006,15829.26737959216
01/2007,16380.830841124967
02/2007,16182.895824866404
03/2007,16452.974518430005
04/2007,16629.85872484924
05/2007,17248.068012906366
06/2007,17047.578823786178
07/2007,16233.163559149749
08/2007,15770.356837027644
09/2007,15558.138183548937
10/2007,16012.064259596122
11/2007,14481.880161669178
12/2007,14255.917546386374
01/2008,12990.285892167407
02/2008,12836.763921436437
03/2008,12190.41632303903
04/2008,12906.233923973732
05/2008,13401.423342683098
06/2008,12119.90529106007
07/2008,12017.112695397842
08/2008,12721.900375673618
09/2008,11364.23039267941
10/2008,9855.509468249149
11/2008,9038.35999747249
12/2008,8765.090100400752
01/2009,8788.92836870239
02/2009,7978.849590859067
03/2009,8207.096610709572
04/2009,9589.16497528936
05/2009,9817.404049145713
06/2009,9903.441572107815
07/2009,10769.084633574033
08/2009,11317.413055680596
09/2009,11679.683311611196
10/2009,11097.767939612524
11/2009,11190.062480846824
12/2009,12203.22797965946
01/2010,12281.691667116846
02/2010,12931.442520318042
03/2010,14024.684363279077
04/2010,14743.898773972673
05/2010,14419.678284827965
06/2010,13788.199384949914
07/2010,13992.69366906496
08/2010,13713.410439346972
09/2010,14207.113572447382
10/2010,14542.9483233269
11/2010,15581.063840962335
12/2010,16579.398020783265
01/2011,16321.348659697907
02/2011,16804.63649632561
03/2011,16557.689234307294
04/2011,16428.186810059207
05/2011,16624.96783489314
06/2011,16187.474331076448
07/2011,16021.272479246027
08/2011,14503.822353392943
09/2011,13779.616482508909
10/2011,14858.073987680016
11/2011,15130.022909448378
12/2011,15560.386697348757
