Data,IE00BD1F4K20
05/1994,10000
06/1994,9570.572142534958
07/1994,9585.95585825147
08/1994,10088.82329043944
09/1994,9781.909130350734
10/1994,9615.752609391844
11/1994,9316.600600781785
12/1994,9667.340078906072
01/1995,9640.815176535532
02/1995,10028.02780667678
03/1995,9894.975955829927
04/1995,9852.835987342673
05/1995,10231.473308700173
06/1995,10577.856596413876
07/1995,11002.425305184552
08/1995,11493.929007448965
09/1995,11904.144238282432
10/1995,11475.316229934962
11/1995,12044.060974104043
12/1995,12320.082653504494
01/1996,12636.525942614757
02/1996,12993.877212774121
03/1996,13229.726627671167
04/1996,13816.134075746655
05/1996,14226.106703325908
06/1996,13732.925581742367
07/1996,12693.523663955953
08/1996,13236.87322122932
09/1996,13931.816380229146
10/1996,13939.43809911181
11/1996,14506.442488674018
12/1996,14807.169620527473
01/1997,15621.569871791067
02/1997,16191.638301121482
03/1997,15583.91140695203
04/1997,15910.117733794053
05/1997,17182.98790283362
06/1997,18014.76793405903
07/1997,19824.76814580759
08/1997,20419.5914543367
09/1997,20944.80261328671
10/1997,19586.926553938767
11/1997,19460.87395735537
12/1997,20409.77197792303
01/1998,20619.724743698556
02/1998,22162.62699957015
03/1998,23297.402804299865
04/1998,23310.29446149135
05/1998,21987.705191873323
06/1998,22234.76895230596
07/1998,21007.514434543493
08/1998,16962.653354247956
09/1998,17226.170857726356
10/1998,17745.912751634867
11/1998,19094.18772776913
12/1998,19773.201914668505
01/1999,20239.796938226755
02/1999,20009.086646197706
03/1999,21118.555187846894
04/1999,23503.23180778456
05/1999,24099.479052175426
06/1999,25378.43882169079
07/1999,23882.111304367376
08/1999,23523.77959990056
09/1999,22569.329506648766
10/1999,23973.777316002255
11/1999,26173.692705529025
12/1999,28824.331776210587
01/2000,28277.637300460254
02/2000,31154.532539245974
03/2000,32349.650032858663
04/2000,31929.019251696624
05/2000,30290.359577284296
06/2000,30775.629347192524
07/2000,31448.857744738336
08/2000,35678.92476830924
09/2000,35111.99954218655
10/2000,35075.163107256776
11/2000,30111.480381996927
12/2000,30020.140795175594
01/2001,31909.747518688597
02/2001,29045.881297765234
03/2001,28267.121344210715
04/2001,31234.357599248448
05/2001,33337.73108870479
06/2001,33267.92695677814
07/2001,31112.573159002208
08/2001,28246.70497000971
09/2001,24443.034367516335
10/2001,25804.786152752997
11/2001,28505.961693151694
12/2001,30149.160688580225
01/2002,30302.418213758687
02/2002,29636.40648634
03/2002,31408.302090618796
04/2002,29795.038730844957
05/2002,28127.043217024508
06/2002,24315.535610921328
07/2002,22245.423522398356
08/2002,22205.394737844377
09/2002,20005.46361795475
10/2002,21183.65962779508
11/2002,22631.756608020904
12/2002,20398.221986552715
01/2003,19378.639729567472
