Data,IE00BD1F4M44
11/1997,10000
12/1997,10385.794093938792
01/1998,10466.380718945482
02/1998,11248.677541799312
03/1998,11749.1416307733
04/1998,11661.90483888519
05/1998,11333.93617212913
06/1998,11417.268394847904
07/1998,11424.86405634045
08/1998,9718.229203102515
09/1998,9924.23219727715
10/1998,10350.67028819251
11/1998,11400.811858146943
12/1998,11582.483470357136
01/1999,12240.175056726946
02/1999,12016.540819191823
03/1999,12657.450323269391
04/1999,13945.081854043954
05/1999,14223.158838941143
06/1999,14852.319893357371
07/1999,14079.044022941132
08/1999,14157.764850344267
09/1999,12878.906826159326
10/1999,13446.275487362278
11/1999,14166.803278387451
12/1999,14629.104659910254
01/2000,14592.017123313612
02/2000,14493.160348794927
03/2000,16408.584628554963
04/2000,17439.60162288524
05/2000,16755.470799359977
06/2000,15856.832133070706
07/2000,16509.355951757712
08/2000,18394.30314279064
09/2000,17100.353358991477
10/2000,18350.700522673425
11/2000,16965.23213928353
12/2000,16267.269771930429
01/2001,17470.043097233036
02/2001,16647.829634341088
03/2001,17133.85050125062
04/2001,18066.47605957779
05/2001,18733.061566517226
06/2001,18928.117570580536
07/2001,18528.41081978264
08/2001,16912.75932585962
09/2001,15299.47070030717
10/2001,15354.941457232699
11/2001,17095.89096319569
12/2001,17329.879492131535
01/2002,17814.901622039368
02/2002,17410.953905664523
03/2002,18275.234165223614
04/2002,17508.488823085518
05/2002,16992.38995276093
06/2002,14545.756715819323
07/2002,13535.106869676423
08/2002,13711.867928571406
09/2002,11892.125650431557
10/2002,12733.006834719676
11/2002,13405.9386594696
12/2002,12149.473934526444
01/2003,11539.659646359994
02/2003,11177.398112457417
03/2003,10961.530728932354
04/2003,11596.229386738687
05/2003,11902.71558073345
06/2003,12599.824864683258
07/2003,12743.465623160602
08/2003,13455.475786144958
09/2003,12521.679473868486
10/2003,13251.50683575865
11/2003,13170.115099166454
12/2003,13313.143825375828
01/2004,13916.7832269041
02/2004,14074.469887324
03/2004,14160.107560184244
04/2004,14238.182406043039
05/2004,14026.616492983858
06/2004,14542.499223020941
07/2004,14205.14803297262
08/2004,14139.335990674752
09/2004,14186.875210492637
10/2004,13964.360533488083
11/2004,14442.436887056734
12/2004,14686.03833044516
01/2005,15090.31346375655
02/2005,15343.578669061293
03/2005,15605.602412660914
04/2005,15100.508455672732
05/2005,16430.654609360838
06/2005,16840.718531674982
07/2005,17507.091354951885
08/2005,17419.805510885937
09/2005,18102.913492864503
10/2005,17703.84794905154
11/2005,18843.599669374365
12/2005,19040.6929736131
01/2006,19280.66795670867
02/2006,19590.218140395304
03/2006,19424.24366978655
04/2006,19201.908856938273
05/2006,18210.646022026653
06/2006,18476.656230365497
07/2006,18599.461339176396
08/2006,18980.243860322833
09/2006,19660.447494798686
10/2006,20303.289441424164
11/2006,19937.50527720346
12/2006,20256.09865838687
01/2007,21080.721209950294
02/2007,20297.942024581065
03/2007,20499.201538438254
04/2007,20909.46720827259
05/2007,21847.82894096018
06/2007,21233.432240102673
07/2007,20004.015765427484
08/2007,20156.261838156654
09/2007,19868.772634717352
10/2007,19626.67018503684
11/2007,18438.896066980975
12/2007,18169.19871286544
01/2008,17165.908017956965
02/2008,16395.3956400934
03/2008,15240.71746552497
04/2008,16334.573126739611
05/2008,16696.826117050412
06/2008,14866.247028213204
07/2008,14792.815040358775
08/2008,15964.976880059297
09/2008,14861.160305498375
10/2008,13599.11398215336
11/2008,12434.615272843415
12/2008,11990.807010834393
01/2009,11936.482169019077
02/2009,10292.410802777717
03/2009,10751.72874056372
04/2009,12370.360830228283
05/2009,12704.955789670777
06/2009,12702.890136109265
07/2009,13911.758670772033
08/2009,14684.6849644446
09/2009,14812.680059092216
10/2009,14237.106825212219
11/2009,14837.890855621255
12/2009,15945.093101061588
01/2010,15983.990776028988
02/2010,17075.692520283053
03/2010,18207.64797359747
04/2010,18595.986397950765
05/2010,18305.4733494415
06/2010,17015.53086924066
07/2010,17067.22132450192
08/2010,16597.642072353414
09/2010,16959.929237762433
10/2010,17356.157588471167
11/2010,18308.798271342443
12/2010,19231.42659184394
01/2011,19458.179115077048
02/2011,20103.461970978635
03/2011,19705.03122113372
04/2011,19249.609052106614
05/2011,19583.63267747667
06/2011,19090.767712634286
07/2011,18443.43560359191
08/2011,16753.025439148783
09/2011,16275.619560535708
10/2011,17722.281614518164
11/2011,18323.6870815732
12/2011,19172.747705991234
01/2012,19878.464672949318
02/2012,20333.9392623
03/2012,20971.40905658578
04/2012,20770.255424822197
05/2012,20346.385581459857
06/2012,20861.52197324128
07/2012,21395.102248140836
08/2012,21427.69258761699
09/2012,21466.09583991226
10/2012,21252.02031072998
11/2012,21175.218198880793
12/2012,21758.506188720734
01/2013,22582.055758887596
02/2013,23704.170578134243
03/2013,25609.418536117835
04/2013,25563.15158107506
05/2013,26734.98093243088
06/2013,26447.352333617506
07/2013,27656.967996242707
08/2013,26817.218723679114
09/2013,27002.56663087572
10/2013,28022.19807903264
11/2013,29200.324785158442
12/2013,29555.379697019973
01/2014,29138.749592910655
02/2014,29609.178632570252
03/2014,30415.615990801376
04/2014,30370.99570556219
05/2014,31719.477690404845
06/2014,32448.09130356086
07/2014,32985.775022319576
08/2014,34799.87523655265
09/2014,35837.30748657735
10/2014,36371.18584033174
11/2014,37732.54519581685
12/2014,39186.55808805279
01/2015,39919.441254902114
02/2015,42586.1937879571
03/2015,43825.880202503635
04/2015,42262.01080586814
05/2015,44049.311530284824
06/2015,41775.27366440899
07/2015,42403.06035403796
08/2015,38912.14865993298
09/2015,37814.01201683469
10/2015,41274.78751590509
11/2015,42651.52505652329
12/2015,40545.36962126294
01/2016,37098.60129476667
02/2016,37640.679572575704
03/2016,38497.17440539634
04/2016,38708.3854236896
05/2016,40121.34245622191
06/2016,39794.729595482306
07/2016,41537.5577054468
08/2016,41931.53876448166
09/2016,42109.26847098375
10/2016,42390.11770469574
11/2016,46632.83693610299
12/2016,48055.96508529708
01/2017,47709.37594028288
02/2017,50611.19520227791
03/2017,49561.21750070562
04/2017,48546.98116491623
05/2017,47189.336551906395
06/2017,46937.53833635279
07/2017,46540.01326488311
08/2017,46215.434080490806
09/2017,47899.630649854815
10/2017,49813.65848948376
11/2017,50947.89770229128
12/2017,51124.81610973195
01/2018,51329.62629272208
02/2018,50615.81829108879
03/2018,48989.219437743974
04/2018,50163.92819410208
05/2018,52754.06964951146
06/2018,52353.55462146313
07/2018,53745.76627117222
08/2018,56063.43159391041
09/2018,56295.790134452436
10/2018,54163.422280721534
11/2018,53619.03427754995
12/2018,47179.751762605425
01/2019,51677.34803557392
02/2019,52945.58815150464
03/2019,53247.66708690122
04/2019,55139.0736663957
05/2019,50071.310934893576
06/2019,53673.4807678058
07/2019,55663.908413437624
08/2019,53684.482406672985
09/2019,56982.55714351094
10/2019,57155.67576585476
11/2019,60126.87483494705
12/2019,60708.7969031352
01/2020,59325.284832600955
02/2020,53878.697966192674
03/2020,43940.78653310235
04/2020,49236.60433507061
05/2020,49760.00362697048
06/2020,49580.101831191096
07/2020,47256.18249790067
08/2020,48696.19740705744
09/2020,48608.02811966819
10/2020,48034.717051251166
11/2020,54571.79699130959
12/2020,54830.425038699876
01/2021,57227.43578488433
02/2021,61245.312941832555
03/2021,67838.55469003378
04/2021,66922.30126862998
05/2021,68134.60131571117
06/2021,68863.74803710096
07/2021,68227.52631295491
08/2021,69064.31985374803
09/2021,68045.68319857815
10/2021,69286.27158592813
11/2021,70300.2670100136
12/2021,76017.77554734617
01/2022,75625.84064556596
02/2022,73633.72435376677
03/2022,74441.29444876299
04/2022,73840.56927057487
05/2022,75409.3521935299
06/2022,69154.05582983233
07/2022,74543.83642306403
08/2022,73259.02224249148
09/2022,67032.63913274684
10/2022,74532.56790390443
11/2022,75275.72138286539
12/2022,68667.11576748914
01/2023,72370.07387295754
02/2023,70853.1324781224
03/2023,68827.8894424892
04/2023,67355.15857392836
05/2023,66620.11412897169
06/2023,70049.85924091918
07/2023,71533.89238099055
08/2023,70387.82767673122
09/2023,69859.88295573993
10/2023,67150.48072160724
11/2023,70484.95827492602
12/2023,75006.54890476663
01/2024,75769.46176020677
02/2024,77746.09590035549
03/2024,82453.57820938446
04/2024,77437.61477395917
