Data,IE00BDD48R20
12/2012,10000
01/2013,9755.020184501846
02/2013,10090.253117491799
03/2013,10357.220825656193
04/2013,10176.34589294025
05/2013,10220.0637675269
06/2013,10116.763457241048
07/2013,10013.250391095371
08/2013,10040.753635008175
09/2013,9880.587908426829
10/2013,9822.422692440714
11/2013,9869.914604099424
12/2013,9737.430001788953
01/2014,9963.633036669664
02/2014,9774.976247160339
03/2014,9791.966826159602
04/2014,9770.793871926768
05/2014,9976.37725958502
06/2014,9936.388662765654
07/2014,10143.867034523873
08/2014,10311.629119641064
09/2014,10789.354674076743
10/2014,10869.726148409552
11/2014,10923.151401009252
12/2014,11196.334032896395
01/2015,12091.99700514722
02/2015,12167.098096333237
03/2015,12736.830267740499
04/2015,12241.213655129492
05/2015,12527.452453600637
06/2015,12257.979354687266
07/2015,12515.197604625402
08/2015,12219.149712540946
09/2015,12266.795207244066
10/2015,12495.428500736822
11/2015,13000.125312888362
12/2015,12609.893690094636
01/2016,12606.04212970874
02/2016,12648.467574618346
03/2016,12200.601530283751
04/2016,12232.8072183682
05/2016,12507.474044855324
06/2016,12644.285160392685
07/2016,12657.347840204442
08/2016,12641.112960991222
09/2016,12619.927317588403
10/2016,12874.580583550864
11/2016,13195.777792950903
12/2016,13332.432427781636
01/2017,13106.65561837518
02/2017,13344.988128836983
03/2017,13238.55710517821
04/2017,12983.046836423071
05/2017,12678.25754740756
06/2017,12475.086470485188
07/2017,12187.616389353943
08/2017,12111.079008727618
09/2017,12130.87471406265
10/2017,12317.385766205849
11/2017,12070.505525875958
12/2017,11936.59520371237
01/2018,11471.547701610796
02/2018,11673.176588694278
03/2018,11574.398572949598
04/2018,11814.865950172916
05/2018,12244.098116374773
06/2018,12286.24105646598
07/2018,12230.512651927598
08/2018,12369.334140493058
09/2018,12456.016074829507
10/2018,12744.119555558767
11/2018,12708.59250342271
12/2018,12693.628940442464
01/2019,12745.576246747183
02/2019,12867.331556937092
03/2019,13173.031151967158
04/2019,13235.542750852743
05/2019,13389.970799002393
06/2019,13211.36353165698
07/2019,13495.167546734914
08/2019,13739.776629755133
09/2019,13939.549026198283
10/2019,13667.200494321216
11/2019,13894.112299971346
12/2019,13628.93740327942
01/2020,13931.315455494167
02/2020,14112.420176783955
03/2020,13770.785611683434
04/2020,14155.423431279249
05/2020,13974.556881110268
06/2020,14005.923571470701
07/2020,13303.997466545008
08/2020,13233.493522517005
09/2020,13494.729443815415
10/2020,13533.616425132717
11/2020,13256.31861190788
12/2020,12970.724590682288
01/2021,13123.21771026339
02/2021,13147.671355639695
03/2021,13575.783671749123
04/2021,13197.341397887483
05/2021,13096.384954134031
06/2021,13433.98593261691
07/2021,13447.89438985068
08/2021,13518.415663946558
09/2021,13810.967972858665
10/2021,13684.965009003083
11/2021,13994.112108045714
12/2021,14038.778790852311
01/2022,14141.9090742984
02/2022,13969.621595458602
03/2022,13881.913267755397
04/2022,14517.402627952277
05/2022,14374.717313785262
06/2022,14683.949458543528
07/2022,15070.148344425143
08/2022,15269.048381916402
09/2022,15446.470244274471
10/2022,15138.075015536175
11/2022,14659.615262492605
12/2022,14305.567892544314
01/2023,14237.489242633676
02/2023,14431.839451078085
03/2023,14216.448029407982
04/2023,14156.993506385292
05/2023,14526.099807995468
06/2023,14267.515379344113
07/2023,14156.058262382292
08/2023,14394.221698724563
09/2023,14755.093355851672
10/2023,14751.634023589111
11/2023,14544.435272488956
12/2023,14580.94739903647
