Data,IE00BDF12W49
05/2007,10000
06/2007,10304.09832716278
07/2007,10454.93622341549
08/2007,10226.21004123467
09/2007,10678.430438028612
10/2007,11438.679612487442
11/2007,10490.607817835198
12/2007,10722.790369380433
01/2008,9786.524566931595
02/2008,10425.476864975879
03/2008,9657.890355012089
04/2008,10459.969465417173
05/2008,10686.391258723346
06/2008,9689.139038178062
07/2008,10017.367167202918
08/2008,10018.19685586611
09/2008,8809.028199141749
10/2008,7839.495253400618
11/2008,7381.810223852498
12/2008,7109.498411695247
01/2009,7116.586874635292
02/2009,6931.540012124668
03/2009,7292.002748053869
04/2009,8485.802974228796
05/2009,8789.854859694653
06/2009,8768.802967899022
07/2009,9722.038888998468
08/2009,9883.37771052395
09/2009,10394.585831873977
10/2009,10119.247169390821
11/2009,10259.449762182863
12/2009,11221.482628549837
01/2010,11344.141654228592
02/2010,11702.670669962366
03/2010,12627.006699773081
04/2010,12943.770341153995
05/2010,12565.178844812057
06/2010,12505.498309917632
07/2010,13108.715384369194
08/2010,13388.924020954713
09/2010,13729.119108021374
10/2010,13906.756561114453
11/2010,14434.298740683691
12/2010,15044.828763833202
01/2011,14296.41975067037
02/2011,14161.717122268354
03/2011,14580.935111470344
04/2011,14702.891964011162
05/2011,14836.1792065594
06/2011,14581.453652718526
07/2011,14603.23579501798
08/2011,13662.221693249785
09/2011,12700.61817413473
10/2011,13436.44418211585
11/2011,13429.596939549856
12/2011,14019.800210386155
01/2012,14938.069712990817
02/2012,15513.80747252667
03/2012,15385.355852346254
04/2012,15366.417725889269
05/2012,14810.221320542501
06/2012,14823.49947605218
07/2012,15374.152994944945
08/2012,15158.416369892357
09/2012,15443.185064133617
10/2012,15095.833379040347
11/2012,15214.432960935077
12/2012,15842.86707798105
01/2013,15664.27649067694
02/2013,15840.73889533174
03/2013,16021.674219888933
04/2013,15873.453171414194
05/2013,15523.254415645615
06/2013,14342.952951186075
07/2013,14286.27355721054
08/2013,14197.046878158857
09/2013,14908.786921995252
10/2013,15356.718576120547
11/2013,14842.163704719253
12/2013,14409.658850785268
01/2014,13591.390140504069
02/2014,13608.602193873976
03/2014,14049.946706743727
04/2014,14048.978542448145
05/2014,14665.447907996177
06/2014,15144.287710251305
07/2014,15493.173309316186
08/2014,15932.79494790594
09/2014,15526.081227534974
10/2014,15608.099498583091
11/2014,15119.971985677534
12/2014,14561.097869299865
01/2015,15323.735047355229
02/2015,16267.723121233661
03/2015,16457.488022365073
04/2015,17553.14748179191
05/2015,17054.096130909387
06/2015,16307.406294278107
07/2015,15330.69221919309
08/2015,13620.500728961893
09/2015,12847.430260931553
10/2015,13905.381698402643
11/2015,13673.260274634513
12/2015,12781.96835247722
01/2016,12083.436927196324
02/2016,12433.193102783967
03/2016,13427.967606888928
04/2016,13828.011367962765
05/2016,13163.245543221681
06/2016,14002.16667666319
07/2016,14814.32752924046
08/2016,14912.294798818439
09/2016,15056.233040745283
10/2016,15597.270140423781
11/2016,15698.93268250694
12/2016,16239.081331039624
01/2017,16426.092359411363
02/2017,17160.126891279102
03/2017,17294.765467357738
04/2017,17032.11505071265
05/2017,16614.483302652687
06/2017,16448.954713341325
07/2017,16724.65066132983
08/2017,17149.14541702733
09/2017,17006.52506693324
10/2017,17528.562047050753
11/2017,17178.30305070287
12/2017,17847.415248063135
01/2018,18684.83457523176
02/2018,18561.470259924736
03/2018,18161.390964405535
04/2018,18304.67957258182
05/2018,18295.123456638772
06/2018,17549.79529726119
07/2018,18233.553672378544
08/2018,17931.65937413887
09/2018,18527.493769315544
10/2018,17440.332071110184
11/2018,17760.794043156176
12/2018,17327.79599786869
01/2019,18816.219394168038
02/2019,18916.541983641982
03/2019,19261.86252236707
04/2019,19522.799330895774
05/2019,18910.679039318686
06/2019,19606.98177424356
07/2019,19732.252575608534
08/2019,18911.374529196866
09/2019,19551.746713386427
10/2019,19883.897784473073
11/2019,20187.911169293056
12/2019,21183.426383371316
01/2020,20084.45640421394
02/2020,18794.231640304828
03/2020,15418.231018548984
04/2020,16932.515072624603
05/2020,16686.99322341531
06/2020,17094.34409722999
07/2020,16606.346756334686
08/2020,16560.833660280987
09/2020,16268.666481711552
10/2020,16187.731371678296
11/2020,17815.992143064002
12/2020,18418.06295250772
01/2021,18342.381634726557
02/2021,19273.914758875282
03/2021,20803.129943003933
04/2021,20655.278870565668
05/2021,21209.90753317178
06/2021,21492.687545770783
07/2021,20902.303963447815
08/2021,21640.9828020012
09/2021,21783.296890920246
10/2021,21365.349463504484
11/2021,21194.440473106388
12/2021,22400.7596048599
01/2022,23400.337447695383
02/2022,22965.813665280064
03/2022,23571.708828060266
04/2022,23235.347394183154
05/2022,23241.750331659878
06/2022,21617.985457704046
07/2022,21888.602015656314
08/2022,22496.851906084805
09/2022,21226.087057135603
10/2022,20455.091803969342
11/2022,22386.480572388904
12/2022,21461.382428016506
01/2023,22699.595647019898
02/2023,22320.67901090336
03/2023,22271.226461856128
04/2023,22209.98501192656
05/2023,22309.11187864825
06/2023,22854.417474551377
07/2023,24057.601620947742
08/2023,23246.22578010351
09/2023,23882.555189228526
10/2023,23163.9685296323
11/2023,24060.227479033496
