Data,IE00BDFBTQ78
09/2017,10000
10/2017,10247.595783860039
11/2017,10002.440080824495
12/2017,10946.255759055282
01/2018,11118.690325662596
02/2018,10799.11241151502
03/2018,10141.670545315517
04/2018,10660.628590403801
05/2018,11085.954106450048
06/2018,10886.057081685676
07/2018,10711.288510686347
08/2018,9635.06972098768
09/2018,10151.576785392259
10/2018,9852.099101460037
11/2018,9504.571592009108
12/2018,9684.037014616442
01/2019,10566.81309421419
02/2019,10832.880617403867
03/2019,11232.9529030081
04/2019,10827.671871681294
05/2019,10430.295196164105
06/2019,11492.290225629917
07/2019,11400.15269469943
08/2019,11008.308950739203
09/2019,11060.795867033275
10/2019,11148.549716248031
11/2019,11394.230885608496
12/2019,12179.881153357373
01/2020,11650.2828044393
02/2020,10390.459737700268
03/2020,8792.818620332753
04/2020,10950.277830241572
05/2020,11438.85172027148
06/2020,12091.28411664724
07/2020,12928.105099808827
08/2020,12978.995531648237
09/2020,12374.863619586791
10/2020,12079.581770133198
11/2020,12906.00527617105
12/2020,14143.32657860283
01/2021,14108.378762557451
02/2021,15023.128666920818
03/2021,15122.368470257046
04/2021,15827.25661445956
05/2021,16831.21501228049
06/2021,15924.655360923973
07/2021,16462.607818511504
08/2021,15371.76663517246
09/2021,13824.81069570927
10/2021,14417.072388752427
11/2021,14541.034184179702
12/2021,15575.857358975229
01/2022,15680.091729896663
02/2022,17473.112625164358
03/2022,19127.13439416353
04/2022,17887.055097154596
05/2022,17356.766343967734
06/2022,14617.273469980308
07/2022,14702.694533097305
08/2022,14488.199848995118
09/2022,14133.708329503772
10/2022,13985.758265462857
11/2022,16212.092244557542
12/2022,15718.344265124559
01/2023,17231.80810336772
02/2023,15541.460196170618
03/2023,15732.36432191437
04/2023,15383.255411071974
05/2023,14257.658911939854
06/2023,14733.588541603121
07/2023,15396.401305654923
08/2023,14305.827178617421
09/2023,14350.736439896207
10/2023,13782.958947888812
11/2023,14469.185665756884
12/2023,15361.014779949113
01/2024,14490.491933575575
02/2024,13492.303535271396
03/2024,14880.98573563266
04/2024,16001.47118111397
